experiment,subplot,method,x,y_mean,y_lo,y_hi
exp1,a,proposed,8,850,790,910
exp1,b,proposed,8,100.0,97.0,103.0
exp1,a,proposed,12,1070,1010,1130
exp1,b,proposed,12,99.4,96.4,102.4
exp1,a,proposed,16,1290,1230,1350
exp1,b,proposed,16,98.8,95.8,101.8
exp1,a,proposed,20,1510,1450,1570
exp1,b,proposed,20,98.2,95.2,101.2
exp1,a,proposed,24,1730,1670,1790
exp1,b,proposed,24,97.6,94.6,100.6
exp1,a,proposed,28,1950,1890,2010
exp1,b,proposed,28,97.0,94.0,100.0
exp1,a,proposed,32,2170,2110,2230
exp1,b,proposed,32,96.4,93.4,99.4
exp1,a,cspf,8,1700,1640,1760
exp1,b,cspf,8,99.0,96.0,102.0
exp1,a,cspf,12,2360,2300,2420
exp1,b,cspf,12,94.2,91.2,97.2
exp1,a,cspf,16,3020,2960,3080
exp1,b,cspf,16,89.4,86.4,92.4
exp1,a,cspf,20,3680,3620,3740
exp1,b,cspf,20,84.6,81.6,87.6
exp1,a,cspf,24,4340,4280,4400
exp1,b,cspf,24,80,77,83
exp1,a,cspf,28,5000,4940,5060
exp1,b,cspf,28,80,77,83
exp1,a,cspf,32,5660,5600,5720
exp1,b,cspf,32,80,77,83
exp1,a,ilp_sfc,8,1750,1690,1810
exp1,b,ilp_sfc,8,99.0,96.0,102.0
exp1,a,ilp_sfc,12,2422,2362,2482
exp1,b,ilp_sfc,12,94.2,91.2,97.2
exp1,a,ilp_sfc,16,3094,3034,3154
exp1,b,ilp_sfc,16,89.4,86.4,92.4
exp1,a,ilp_sfc,20,3766,3706,3826
exp1,b,ilp_sfc,20,84.6,81.6,87.6
exp1,a,ilp_sfc,24,4438,4378,4498
exp1,b,ilp_sfc,24,80,77,83
exp1,a,ilp_sfc,28,5110,5050,5170
exp1,b,ilp_sfc,28,80,77,83
exp1,a,ilp_sfc,32,5782,5722,5842
exp1,b,ilp_sfc,32,80,77,83
exp1,a,sfc_reoptimization,8,1730,1670,1790
exp1,b,sfc_reoptimization,8,99.0,96.0,102.0
exp1,a,sfc_reoptimization,12,2394,2334,2454
exp1,b,sfc_reoptimization,12,94.2,91.2,97.2
exp1,a,sfc_reoptimization,16,3058,2998,3118
exp1,b,sfc_reoptimization,16,89.4,86.4,92.4
exp1,a,sfc_reoptimization,20,3722,3662,3782
exp1,b,sfc_reoptimization,20,84.6,81.6,87.6
exp1,a,sfc_reoptimization,24,4386,4326,4446
exp1,b,sfc_reoptimization,24,80,77,83
exp1,a,sfc_reoptimization,28,5050,4990,5110
exp1,b,sfc_reoptimization,28,80,77,83
exp1,a,sfc_reoptimization,32,5714,5654,5774
exp1,b,sfc_reoptimization,32,80,77,83
exp2,a,proposed,0,97.82576524155483,94.82576524155483,100.82576524155483
exp2,b,proposed,0,92.06507103590532,89.06507103590532,95.06507103590532
exp2,a,proposed,10,97.11973107378917,94.11973107378917,100.11973107378917
exp2,b,proposed,10,92.67315024355106,89.67315024355106,95.67315024355106
exp2,a,proposed,20,98.68195807895714,95.68195807895714,101.68195807895714
exp2,b,proposed,20,96.62716891762203,93.62716891762203,99.62716891762203
exp2,a,proposed,30,98.38399353687838,95.38399353687838,101.38399353687838
exp2,b,proposed,30,94.65295838362209,91.65295838362209,97.65295838362209
exp2,a,proposed,40,96.68864993107908,93.68864993107908,99.68864993107908
exp2,b,proposed,40,92.42621769938908,89.42621769938908,95.42621769938908
exp2,a,proposed,50,95.49339255108191,92.49339255108191,98.49339255108191
exp2,b,proposed,50,93.00646216376055,90.00646216376055,96.00646216376055
exp2,a,proposed,60,94.89892851067657,91.89892851067657,97.89892851067657
exp2,b,proposed,60,92.88794570853372,89.88794570853372,95.88794570853372
exp2,a,sanet_dw,0,96.76456944982733,93.76456944982733,99.76456944982733
exp2,b,sanet_dw,0,90.91096537532795,87.91096537532795,93.91096537532795
