experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations,numerator,denominator
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,10.0,gateway_change_ratio_percent,80.00000000000001,83.33333333333334,100.0,76.38888888888889,83.6111111111111,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,10.0,reconfiguration_latency_ms,16.727276936149998,16.657999372916667,17.9087762175,16.49995612046847,16.953361034294023,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,10.0,rule_change_ratio_percent,101.6204558874877,100.5050505050505,104.99058846839706,101.4646152122232,101.78852799484189,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,10.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,20.0,gateway_change_ratio_percent,80.16666666666669,83.33333333333334,100.0,76.6111111111111,83.8347222222222,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,20.0,reconfiguration_latency_ms,16.7620261485,16.707636285,17.960460424583335,16.5347066913875,16.990899154765273,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,20.0,rule_change_ratio_percent,101.82381355304572,100.51546391752578,105.59752747252747,101.61916934518196,102.03598671134564,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,20.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,20.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,30.0,gateway_change_ratio_percent,80.11111111111111,83.33333333333334,100.0,76.49861111111109,83.83333333333334,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,30.0,reconfiguration_latency_ms,16.736624970527778,16.680117583333335,17.9685579625,16.5064255988375,16.964292339780556,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,30.0,rule_change_ratio_percent,101.75381516119538,100.49504950495049,105.4945054945055,101.54797186117588,101.95692988155164,150,30,5000,,
exp3,paper,affected_scope,full_rebuild,Full-Rebuild,affected_scope_ratio_percent,30.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
