experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations
exp1,pilot,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,0.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,5.0,success_rate_percent,60.0,100.0,100.0,29.750000000000085,90.0,10,5,5000
exp1,pilot,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,10.0,success_rate_percent,40.0,0.0,100.0,10.0,70.0,10,5,5000
exp1,pilot,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,15.0,success_rate_percent,20.0,0.0,100.0,0.0,40.0,10,5,5000
exp1,pilot,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,20.0,success_rate_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp1,pilot,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,30.0,success_rate_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp1,pilot,state_churn,cspf,CSPF,state_churn_probability_percent,0.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,cspf,CSPF,state_churn_probability_percent,5.0,success_rate_percent,90.0,100.0,100.0,70.0,100.0,10,5,5000
exp1,pilot,state_churn,cspf,CSPF,state_churn_probability_percent,10.0,success_rate_percent,90.0,100.0,100.0,70.0,100.0,10,5,5000
exp1,pilot,state_churn,cspf,CSPF,state_churn_probability_percent,15.0,success_rate_percent,80.0,100.0,100.0,60.0,100.0,10,5,5000
exp1,pilot,state_churn,cspf,CSPF,state_churn_probability_percent,20.0,success_rate_percent,10.0,0.0,54.99999999999989,0.0,30.0,10,5,5000
exp1,pilot,state_churn,cspf,CSPF,state_churn_probability_percent,30.0,success_rate_percent,20.0,0.0,100.0,0.0,40.0,10,5,5000
exp1,pilot,state_churn,proposed,Proposed,state_churn_probability_percent,0.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,proposed,Proposed,state_churn_probability_percent,5.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,proposed,Proposed,state_churn_probability_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,proposed,Proposed,state_churn_probability_percent,15.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,proposed,Proposed,state_churn_probability_percent,20.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp1,pilot,state_churn,proposed,Proposed,state_churn_probability_percent,30.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
