experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations,numerator,denominator
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,3.0,gateway_change_ratio_percent,85.41666666666667,83.33333333333334,97.5,75.0,100.0,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,3.0,reconfiguration_latency_ms,17.052138077083335,16.9387134375,18.018198649583333,16.356872,18.134253433333335,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,3.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,3.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,4,3,5000,4,4
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,3.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,4.0,gateway_change_ratio_percent,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,2,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,4.0,reconfiguration_latency_ms,17.0058592125,17.0058592125,17.4603592125,17.0058592125,17.0058592125,2,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,4.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,2,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,4.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,2,1,5000,2,2
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,4.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,2,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,5.0,gateway_change_ratio_percent,87.5,87.5,98.75,75.0,100.0,2,2,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,5.0,reconfiguration_latency_ms,17.663540441666665,17.663540441666665,18.180398749166663,17.089253433333333,18.237827449999997,2,2,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,5.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,5.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,2,2
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,5.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,6.0,gateway_change_ratio_percent,86.66666666666667,83.33333333333334,96.66666666666667,83.33333333333334,100.0,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,6.0,reconfiguration_latency_ms,16.050638236666668,15.931871999999998,17.257073796666667,15.579021916666669,17.584253433333334,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,6.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,6.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,5,3,5000,5,5
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,6.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,7.0,gateway_change_ratio_percent,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,1,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,7.0,reconfiguration_latency_ms,15.982355250000001,15.982355250000001,15.982355250000001,15.982355250000001,15.982355250000001,1,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,7.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,7.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,7.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,8.0,gateway_change_ratio_percent,87.5,91.66666666666666,97.91666666666666,75.0,100.0,6,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,8.0,reconfiguration_latency_ms,17.511323470138887,17.49220704375,17.967229514583334,17.173525879166665,17.948253433333335,6,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,8.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,6,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,8.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,6,3,5000,6,6
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,8.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,6,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,9.0,gateway_change_ratio_percent,83.33333333333334,83.33333333333334,96.66666666666667,75.0,100.0,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,9.0,reconfiguration_latency_ms,17.083013191666666,17.130554875,18.06769458666667,16.3983513875,17.707054875,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,9.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,9.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,5,3,5000,5,5
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,9.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,5,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,10.0,gateway_change_ratio_percent,89.58333333333334,87.5,98.75,83.33333333333336,100.0,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,10.0,reconfiguration_latency_ms,16.492705786458338,16.202107231250004,17.777294300208332,15.686355250000004,17.982253433333334,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,10.0,rule_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,4,3,5000,4,4
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,10.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,4,3,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,11.0,gateway_change_ratio_percent,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,1,1,5000,,
exp3,pilot,affected_agents,full_rebuild,Full-Rebuild,affected_agent_count,11.0,reconfiguration_latency_ms,16.196872,16.196872,16.196872,16.196872,16.196872,1,1,5000,,
