run_id,seed,task_id,result_mode,verification_backend,real_ping_verification,real_iperf3_verification,num_agents,num_edges,num_gateways,cross_gateway_edge_ratio,version,success,failure_reason,control_plane_latency_ms,legacy_controller_compute_ms,formation_latency_ms,formation_latency_s,mapping_latency_ms,binding_latency_ms,feasibility_latency_ms,cross_layer_coordination_latency_ms,compile_latency_ms,transaction_planning_latency_ms,compilation_and_planning_latency_ms,installation_latency_ms,activation_latency_ms,verification_latency_ms,verifier_runtime_ms,session_count,rule_count,control_messages,control_bytes,rollback_triggered,rollback_success,t_task_received,t_mapping_finished,t_layer_binding_finished,t_feasibility_finished,t_compile_finished,t_stage_started,t_stage_finished,t_staged_verify_finished,t_activate_finished,t_stable_verify_finished
agents=10:seed=0,0,exp3-seed-0000,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.557244151830673,2.3162439465522766,15.928748995065689,0.01592874899506569,0.2227872610092163,1.4782249927520752,0.13935193419456482,1.61757692694664,0.4758797585964203,0.2410002052783966,0.7168799638748169,10.342501103878021,0.738978385925293,2.2900253534317017,2.2696927189826965,15,38,32,80544,False,False,21364344.63951969,21364344.63974248,21364344.641220704,21364344.641360056,21364344.641835935,21364344.642076936,21364344.652419437,21364344.653843258,21364344.654589728,21364344.65544844
agents=10:seed=1,1,exp3-seed-0001,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4055540561676025,2.2273026406764984,14.529138803482056,0.014529138803482056,0.2135634422302246,1.3818517327308655,0.13722851872444153,1.519080251455307,0.4946589469909668,0.17825141549110413,0.6729103624820709,9.211249649524689,0.7070787250995636,2.205256372690201,2.1866820752620697,15,35,32,74332,False,False,21364344.656292606,21364344.65650617,21364344.65788802,21364344.65802525,21364344.65851991,21364344.65869816,21364344.66790941,21364344.66927909,21364344.669993248,21364344.670821745
agents=10:seed=2,2,exp3-seed-0002,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4567879736423492,2.276480197906494,15.750419348478317,0.015750419348478317,0.21297112107276917,1.4011748135089874,0.1383461058139801,1.5395209193229675,0.5239881575107574,0.1803077757358551,0.7042959332466125,9.94756817817688,0.7253512740135193,2.620711922645569,2.6010312139987946,15,38,32,80533,False,False,21364344.671644557,21364344.67185753,21364344.673258703,21364344.67339705,21364344.673921037,21364344.674101345,21364344.684048913,21364344.685807265,21364344.686540224,21364344.687394977
agents=10:seed=3,3,exp3-seed-0003,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4134963750839233,2.2350214421749115,14.845181256532669,0.014845181256532669,0.21322444081306458,1.3823844492435455,0.13674795627593994,1.5191324055194855,0.5026645958423615,0.17847493290901184,0.6811395287513733,9.493224322795868,0.715397298336029,2.2230632603168488,2.204570919275284,15,36,32,76424,False,False,21364344.688228663,21364344.688441887,21364344.689824272,21364344.68996102,21364344.690463684,21364344.69064216,21364344.700135384,21364344.70150761,21364344.702229854,21364344.703073844
agents=10:seed=4,4,exp3-seed-0004,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4052970111370087,2.227015793323517,14.803074300289154,0.014803074300289154,0.21159648895263672,1.3789646327495575,0.1377314329147339,1.5166960656642914,0.49872323870658875,0.17828121781349182,0.6770044565200806,9.455766528844833,0.7120519876480103,2.2299587726593018,2.2114478051662445,15,36,32,76260,False,False,21364344.703897424,21364344.70410902,21364344.705487985,21364344.705625717,21364344.70612444,21364344.70630272,21364344.715758488,21364344.717146575,21364344.717865825,21364344.7187005
agents=10:seed=5,5,exp3-seed-0005,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4306699633598328,2.250339835882187,15.101257711648941,0.015101257711648941,0.20211562514305115,1.3967938721179962,0.13639405369758606,1.5331879258155823,0.5150362849235535,0.18033012747764587,0.6953664124011993,9.72304493188858,0.7194876670837402,2.2280551493167877,2.209298312664032,15,37,32,78504,False,False,21364344.719523605,21364344.71972572,21364344.721122514,21364344.72125891,21364344.721773945,21364344.721954275,21364344.73167732,21364344.73306187,21364344.733788542,21364344.734624863
agents=10:seed=6,6,exp3-seed-0006,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.446051687002182,2.2640377283096313,15.382848680019379,0.015382848680019379,0.22238492965698242,1.3802237808704376,0.1370944082736969,1.5173181891441345,0.5243346095085144,0.18201395869255066,0.7063485682010651,9.972084313631058,0.7276199758052826,2.2370927035808563,2.218339592218399,15,38,32,80525,False,False,21364344.735453185,21364344.73567557,21364344.737055793,21364344.737192888,21364344.737717222,21364344.737899236,21364344.74787132,21364344.74925834,21364344.749993213,21364344.750836033
agents=10:seed=7,7,exp3-seed-0007,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.448059618473053,2.2646673023700714,15.672408044338226,0.015672408044338226,0.2157054841518402,1.3794749975204468,0.13545900583267212,1.514934003353119,0.5340278148651123,0.18339231610298157,0.7174201309680939,10.27432456612587,0.7237903773784637,2.22623348236084,2.2072792053222656,15,39,32,82734,False,False,21364344.75166555,21364344.751881257,21364344.75326073,21364344.75339619,21364344.75393022,21364344.75411361,21364344.764387935,21364344.765757486,21364344.7664883,21364344.76733796
agents=10:seed=8,8,exp3-seed-0008,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4364888668060303,2.2537149488925934,15.764601528644562,0.015764601528644562,0.20489096641540527,1.379009336233139,0.13616681098937988,1.515176147222519,0.5336478352546692,0.1827739179134369,0.7164217531681061,10.369513183832169,0.7299259305000305,2.2286735475063324,2.209719270467758,15,39,32,82757,False,False,21364344.768184368,21364344.76838926,21364344.769768268,21364344.769904435,21364344.770438083,21364344.770620856,21364344.78099037,21364344.78235539,21364344.78309239,21364344.78394897
agents=10:seed=9,9,exp3-seed-0009,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.4084970355033875,2.2278539836406708,15.063472092151642,0.015063472092151642,0.1990795135498047,1.3794079422950745,0.13488903641700745,1.514296978712082,0.5144774913787842,0.18064305186271667,0.6951205432415009,9.711354970932007,0.7212087512016296,2.222411334514618,2.2035837173461914,15,37,32,78339,False,False,21364344.784788337,21364344.784987416,21364344.786366824,21364344.786501713,21364344.78701619,21364344.787196834,21364344.79690819,21364344.79828888,21364344.799017265,21364344.79985181
