method,time_step,pressure,application_demand_mbps,network_available_bandwidth_mbps,physical_available_capacity_mbps,actual_send_rate_mbps,qos_satisfaction_rate,conflict_detection_rate,transaction_success_rate,sample_count
adjacent,0,0.0,13.972884340812929,20.0,22.0,14.671528557853575,1.0,0.0,1.0,30
adjacent,1,0.25,17.524779043705923,20.0,22.0,18.401017995891223,1.0,0.0,1.0,30
adjacent,2,0.5,20.99435858551718,22.04407651479304,36.0,22.04407651479304,1.0,1.0,1.0,30
adjacent,3,0.75,24.515772260084145,25.741560873088353,36.0,25.741560873088353,1.0,1.0,1.0,30
adjacent,4,1.0,28.02312219830747,29.424278308222842,36.0,29.424278308222842,0.03333333333333333,1.0,0.03333333333333333,30
independent,0,0.0,13.972884340812929,20.0,22.0,14.671528557853575,1.0,0.0,1.0,30
independent,1,0.25,17.524779043705923,20.0,22.0,18.401017995891223,1.0,0.0,1.0,30
independent,2,0.5,20.99435858551718,22.04407651479304,21.5,22.04407651479304,0.0,0.0,0.0,30
independent,3,0.75,24.515772260084145,25.741560873088353,19.75,25.741560873088353,0.0,0.0,0.0,30
independent,4,1.0,28.02312219830747,29.424278308222842,18.0,29.424278308222842,0.0,0.0,0.0,30
no_verification,0,0.0,13.972884340812929,20.0,22.0,14.671528557853575,1.0,0.0,1.0,30
no_verification,1,0.25,17.524779043705923,20.0,22.0,18.401017995891223,1.0,0.0,1.0,30
no_verification,2,0.5,20.99435858551718,22.04407651479304,22.0,22.04407651479304,0.43333333333333335,0.0,0.43333333333333335,30
no_verification,3,0.75,24.515772260084145,25.741560873088353,22.0,25.741560873088353,0.0,0.0,0.0,30
no_verification,4,1.0,28.02312219830747,29.424278308222842,22.0,29.424278308222842,0.0,0.0,0.0,30
proposed,0,0.0,13.972884340812929,20.0,22.0,14.671528557853575,1.0,0.0,1.0,30
proposed,1,0.25,17.524779043705923,20.0,22.0,18.401017995891223,1.0,0.0,1.0,30
proposed,2,0.5,20.99435858551718,22.04407651479304,36.0,22.04407651479304,1.0,1.0,1.0,30
proposed,3,0.75,24.515772260084145,25.741560873088353,36.0,25.741560873088353,1.0,1.0,1.0,30
proposed,4,1.0,28.02312219830747,29.424278308222842,36.0,28.06909561375886,1.0,1.0,1.0,30
