x,scenario,pressure,pressure_level,method,mean,ci95,sample_count
A1,application_capacity,0.6,1,adjacent,0.2221946914990743,0.002758405927118747,30
A1,application_capacity,0.6,1,independent,0.03563389182090759,0.00016797352081222015,30
A1,application_capacity,0.6,1,no_verification,0.5589142441749573,0.002706045911456227,30
A1,application_capacity,0.6,1,proposed,4.894046609600385,0.03859290335288208,30
A2,application_capacity,0.8,2,adjacent,0.2196000268061956,0.0009294651096294819,30
A2,application_capacity,0.8,2,independent,0.03553169469038645,0.0003607071716867149,30
A2,application_capacity,0.8,2,no_verification,0.5560319870710373,0.002052517222896225,30
A2,application_capacity,0.8,2,proposed,4.8391807824373245,0.017680380307592128,30
A3,application_capacity,1.0,3,adjacent,0.22126647333304086,0.00085054625804296,30
A3,application_capacity,1.0,3,independent,0.03590484460194906,0.0010608637109066096,30
A3,application_capacity,1.0,3,no_verification,0.5540745953718821,0.001286943376721063,30
A3,application_capacity,1.0,3,proposed,4.839997366070747,0.01656647324230357,30
A4,application_capacity,1.1,4,adjacent,0.7089188943306605,0.003186351181208335,30
A4,application_capacity,1.1,4,independent,0.03525763750076294,0.00017914614736051692,30
A4,application_capacity,1.1,4,no_verification,0.5544515947500864,0.0015207262951681473,30
A4,application_capacity,1.1,4,proposed,4.879789551099141,0.01319788709566185,30
A5,application_capacity,1.2,5,adjacent,0.707350547115008,0.00374076678864392,30
A5,application_capacity,1.2,5,independent,0.035344560941060386,0.00032831685063953195,30
A5,application_capacity,1.2,5,no_verification,0.5569928636153539,0.002926100771713404,30
A5,application_capacity,1.2,5,proposed,4.896339774131775,0.011294724188444284,30
A6,application_capacity,1.4,6,adjacent,0.7234486440817515,0.0027121032323526497,30
A6,application_capacity,1.4,6,independent,0.03518673280874888,0.00022078624271038708,30
A6,application_capacity,1.4,6,no_verification,0.5569723745187124,0.0017398153157725305,30
A6,application_capacity,1.4,6,proposed,5.130968242883682,0.008847634669719941,30
T1,transport_network,0.4,1,adjacent,0.21371282637119293,0.0010403172953166923,30
T1,transport_network,0.4,1,independent,0.035239135225613914,0.0003429096634038576,30
T1,transport_network,0.4,1,no_verification,0.555095449090004,0.0013458681323431027,30
T1,transport_network,0.4,1,proposed,4.856814568241437,0.02514375697581004,30
T2,transport_network,0.6,2,adjacent,0.21282037099202475,0.0009372129022946455,30
T2,transport_network,0.6,2,independent,0.03492012619972229,0.0003001273698442321,30
T2,transport_network,0.6,2,no_verification,0.5536090582609177,0.0016179207895139099,30
T2,transport_network,0.6,2,proposed,7.158137857913971,4.521365097384271,30
T3,transport_network,0.75,3,adjacent,0.21391150852044424,0.0014227971769475726,30
T3,transport_network,0.75,3,independent,0.03554274638493856,0.0008882918605346781,30
T3,transport_network,0.75,3,no_verification,0.5570122351249059,0.00269353507399192,30
T3,transport_network,0.75,3,proposed,4.863189409176509,0.02639852360993888,30
T4,transport_network,0.85,4,adjacent,0.693845252195994,0.002603366200707588,30
T4,transport_network,0.85,4,independent,0.03501127163569132,0.00021047642019302607,30
T4,transport_network,0.85,4,no_verification,0.5539809664090475,0.0013956275339100114,30
T4,transport_network,0.85,4,proposed,4.914216821392377,0.02818214887661827,30
T5,transport_network,0.95,5,adjacent,0.6913337856531143,0.00329738506258251,30
T5,transport_network,0.95,5,independent,0.035141160090764366,0.0003269580141729851,30
T5,transport_network,0.95,5,no_verification,0.555184856057167,0.0014018756365009276,30
T5,transport_network,0.95,5,proposed,4.861980179945628,0.008482125345744483,30
T6,transport_network,0.99,6,adjacent,0.6904390950997671,0.002300558472918391,30
T6,transport_network,0.99,6,independent,0.03552126387755076,0.0005313834239228138,30
T6,transport_network,0.99,6,no_verification,0.5560057858626047,0.001375997832010709,30
T6,transport_network,0.99,6,proposed,4.867249106367429,0.01291193458997141,30
N1,network_physical,0.0,1,adjacent,0.21747189263502756,0.0010914696617491198,30
N1,network_physical,0.0,1,independent,0.035083418091138206,0.00034008862364645934,30
N1,network_physical,0.0,1,no_verification,0.555201123158137,0.0014207432008158237,30
N1,network_physical,0.0,1,proposed,9.737310682733854,9.502831006663689,30
N2,network_physical,0.1,2,adjacent,0.2179709573586782,0.0015316933635582748,30
N2,network_physical,0.1,2,independent,0.03510167201360067,0.00038128919873156087,30
N2,network_physical,0.1,2,no_verification,0.554627925157547,0.0018115291444755158,30
N2,network_physical,0.1,2,proposed,4.8978521178166075,0.024947428816400635,30
N3,network_physical,0.2,3,adjacent,0.4693172872066498,0.0857463699285769,30
N3,network_physical,0.2,3,independent,0.03512625892957052,0.0003954672008424057,30
N3,network_physical,0.2,3,no_verification,0.5548927932977676,0.00145823129570702,30
N3,network_physical,0.2,3,proposed,4.902286579211553,0.014961565518112873,30
N4,network_physical,0.3,4,adjacent,0.6914183497428894,0.0033177368441132966,30
N4,network_physical,0.3,4,independent,0.0353444367647171,0.0004515073673175857,30
N4,network_physical,0.3,4,no_verification,0.555512805779775,0.0018507441712686263,30
N4,network_physical,0.3,4,proposed,4.872255772352219,0.010090732619412748,30
N5,network_physical,0.4,5,adjacent,0.6913173943758011,0.0038585854418098434,30
N5,network_physical,0.4,5,independent,0.03537448743979136,0.0004399516374133156,30
N5,network_physical,0.4,5,no_verification,0.5554656187693278,0.0015103145747446208,30
N5,network_physical,0.4,5,proposed,4.906019816795985,0.022511650413868566,30
N6,network_physical,0.5,6,adjacent,0.6937552243471146,0.00334231862468221,30
N6,network_physical,0.5,6,independent,0.035476560393969216,0.0017360287520439086,30
N6,network_physical,0.5,6,no_verification,0.5569847921530405,0.002845670499806363,30
N6,network_physical,0.5,6,proposed,4.871244976917903,0.017198747498081358,30
