x,scenario,pressure,pressure_level,method,mean,ci95,sample_count
A1,application_capacity,0.6,1,adjacent,44078.333333333336,741.7591678794271,30
A1,application_capacity,0.6,1,independent,44078.333333333336,741.7591678794271,30
A1,application_capacity,0.6,1,no_verification,44078.333333333336,741.7591678794271,30
A1,application_capacity,0.6,1,proposed,44078.333333333336,741.7591678794271,30
A2,application_capacity,0.8,2,adjacent,44077.73333333333,741.1827704318565,30
A2,application_capacity,0.8,2,independent,44077.73333333333,741.1827704318565,30
A2,application_capacity,0.8,2,no_verification,44077.73333333333,741.1827704318565,30
A2,application_capacity,0.8,2,proposed,44077.73333333333,741.1827704318565,30
A3,application_capacity,1.0,3,adjacent,44076.03333333333,741.3137209681005,30
A3,application_capacity,1.0,3,independent,44076.03333333333,741.3137209681005,30
A3,application_capacity,1.0,3,no_verification,44076.03333333333,741.3137209681005,30
A3,application_capacity,1.0,3,proposed,44076.03333333333,741.3137209681005,30
A4,application_capacity,1.1,4,adjacent,44078.333333333336,741.5662146337868,30
A4,application_capacity,1.1,4,independent,45134.066666666666,741.652939959493,30
A4,application_capacity,1.1,4,no_verification,45134.066666666666,741.652939959493,30
A4,application_capacity,1.1,4,proposed,44078.333333333336,741.5662146337868,30
A5,application_capacity,1.2,5,adjacent,44077.433333333334,741.3852264447677,30
A5,application_capacity,1.2,5,independent,45133.166666666664,741.4720729872951,30
A5,application_capacity,1.2,5,no_verification,45133.166666666664,741.4720729872951,30
A5,application_capacity,1.2,5,proposed,44077.433333333334,741.3852264447677,30
A6,application_capacity,1.4,6,adjacent,45132.86666666667,741.4248266067871,30
A6,application_capacity,1.4,6,independent,45132.86666666667,741.4248266067871,30
A6,application_capacity,1.4,6,no_verification,45132.86666666667,741.4248266067871,30
A6,application_capacity,1.4,6,proposed,44077.13333333333,741.3381317757547,30
T1,transport_network,0.4,1,adjacent,43965.333333333336,737.5326145830026,30
T1,transport_network,0.4,1,independent,43965.333333333336,737.5326145830026,30
T1,transport_network,0.4,1,no_verification,43965.333333333336,737.5326145830026,30
T1,transport_network,0.4,1,proposed,43965.333333333336,737.5326145830026,30
T2,transport_network,0.6,2,adjacent,43965.333333333336,737.5326145830026,30
T2,transport_network,0.6,2,independent,43965.333333333336,737.5326145830026,30
T2,transport_network,0.6,2,no_verification,43965.333333333336,737.5326145830026,30
T2,transport_network,0.6,2,proposed,43965.333333333336,737.5326145830026,30
T3,transport_network,0.75,3,adjacent,43965.333333333336,737.5326145830026,30
T3,transport_network,0.75,3,independent,43965.333333333336,737.5326145830026,30
T3,transport_network,0.75,3,no_verification,43965.333333333336,737.5326145830026,30
T3,transport_network,0.75,3,proposed,43965.333333333336,737.5326145830026,30
T4,transport_network,0.85,4,adjacent,44041.86666666667,740.2474934242318,30
T4,transport_network,0.85,4,independent,45021.066666666666,737.620939585921,30
T4,transport_network,0.85,4,no_verification,45021.066666666666,737.620939585921,30
T4,transport_network,0.85,4,proposed,44041.86666666667,740.2474934242318,30
T5,transport_network,0.95,5,adjacent,44041.86666666667,740.2474934242318,30
T5,transport_network,0.95,5,independent,45021.066666666666,737.620939585921,30
T5,transport_network,0.95,5,no_verification,45021.066666666666,737.620939585921,30
T5,transport_network,0.95,5,proposed,44041.86666666667,740.2474934242318,30
T6,transport_network,0.99,6,adjacent,44041.86666666667,740.2474934242318,30
T6,transport_network,0.99,6,independent,45021.066666666666,737.620939585921,30
T6,transport_network,0.99,6,no_verification,45021.066666666666,737.620939585921,30
T6,transport_network,0.99,6,proposed,44041.86666666667,740.2474934242318,30
N1,network_physical,0.0,1,adjacent,44020.0,739.4652511901429,30
N1,network_physical,0.0,1,independent,44020.0,739.4652511901429,30
N1,network_physical,0.0,1,no_verification,44020.0,739.4652511901429,30
N1,network_physical,0.0,1,proposed,44020.0,739.4652511901429,30
N2,network_physical,0.1,2,adjacent,44020.0,739.4652511901429,30
N2,network_physical,0.1,2,independent,44020.0,739.4652511901429,30
N2,network_physical,0.1,2,no_verification,44020.0,739.4652511901429,30
N2,network_physical,0.1,2,proposed,44020.0,739.4652511901429,30
N3,network_physical,0.2,3,adjacent,44031.46666666667,741.8165065594567,30
N3,network_physical,0.2,3,independent,44583.13333333333,845.9917726155924,30
N3,network_physical,0.2,3,no_verification,44583.13333333333,845.9917726155924,30
N3,network_physical,0.2,3,proposed,44031.46666666667,741.8165065594567,30
N4,network_physical,0.3,4,adjacent,44041.86666666667,740.2474934242318,30
N4,network_physical,0.3,4,independent,45075.73333333333,739.5528518020132,30
N4,network_physical,0.3,4,no_verification,45075.73333333333,739.5528518020132,30
N4,network_physical,0.3,4,proposed,44041.86666666667,740.2474934242318,30
N5,network_physical,0.4,5,adjacent,44041.86666666667,740.2474934242318,30
N5,network_physical,0.4,5,independent,45075.73333333333,739.5528518020132,30
N5,network_physical,0.4,5,no_verification,45075.73333333333,739.5528518020132,30
N5,network_physical,0.4,5,proposed,44041.86666666667,740.2474934242318,30
N6,network_physical,0.5,6,adjacent,44041.86666666667,740.2474934242318,30
N6,network_physical,0.5,6,independent,45075.73333333333,739.5528518020132,30
N6,network_physical,0.5,6,no_verification,45075.73333333333,739.5528518020132,30
N6,network_physical,0.5,6,proposed,44041.86666666667,740.2474934242318,30
