x,scenario,pressure,pressure_level,method,mean,ci95,sample_count
A1,application_capacity,0.6,1,adjacent,1.0,0.0,30
A1,application_capacity,0.6,1,independent,1.0,0.0,30
A1,application_capacity,0.6,1,no_verification,1.0,0.0,30
A1,application_capacity,0.6,1,proposed,1.0,0.0,30
A2,application_capacity,0.8,2,adjacent,1.0,0.0,30
A2,application_capacity,0.8,2,independent,1.0,0.0,30
A2,application_capacity,0.8,2,no_verification,1.0,0.0,30
A2,application_capacity,0.8,2,proposed,1.0,0.0,30
A3,application_capacity,1.0,3,adjacent,1.0,0.0,30
A3,application_capacity,1.0,3,independent,1.0,0.0,30
A3,application_capacity,1.0,3,no_verification,1.0,0.0,30
A3,application_capacity,1.0,3,proposed,1.0,0.0,30
A4,application_capacity,1.1,4,adjacent,1.0,0.0,30
A4,application_capacity,1.1,4,independent,0.0,0.0,30
A4,application_capacity,1.1,4,no_verification,0.0,0.0,30
A4,application_capacity,1.1,4,proposed,1.0,0.0,30
A5,application_capacity,1.2,5,adjacent,1.0,0.0,30
A5,application_capacity,1.2,5,independent,0.0,0.0,30
A5,application_capacity,1.2,5,no_verification,0.0,0.0,30
A5,application_capacity,1.2,5,proposed,1.0,0.0,30
A6,application_capacity,1.4,6,adjacent,0.0,0.0,30
A6,application_capacity,1.4,6,independent,0.0,0.0,30
A6,application_capacity,1.4,6,no_verification,0.0,0.0,30
A6,application_capacity,1.4,6,proposed,1.0,0.0,30
T1,transport_network,0.4,1,adjacent,1.0,0.0,30
T1,transport_network,0.4,1,independent,1.0,0.0,30
T1,transport_network,0.4,1,no_verification,1.0,0.0,30
T1,transport_network,0.4,1,proposed,1.0,0.0,30
T2,transport_network,0.6,2,adjacent,1.0,0.0,30
T2,transport_network,0.6,2,independent,1.0,0.0,30
T2,transport_network,0.6,2,no_verification,1.0,0.0,30
T2,transport_network,0.6,2,proposed,1.0,0.0,30
T3,transport_network,0.75,3,adjacent,1.0,0.0,30
T3,transport_network,0.75,3,independent,1.0,0.0,30
T3,transport_network,0.75,3,no_verification,1.0,0.0,30
T3,transport_network,0.75,3,proposed,1.0,0.0,30
T4,transport_network,0.85,4,adjacent,1.0,0.0,30
T4,transport_network,0.85,4,independent,0.0,0.0,30
T4,transport_network,0.85,4,no_verification,0.0,0.0,30
T4,transport_network,0.85,4,proposed,1.0,0.0,30
T5,transport_network,0.95,5,adjacent,1.0,0.0,30
T5,transport_network,0.95,5,independent,0.0,0.0,30
T5,transport_network,0.95,5,no_verification,0.0,0.0,30
T5,transport_network,0.95,5,proposed,1.0,0.0,30
T6,transport_network,0.99,6,adjacent,1.0,0.0,30
T6,transport_network,0.99,6,independent,0.0,0.0,30
T6,transport_network,0.99,6,no_verification,0.0,0.0,30
T6,transport_network,0.99,6,proposed,1.0,0.0,30
N1,network_physical,0.0,1,adjacent,1.0,0.0,30
N1,network_physical,0.0,1,independent,1.0,0.0,30
N1,network_physical,0.0,1,no_verification,1.0,0.0,30
N1,network_physical,0.0,1,proposed,1.0,0.0,30
N2,network_physical,0.1,2,adjacent,1.0,0.0,30
N2,network_physical,0.1,2,independent,1.0,0.0,30
N2,network_physical,0.1,2,no_verification,1.0,0.0,30
N2,network_physical,0.1,2,proposed,1.0,0.0,30
N3,network_physical,0.2,3,adjacent,1.0,0.0,30
N3,network_physical,0.2,3,independent,0.4666666666666667,0.1815765778944155,30
N3,network_physical,0.2,3,no_verification,0.4666666666666667,0.1815765778944155,30
N3,network_physical,0.2,3,proposed,1.0,0.0,30
N4,network_physical,0.3,4,adjacent,1.0,0.0,30
N4,network_physical,0.3,4,independent,0.0,0.0,30
N4,network_physical,0.3,4,no_verification,0.0,0.0,30
N4,network_physical,0.3,4,proposed,1.0,0.0,30
N5,network_physical,0.4,5,adjacent,1.0,0.0,30
N5,network_physical,0.4,5,independent,0.0,0.0,30
N5,network_physical,0.4,5,no_verification,0.0,0.0,30
N5,network_physical,0.4,5,proposed,1.0,0.0,30
N6,network_physical,0.5,6,adjacent,1.0,0.0,30
N6,network_physical,0.5,6,independent,0.0,0.0,30
N6,network_physical,0.5,6,no_verification,0.0,0.0,30
N6,network_physical,0.5,6,proposed,1.0,0.0,30
