scenario,scenario_family,conflict_pressure,method,runs,successful_runs,failed_runs,success_rate,rollback_rate,rollback_success_rate,qos_satisfaction_rate,infeasible_configuration_rate,post_execution_verification_success_rate,conflict_detection_rate,false_alarm_rate,conflict_resolution_rate,ground_truth_conflict_rate,success_rate_ci95,rollback_rate_ci95,qos_satisfaction_rate_ci95,infeasible_configuration_rate_ci95,conflict_detection_rate_ci95,false_alarm_rate_ci95,conflict_resolution_rate_ci95,coordination_latency_ms_count,coordination_latency_ms_mean,coordination_latency_ms_median,coordination_latency_ms_std,coordination_latency_ms_ci95,coordination_latency_ms_p95,feasibility_latency_ms_count,feasibility_latency_ms_mean,feasibility_latency_ms_median,feasibility_latency_ms_std,feasibility_latency_ms_ci95,feasibility_latency_ms_p95,transaction_latency_ms_count,transaction_latency_ms_mean,transaction_latency_ms_median,transaction_latency_ms_std,transaction_latency_ms_ci95,transaction_latency_ms_p95,total_decision_latency_ms_count,total_decision_latency_ms_mean,total_decision_latency_ms_median,total_decision_latency_ms_std,total_decision_latency_ms_ci95,total_decision_latency_ms_p95,qos_satisfaction_rate_count,qos_satisfaction_rate_mean,qos_satisfaction_rate_median,qos_satisfaction_rate_std,qos_satisfaction_rate_p95,candidate_combinations_count,candidate_combinations_mean,candidate_combinations_median,candidate_combinations_std,candidate_combinations_ci95,candidate_combinations_p95,rejected_combinations_count,rejected_combinations_mean,rejected_combinations_median,rejected_combinations_std,rejected_combinations_ci95,rejected_combinations_p95,rejected_proposals_count,rejected_proposals_mean,rejected_proposals_median,rejected_proposals_std,rejected_proposals_ci95,rejected_proposals_p95,changed_actions_count,changed_actions_mean,changed_actions_median,changed_actions_std,changed_actions_ci95,changed_actions_p95,changed_rules_count,changed_rules_mean,changed_rules_median,changed_rules_std,changed_rules_ci95,changed_rules_p95,affected_gateways_count,affected_gateways_mean,affected_gateways_median,affected_gateways_std,affected_gateways_ci95,affected_gateways_p95,control_messages_count,control_messages_mean,control_messages_median,control_messages_std,control_messages_ci95,control_messages_p95,control_bytes_count,control_bytes_mean,control_bytes_median,control_bytes_std,control_bytes_ci95,control_bytes_p95,application_rate_mbps_count,application_rate_mbps_mean,application_rate_mbps_median,application_rate_mbps_std,application_rate_mbps_ci95,application_rate_mbps_p95,transport_rate_mbps_count,transport_rate_mbps_mean,transport_rate_mbps_median,transport_rate_mbps_std,transport_rate_mbps_ci95,transport_rate_mbps_p95,network_available_bandwidth_mbps_count,network_available_bandwidth_mbps_mean,network_available_bandwidth_mbps_median,network_available_bandwidth_mbps_std,network_available_bandwidth_mbps_ci95,network_available_bandwidth_mbps_p95,physical_available_capacity_mbps_count,physical_available_capacity_mbps_mean,physical_available_capacity_mbps_median,physical_available_capacity_mbps_std,physical_available_capacity_mbps_ci95,physical_available_capacity_mbps_p95,latency_ms_count,latency_ms_mean,latency_ms_median,latency_ms_std,latency_ms_ci95,latency_ms_p95,packet_loss_rate_count,packet_loss_rate_mean,packet_loss_rate_median,packet_loss_rate_std,packet_loss_rate_ci95,packet_loss_rate_p95,reliability_count,reliability_mean,reliability_median,reliability_std,reliability_ci95,reliability_p95
ablation,ablation,,proposed,30,30,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4.876829559604327,4.872605204582214,0.023705455153047884,0.008482888181857584,4.92144450545311,30,4.8007616152366,4.797128960490227,0.023343737540586072,0.008353449196606652,4.844755120575428,30,11.84495079020659,11.836998164653778,0.43016488158903965,0.15393252594066575,12.444151751697063,30,21.95104273657004,21.979687735438347,0.5441960394471241,0.1947380517199719,22.717552818357944,30,1.0,1.0,0.0,1.0,30,81.0,81.0,0.0,0.0,81.0,30,77.0,77.0,0.0,0.0,77.0,30,8.0,8.0,0.0,0.0,8.0,30,4.0,4.0,0.0,0.0,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,32.0,32.0,0.0,0.0,32.0,30,44077.433333333334,43687.0,2071.8031241065046,741.3852264447677,46891.5,30,23.992112449863843,24.002725972864553,0.22506492278524046,0.08053844827358796,24.295745071615208,30,25.191718072357038,25.202862271507783,0.23631816892450272,0.08456537068726745,25.51053232519597,30,25.191718072357038,25.202862271507783,0.23631816892450272,0.08456537068726745,25.51053232519597,30,36.0,36.0,0.0,0.0,36.0,30,17.08695652173913,17.08695652173913,0.0,0.0,17.08695652173913,30,0.0059890060000000744,0.0059890060000000744,0.0,0.0,0.0059890060000000744,30,0.993014991,0.993014991,0.0,0.0,0.9930149910000001
ablation,ablation,,without_application,30,0,30,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.7427542557319005,1.740405336022377,0.01262720110150632,0.00451858588254674,1.7644332721829414,30,1.6810535142819087,1.6795042902231216,0.012455429537695174,0.004457118217858369,1.702052727341652,30,15.384147564570108,15.410654246807098,0.5896054595256751,0.2109876040041355,16.169551201164722,30,22.35405209163825,22.41664193570614,0.7164449669112968,0.25637653879772826,23.376521095633507,30,0.0,0.0,0.0,0.0,30,27.0,27.0,0.0,0.0,27.0,30,27.0,27.0,0.0,0.0,27.0,30,10.0,10.0,0.0,0.0,10.0,30,0.0,0.0,0.0,0.0,0.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,40.0,40.0,0.0,0.0,40.0,30,45021.066666666666,44665.0,2061.2838137722665,737.620939585921,47821.5,30,10.0,10.0,0.0,0.0,10.0,30,10.0,10.0,0.0,0.0,10.0,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.536,16.536,0.0,0.0,16.536,30,0.0059890060000000744,0.0059890060000000744,0.0,0.0,0.0059890060000000744,30,0.993014991,0.993014991,0.0,0.0,0.9930149910000001
ablation,ablation,,without_network,30,0,30,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.750209927558899,1.751074567437172,0.017720878930369204,0.006341335084267739,1.7791349440813065,30,1.6883014390865962,1.6902443021535873,0.017213628761638237,0.006159817942589067,1.7162380740046501,30,15.38629544277986,15.381807461380959,0.5813797146888516,0.2080440590178544,16.218366101384163,30,22.36105153958003,22.337671369314194,0.693128717364211,0.24803292605326738,23.35413619875908,30,0.0,0.0,0.0,0.0,30,27.0,27.0,0.0,0.0,27.0,30,27.0,27.0,0.0,0.0,27.0,30,10.0,10.0,0.0,0.0,10.0,30,0.0,0.0,0.0,0.0,0.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,40.0,40.0,0.0,0.0,40.0,30,45021.066666666666,44665.0,2061.2838137722665,737.620939585921,47821.5,30,10.0,10.0,0.0,0.0,10.0,30,10.0,10.0,0.0,0.0,10.0,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.536,16.536,0.0,0.0,16.536,30,0.0059890060000000744,0.0059890060000000744,0.0,0.0,0.0059890060000000744,30,0.993014991,0.993014991,0.0,0.0,0.9930149910000001
ablation,ablation,,without_physical,30,0,30,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.767243320743243,1.7676632851362228,0.015248236676502856,0.005456511417400169,1.791871152818203,30,1.7034272352854412,1.7044972628355026,0.014244568936360804,0.005097353529209693,1.7256923019886017,30,15.401101484894753,15.4233667999506,0.5887593073806795,0.21068481234776376,16.225233115255833,30,22.317058841387432,22.324880585074425,0.7096415808284702,0.2539419783547408,23.284977860748768,30,0.0,0.0,0.0,0.0,30,27.0,27.0,0.0,0.0,27.0,30,27.0,27.0,0.0,0.0,27.0,30,10.0,10.0,0.0,0.0,10.0,30,0.0,0.0,0.0,0.0,0.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,40.0,40.0,0.0,0.0,40.0,30,45021.066666666666,44665.0,2061.2838137722665,737.620939585921,47821.5,30,10.0,10.0,0.0,0.0,10.0,30,10.0,10.0,0.0,0.0,10.0,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.536,16.536,0.0,0.0,16.536,30,0.0059890060000000744,0.0059890060000000744,0.0,0.0,0.0059890060000000744,30,0.993014991,0.993014991,0.0,0.0,0.9930149910000001
ablation,ablation,,without_transport,30,0,30,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.7595515896876652,1.7606467008590698,0.01289039104219106,0.004612767193262106,1.7805788666009903,30,1.69568732380867,1.6976594924926758,0.013029155805256707,0.004662423525995144,1.715598814189434,30,15.3928870956103,15.396125614643097,0.5815917204345359,0.20811992429961926,16.19099173694849,30,22.300231084227562,22.31038548052311,0.6995349539177736,0.250325368362413,23.26471656560898,30,0.0,0.0,0.0,0.0,30,27.0,27.0,0.0,0.0,27.0,30,27.0,27.0,0.0,0.0,27.0,30,10.0,10.0,0.0,0.0,10.0,30,0.0,0.0,0.0,0.0,0.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,40.0,40.0,0.0,0.0,40.0,30,45021.066666666666,44665.0,2061.2838137722665,737.620939585921,47821.5,30,10.0,10.0,0.0,0.0,10.0,30,10.0,10.0,0.0,0.0,10.0,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.536,16.536,0.0,0.0,16.536,30,0.0059890060000000744,0.0059890060000000744,0.0,0.0,0.0059890060000000744,30,0.993014991,0.993014991,0.0,0.0,0.9930149910000001
application_capacity:pressure=0.6,application_capacity,0.6,adjacent,30,30,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.2221946914990743,0.2187732607126236,0.0077083732093820865,0.002758405927118747,0.23503322154283524,30,0.18397880097230276,0.18117018043994904,0.006454454924630829,0.002309697031632133,0.19680969417095184,30,12.516993780930838,11.933021247386932,3.4207338340707216,1.224093881639223,12.62206006795168,30,17.957784980535507,17.377112060785294,3.4893655966173616,1.2486534424512032,18.24296861886978,30,1.0,1.0,0.0,1.0,30,3.0,3.0,0.0,0.0,3.0,30,0.0,0.0,0.0,0.0,0.0,30,8.0,8.0,0.0,0.0,8.0,30,4.0,4.0,0.0,0.0,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,32.0,32.0,0.0,0.0,32.0,30,44078.333333333336,43693.0,2072.8481045093044,741.7591678794271,46886.55,30,12.004635868277022,12.018513161768052,0.10626050012876824,0.03802483162297388,12.134805429447166,30,12.604867661690871,12.619438819856455,0.11157352513520664,0.03992607320412258,12.741545700919527,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.737758632369154,16.738321071968038,0.004383044493087234,0.0015684523284162804,16.743138775136174,30,0.003995002000000025,0.003995002000000025,0.0,0.0,0.003995002000000025,30,0.9950069969999998,0.995006997,0.0,0.0,0.995006997
application_capacity:pressure=0.6,application_capacity,0.6,independent,30,30,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.03563389182090759,0.035550445318222046,0.0004694024816960024,0.00016797352081222015,0.03636479377746582,30,0.0,0.0,0.0,0.0,0.0,30,11.945190529028574,11.950328946113586,0.4133863424377773,0.14792840281558084,12.522222101688385,30,17.19989652434985,17.25451834499836,0.5323489052005431,0.19049860917645758,17.998933233320713,30,1.0,1.0,0.0,1.0,30,4.0,4.0,0.0,0.0,4.0,30,0.0,0.0,0.0,0.0,0.0,30,8.0,8.0,0.0,0.0,8.0,30,4.0,4.0,0.0,0.0,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,32.0,32.0,0.0,0.0,32.0,30,44078.333333333336,43693.0,2072.8481045093044,741.7591678794271,46886.55,30,12.004635868277022,12.018513161768052,0.10626050012876824,0.03802483162297388,12.134805429447166,30,12.604867661690871,12.619438819856455,0.11157352513520664,0.03992607320412258,12.741545700919527,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.737758632369154,16.738321071968038,0.004383044493087234,0.0015684523284162804,16.743138775136174,30,0.003995002000000025,0.003995002000000025,0.0,0.0,0.003995002000000025,30,0.9950069969999998,0.995006997,0.0,0.0,0.995006997
application_capacity:pressure=0.6,application_capacity,0.6,no_verification,30,30,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5589142441749573,0.5554128438234329,0.007562052996679607,0.002706045911456227,0.5729470402002335,30,0.0,0.0,0.0,0.0,0.0,30,11.961935957272848,11.98708638548851,0.42704904872263627,0.1528175394690536,12.5377856194973,30,17.74255633354187,17.78445579111576,0.550430190340383,0.19696891396644275,18.510991148650646,30,1.0,1.0,0.0,1.0,30,81.0,81.0,0.0,0.0,81.0,30,0.0,0.0,0.0,0.0,0.0,30,8.0,8.0,0.0,0.0,8.0,30,3.0,3.0,0.0,0.0,3.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,32.0,32.0,0.0,0.0,32.0,30,44078.333333333336,43693.0,2072.8481045093044,741.7591678794271,46886.55,30,12.004635868277022,12.018513161768052,0.10626050012876824,0.03802483162297388,12.134805429447166,30,12.604867661690871,12.619438819856455,0.11157352513520664,0.03992607320412258,12.741545700919527,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.737758632369154,16.738321071968038,0.004383044493087234,0.0015684523284162804,16.743138775136174,30,0.0059890060000000744,0.0059890060000000744,0.0,0.0,0.0059890060000000744,30,0.993014991,0.993014991,0.0,0.0,0.9930149910000001
application_capacity:pressure=0.6,application_capacity,0.6,proposed,30,30,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4.894046609600385,4.866857081651688,0.10784797819382792,0.03859290335288208,5.043011903762817,30,4.820184533794721,4.792302846908569,0.10703344457396474,0.03830142624041775,4.966393485665321,30,11.908894528945288,11.863479390740395,0.44006938474891677,0.15747680687767573,12.526239268481731,30,23.154300451278687,21.94848097860813,4.47508164625674,1.6013874006970181,30.29512111097575,30,1.0,1.0,0.0,1.0,30,81.0,81.0,0.0,0.0,81.0,30,67.0,67.0,0.0,0.0,67.0,30,8.0,8.0,0.0,0.0,8.0,30,4.0,4.0,0.0,0.0,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,32.0,32.0,0.0,0.0,32.0,30,44078.333333333336,43693.0,2072.8481045093044,741.7591678794271,46886.55,30,12.004635868277022,12.018513161768052,0.10626050012876824,0.03802483162297388,12.134805429447166,30,12.604867661690871,12.619438819856455,0.11157352513520664,0.03992607320412258,12.741545700919527,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.737758632369154,16.738321071968038,0.004383044493087234,0.0015684523284162804,16.743138775136174,30,0.003995002000000025,0.003995002000000025,0.0,0.0,0.003995002000000025,30,0.9950069969999998,0.995006997,0.0,0.0,0.995006997
application_capacity:pressure=0.8,application_capacity,0.8,adjacent,30,30,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.2196000268061956,0.2191588282585144,0.0025973928926432623,0.0009294651096294819,0.22414512932300568,30,0.18163534502188364,0.1814626157283783,0.0022515320372927306,0.0008057003920369172,0.18502622842788696,30,12.462643658121427,11.896330863237381,3.0431860171131566,1.0889901304613565,12.735042534768581,30,17.914550006389618,17.34209433197975,3.0844387626491496,1.103752235863558,18.350341729819775,30,1.0,1.0,0.0,1.0,30,3.0,3.0,0.0,0.0,3.0,30,0.0,0.0,0.0,0.0,0.0,30,8.0,8.0,0.0,0.0,8.0,30,4.0,4.0,0.0,0.0,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,2.7333333333333334,3.0,0.7396799556440672,0.26469107273324183,4.0,30,32.0,32.0,0.0,0.0,32.0,30,44077.73333333333,43690.0,2071.2373602025555,741.1827704318565,46886.55,30,15.973034886105332,15.980725345022767,0.12747867648809363,0.04561765851944246,16.180535886254646,30,16.7716866304106,16.77976161227391,0.13385261031249837,0.0478985414454146,16.98956268056738,30,20.0,20.0,0.0,0.0,20.0,30,22.0,22.0,0.0,0.0,22.0,30,16.91866266652308,16.919029048702644,0.006418312483134342,0.002296763625044721,16.92914267989656,30,0.003995002000000025,0.003995002000000025,0.0,0.0,0.003995002000000025,30,0.9950069969999998,0.995006997,0.0,0.0,0.995006997
