run_id,seed,scenario,method,scenario_fingerprint,result_mode,num_agents,num_edges,num_gateways,num_proposals,num_layers_involved,conflict_pressure,ground_truth_conflict,ground_truth_resolvable,conflict_detected,conflict_type,conflict_resolved,candidate_combinations,rejected_combinations,selected_proposals,rejected_proposals,coordination_latency_ms,feasibility_latency_ms,transaction_latency_ms,total_decision_latency_ms,qos_satisfied,qos_satisfaction_rate,infeasible_configuration,post_execution_verification_success,application_rate_mbps,transport_rate_mbps,network_available_bandwidth_mbps,physical_available_capacity_mbps,latency_ms,packet_loss_rate,reliability,changed_actions,changed_rules,affected_gateways,control_messages,control_bytes,rollback_triggered,rollback_success,success,failure_reason,event_occurred_at,decision_finished_at
application_capacity:pressure=0.6:seed=0:method=proposed,0,application_capacity:pressure=0.6,proposed,c6e7805979f12a4840a82b0c6c1b69a5f88f5a5da294abdcd691e5047a7178a8,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,67,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,8,5.231272429227829,5.157362669706345,12.317415326833725,23.182757198810577,True,1.0,False,True,12.127344260546918,12.733711473574264,20.0,22.0,16.742828873685255,0.003995002000000025,0.995006997,4,3,3,32,45756,False,False,True,,21192616.54044261,21192616.563625365
application_capacity:pressure=0.6:seed=0:method=independent,0,application_capacity:pressure=0.6,independent,c6e7805979f12a4840a82b0c6c1b69a5f88f5a5da294abdcd691e5047a7178a8,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,4,0,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.036384910345077515,0.0,12.277144938707352,17.62945204973221,True,1.0,False,True,12.127344260546918,12.733711473574264,20.0,22.0,16.742828873685255,0.003995002000000025,0.995006997,4,3,3,32,45756,False,False,True,,21192616.64599142,21192616.66362087
application_capacity:pressure=0.6:seed=0:method=adjacent,0,application_capacity:pressure=0.6,adjacent,c6e7805979f12a4840a82b0c6c1b69a5f88f5a5da294abdcd691e5047a7178a8,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,3,0,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.23492053151130676,0.19579753279685974,12.239847332239151,17.762821167707443,True,1.0,False,True,12.127344260546918,12.733711473574264,20.0,22.0,16.742828873685255,0.003995002000000025,0.995006997,4,3,3,32,45756,False,False,True,,21192616.745875865,21192616.763638686
application_capacity:pressure=0.6:seed=0:method=no_verification,0,application_capacity:pressure=0.6,no_verification,c6e7805979f12a4840a82b0c6c1b69a5f88f5a5da294abdcd691e5047a7178a8,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,0,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.5696117877960205,0.0,12.274596840143204,18.12964305281639,True,1.0,False,True,12.127344260546918,12.733711473574264,20.0,22.0,16.742828873685255,0.0059890060000000744,0.993014991,3,3,3,32,45756,False,False,True,,21192616.845741946,21192616.86387159
application_capacity:pressure=0.6:seed=1:method=proposed,1,application_capacity:pressure=0.6,proposed,9c8764eb2f6ad7e0fb025bf72a4f16956b621395f1b4763a67c5e9d8dc43f0d5,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,67,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,8,4.989311099052429,4.918396472930908,11.686962097883224,21.76796644926071,True,1.0,False,True,12.13349492467335,12.740169670907019,20.0,22.0,16.7430843338788,0.003995002000000025,0.995006997,4,4,4,32,43634,False,False,True,,21192616.962262552,21192616.98403052
application_capacity:pressure=0.6:seed=1:method=independent,1,application_capacity:pressure=0.6,independent,9c8764eb2f6ad7e0fb025bf72a4f16956b621395f1b4763a67c5e9d8dc43f0d5,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,4,0,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.03524497151374817,0.0,11.713333427906036,16.854755580425262,True,1.0,False,True,12.13349492467335,12.740169670907019,20.0,22.0,16.7430843338788,0.003995002000000025,0.995006997,4,4,4,32,43634,False,False,True,,21192617.065670986,21192617.08252574
application_capacity:pressure=0.6:seed=1:method=adjacent,1,application_capacity:pressure=0.6,adjacent,9c8764eb2f6ad7e0fb025bf72a4f16956b621395f1b4763a67c5e9d8dc43f0d5,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,3,0,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.2348087728023529,0.19490346312522888,11.730145663022995,17.101667821407318,True,1.0,False,True,12.13349492467335,12.740169670907019,20.0,22.0,16.7430843338788,0.003995002000000025,0.995006997,4,4,4,32,43634,False,False,True,,21192617.164394956,21192617.181496624
application_capacity:pressure=0.6:seed=1:method=no_verification,1,application_capacity:pressure=0.6,no_verification,9c8764eb2f6ad7e0fb025bf72a4f16956b621395f1b4763a67c5e9d8dc43f0d5,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,0,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.5730241537094116,0.0,11.779192835092545,17.480701208114624,True,1.0,False,True,12.13349492467335,12.740169670907019,20.0,22.0,16.7430843338788,0.0059890060000000744,0.993014991,3,4,4,32,43634,False,False,True,,21192617.263333324,21192617.280814026
application_capacity:pressure=0.6:seed=2:method=proposed,2,application_capacity:pressure=0.6,proposed,fa6da3c054e99005de62a0cf671690839ba5288f93d6ee5cc57d596087289e40,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,67,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE,8,4.948709160089493,4.875943064689636,12.134671211242676,22.369015961885452,True,1.0,False,True,12.16071480627663,12.768750546590462,20.0,22.0,16.744215777507378,0.003995002000000025,0.995006997,4,2,2,32,44692,False,False,True,,21192617.380798332,21192617.40316735
application_capacity:pressure=0.6:seed=2:method=independent,2,application_capacity:pressure=0.6,independent,fa6da3c054e99005de62a0cf671690839ba5288f93d6ee5cc57d596087289e40,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,4,0,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.03657117486000061,0.0,12.11707666516304,17.415229231119156,True,1.0,False,True,12.16071480627663,12.768750546590462,20.0,22.0,16.744215777507378,0.003995002000000025,0.995006997,4,2,2,32,44692,False,False,True,,21192617.485156663,21192617.502571892
application_capacity:pressure=0.6:seed=2:method=adjacent,2,application_capacity:pressure=0.6,adjacent,fa6da3c054e99005de62a0cf671690839ba5288f93d6ee5cc57d596087289e40,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,3,0,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.22530928254127502,0.18728524446487427,12.197144329547882,17.69578456878662,True,1.0,False,True,12.16071480627663,12.768750546590462,20.0,22.0,16.744215777507378,0.003995002000000025,0.995006997,4,2,2,32,44692,False,False,True,,21192617.584660396,21192617.60235618
application_capacity:pressure=0.6:seed=2:method=no_verification,2,application_capacity:pressure=0.6,no_verification,fa6da3c054e99005de62a0cf671690839ba5288f93d6ee5cc57d596087289e40,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,0,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.5660690367221832,0.0,12.1513232588768,17.97609031200409,True,1.0,False,True,12.16071480627663,12.768750546590462,20.0,22.0,16.744215777507378,0.0059890060000000744,0.993014991,3,2,2,32,44692,False,False,True,,21192617.6843285,21192617.70230459
application_capacity:pressure=0.6:seed=3:method=proposed,3,application_capacity:pressure=0.6,proposed,42f1061d03eba13b07114fe102a1897d5da6d63673e06067116bd318769d4329,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,67,exp3-seed-0003:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0003:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0003:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0003:edge-0000:transport:01:INCREASE_SEND_RATE,8,5.006112158298492,4.93280217051506,11.866286396980286,22.23639190196991,True,1.0,False,True,12.015218679567438,12.61597961354581,20.0,22.0,16.738184966607182,0.003995002000000025,0.995006997,4,4,4,32,44714,False,False,True,,21192617.8004648,21192617.822701193
application_capacity:pressure=0.6:seed=3:method=independent,3,application_capacity:pressure=0.6,independent,42f1061d03eba13b07114fe102a1897d5da6d63673e06067116bd318769d4329,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,4,0,exp3-seed-0003:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0003:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0003:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0003:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.03552064299583435,0.0,11.958956718444824,17.14286580681801,True,1.0,False,True,12.015218679567438,12.61597961354581,20.0,22.0,16.738184966607182,0.003995002000000025,0.995006997,4,4,4,32,44714,False,False,True,,21192617.90477828,21192617.921921145
application_capacity:pressure=0.6:seed=3:method=adjacent,3,application_capacity:pressure=0.6,adjacent,42f1061d03eba13b07114fe102a1897d5da6d63673e06067116bd318769d4329,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,3,0,exp3-seed-0003:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0003:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0003:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0003:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.23512542247772217,0.19763782620429993,11.93462684750557,17.337631434202194,True,1.0,False,True,12.015218679567438,12.61597961354581,20.0,22.0,16.738184966607182,0.003995002000000025,0.995006997,4,4,4,32,44714,False,False,True,,21192618.00396535,21192618.021302983
application_capacity:pressure=0.6:seed=3:method=no_verification,3,application_capacity:pressure=0.6,no_verification,42f1061d03eba13b07114fe102a1897d5da6d63673e06067116bd318769d4329,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,0,exp3-seed-0003:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0003:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0003:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0003:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.5564950406551361,0.0,12.029837816953659,17.796430736780167,True,1.0,False,True,12.015218679567438,12.61597961354581,20.0,22.0,16.738184966607182,0.0059890060000000744,0.993014991,3,4,4,32,44714,False,False,True,,21192618.103308298,21192618.12110473
application_capacity:pressure=0.6:seed=4:method=proposed,4,application_capacity:pressure=0.6,proposed,5cdedb255fd54819d53e4d6d6cd84502deea5214e7e15d2e94ac40d362ee57fe,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,81,67,exp3-seed-0004:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0004:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0004:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0004:edge-0000:transport:01:INCREASE_SEND_RATE,8,5.008704960346222,4.935409873723984,11.747211217880249,21.934974938631058,True,1.0,False,True,11.893617093844089,12.488297948536294,20.0,22.0,16.73317648486633,0.003995002000000025,0.995006997,4,3,3,32,43558,False,False,True,,21192618.221937608,21192618.243872583
application_capacity:pressure=0.6:seed=4:method=independent,4,application_capacity:pressure=0.6,independent,5cdedb255fd54819d53e4d6d6cd84502deea5214e7e15d2e94ac40d362ee57fe,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,4,0,exp3-seed-0004:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0004:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0004:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0004:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.03516301512718201,0.0,11.783532798290253,16.982875764369965,True,1.0,False,True,11.893617093844089,12.488297948536294,20.0,22.0,16.73317648486633,0.003995002000000025,0.995006997,4,3,3,32,43558,False,False,True,,21192618.325658463,21192618.34264134
application_capacity:pressure=0.6:seed=4:method=adjacent,4,application_capacity:pressure=0.6,adjacent,5cdedb255fd54819d53e4d6d6cd84502deea5214e7e15d2e94ac40d362ee57fe,in_memory_transactional_control_plane_simulation,10,15,4,12,4,0.6,False,False,False,,False,3,0,exp3-seed-0004:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0004:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0004:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0004:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.22401288151741028,0.18647685647010803,11.786602437496185,17.157170921564102,True,1.0,False,True,11.893617093844089,12.488297948536294,20.0,22.0,16.73317648486633,0.003995002000000025,0.995006997,4,3,3,32,43558,False,False,True,,21192618.42417968,21192618.44133685
