x,proposals_per_layer,method,mean,ci95,sample_count
1,1,raw_combinations,1.0,0.0,30
1,1,proposed_evaluated,1.0,0.0,30
1,1,adjacent_evaluated,3.0,0.0,30
2,2,raw_combinations,16.0,0.0,30
2,2,proposed_evaluated,16.0,0.0,30
2,2,adjacent_evaluated,12.0,0.0,30
3,3,raw_combinations,81.0,0.0,30
3,3,proposed_evaluated,81.0,0.0,30
3,3,adjacent_evaluated,27.0,0.0,30
4,4,raw_combinations,256.0,0.0,30
4,4,proposed_evaluated,256.0,0.0,30
4,4,adjacent_evaluated,48.0,0.0,30
5,5,raw_combinations,625.0,0.0,30
5,5,proposed_evaluated,625.0,0.0,30
5,5,adjacent_evaluated,75.0,0.0,30
