x,proposals_per_layer,method,mean,ci95,sample_count,peak_memory_mb,timeout_rate
1,1,adjacent,0.7467598964770635,0.0016765251674846612,30,0.008453369140625,0.0
1,1,proposed,0.4791383941968282,0.0015223257376730675,30,0.00740203857421875,0.0
2,2,adjacent,1.2112402667601903,0.002854393558097075,30,0.011465072631835938,0.0
2,2,proposed,2.872977281610171,0.005342897967547786,30,0.02547798156738281,0.0
3,3,adjacent,2.0192147543032966,0.005499424133395015,30,0.014596939086914062,0.0
3,3,proposed,13.144599025448164,0.02248823784330207,30,0.04599761962890625,0.0
4,4,adjacent,3.112576653560003,0.005481276889659561,30,0.015011978149414063,0.0
4,4,proposed,41.38877963026365,0.07588275910770088,30,0.11001402537027995,0.0
5,5,adjacent,4.506065448125203,0.010375681230967748,30,0.01525739034016927,0.0
5,5,proposed,100.92547225455444,0.140842153498643,30,0.23841721216837566,0.0
