x,conflict_class,method,mean,ci95,sample_count
NO_CONFLICT,NO_CONFLICT,adjacent,1.0,0.0,254
NO_CONFLICT,NO_CONFLICT,independent,1.0,0.0,254
NO_CONFLICT,NO_CONFLICT,no_verification,1.0,0.0,254
NO_CONFLICT,NO_CONFLICT,proposed,1.0,0.0,254
RESOLVABLE_CONFLICT,RESOLVABLE_CONFLICT,adjacent,0.8951048951048951,0.035575271095529465,286
RESOLVABLE_CONFLICT,RESOLVABLE_CONFLICT,independent,0.0,0.0,286
RESOLVABLE_CONFLICT,RESOLVABLE_CONFLICT,no_verification,0.0,0.0,286
RESOLVABLE_CONFLICT,RESOLVABLE_CONFLICT,proposed,1.0,0.0,286
UNRESOLVABLE_CONFLICT,UNRESOLVABLE_CONFLICT,adjacent,0.0,0.0,120
UNRESOLVABLE_CONFLICT,UNRESOLVABLE_CONFLICT,independent,0.0,0.0,120
UNRESOLVABLE_CONFLICT,UNRESOLVABLE_CONFLICT,no_verification,0.0,0.0,120
UNRESOLVABLE_CONFLICT,UNRESOLVABLE_CONFLICT,proposed,0.0,0.0,120
