x,scenario,method,mean,ci95,sample_count
all-routes-latency,all_routes_latency,adjacent,1.0,0.0,30
all-routes-latency,all_routes_latency,independent,1.0,0.0,30
all-routes-latency,all_routes_latency,no_verification,1.0,0.0,30
all-routes-latency,all_routes_latency,proposed,1.0,0.0,30
physical-capacity-absolute,physical_capacity_absolute,adjacent,1.0,0.0,30
physical-capacity-absolute,physical_capacity_absolute,independent,1.0,0.0,30
physical-capacity-absolute,physical_capacity_absolute,no_verification,1.0,0.0,30
physical-capacity-absolute,physical_capacity_absolute,proposed,1.0,0.0,30
reliability-impossible,reliability_impossible,adjacent,1.0,0.0,30
reliability-impossible,reliability_impossible,independent,1.0,0.0,30
reliability-impossible,reliability_impossible,no_verification,1.0,0.0,30
reliability-impossible,reliability_impossible,proposed,1.0,0.0,30
shared-resource-shortage,shared_resource_shortage,adjacent,1.0,0.0,30
shared-resource-shortage,shared_resource_shortage,independent,1.0,0.0,30
shared-resource-shortage,shared_resource_shortage,no_verification,1.0,0.0,30
shared-resource-shortage,shared_resource_shortage,proposed,1.0,0.0,30
