x,scenario,pressure,method,mean,ci95,sample_count
A-0.6,application_capacity,0.6,adjacent,1.0,0.0,30
A-0.6,application_capacity,0.6,independent,1.0,0.0,30
A-0.6,application_capacity,0.6,no_verification,1.0,0.0,30
A-0.6,application_capacity,0.6,proposed,1.0,0.0,30
A-0.8,application_capacity,0.8,adjacent,1.0,0.0,30
A-0.8,application_capacity,0.8,independent,1.0,0.0,30
A-0.8,application_capacity,0.8,no_verification,1.0,0.0,30
A-0.8,application_capacity,0.8,proposed,1.0,0.0,30
A-1,application_capacity,1.0,adjacent,1.0,0.0,30
A-1,application_capacity,1.0,independent,1.0,0.0,30
A-1,application_capacity,1.0,no_verification,1.0,0.0,30
A-1,application_capacity,1.0,proposed,1.0,0.0,30
A-1.1,application_capacity,1.1,adjacent,1.0,0.0,30
A-1.1,application_capacity,1.1,independent,0.0,0.0,30
A-1.1,application_capacity,1.1,no_verification,0.0,0.0,30
A-1.1,application_capacity,1.1,proposed,1.0,0.0,30
A-1.2,application_capacity,1.2,adjacent,1.0,0.0,30
A-1.2,application_capacity,1.2,independent,0.0,0.0,30
A-1.2,application_capacity,1.2,no_verification,0.0,0.0,30
A-1.2,application_capacity,1.2,proposed,1.0,0.0,30
A-1.4,application_capacity,1.4,adjacent,0.0,0.0,30
A-1.4,application_capacity,1.4,independent,0.0,0.0,30
A-1.4,application_capacity,1.4,no_verification,0.0,0.0,30
A-1.4,application_capacity,1.4,proposed,1.0,0.0,30
N-0,network_physical,0.0,adjacent,1.0,0.0,30
N-0,network_physical,0.0,independent,1.0,0.0,30
N-0,network_physical,0.0,no_verification,1.0,0.0,30
N-0,network_physical,0.0,proposed,1.0,0.0,30
N-0.1,network_physical,0.1,adjacent,1.0,0.0,30
N-0.1,network_physical,0.1,independent,1.0,0.0,30
N-0.1,network_physical,0.1,no_verification,1.0,0.0,30
N-0.1,network_physical,0.1,proposed,1.0,0.0,30
N-0.2,network_physical,0.2,adjacent,1.0,0.0,30
N-0.2,network_physical,0.2,independent,0.4666666666666667,0.1815765778944155,30
N-0.2,network_physical,0.2,no_verification,0.4666666666666667,0.1815765778944155,30
N-0.2,network_physical,0.2,proposed,1.0,0.0,30
N-0.3,network_physical,0.3,adjacent,1.0,0.0,30
N-0.3,network_physical,0.3,independent,0.0,0.0,30
N-0.3,network_physical,0.3,no_verification,0.0,0.0,30
N-0.3,network_physical,0.3,proposed,1.0,0.0,30
N-0.4,network_physical,0.4,adjacent,1.0,0.0,30
N-0.4,network_physical,0.4,independent,0.0,0.0,30
N-0.4,network_physical,0.4,no_verification,0.0,0.0,30
N-0.4,network_physical,0.4,proposed,1.0,0.0,30
N-0.5,network_physical,0.5,adjacent,1.0,0.0,30
N-0.5,network_physical,0.5,independent,0.0,0.0,30
N-0.5,network_physical,0.5,no_verification,0.0,0.0,30
N-0.5,network_physical,0.5,proposed,1.0,0.0,30
T-0.4,transport_network,0.4,adjacent,1.0,0.0,30
T-0.4,transport_network,0.4,independent,1.0,0.0,30
T-0.4,transport_network,0.4,no_verification,1.0,0.0,30
T-0.4,transport_network,0.4,proposed,1.0,0.0,30
T-0.6,transport_network,0.6,adjacent,1.0,0.0,30
T-0.6,transport_network,0.6,independent,1.0,0.0,30
T-0.6,transport_network,0.6,no_verification,1.0,0.0,30
T-0.6,transport_network,0.6,proposed,1.0,0.0,30
T-0.75,transport_network,0.75,adjacent,1.0,0.0,30
T-0.75,transport_network,0.75,independent,1.0,0.0,30
T-0.75,transport_network,0.75,no_verification,1.0,0.0,30
T-0.75,transport_network,0.75,proposed,1.0,0.0,30
T-0.85,transport_network,0.85,adjacent,1.0,0.0,30
T-0.85,transport_network,0.85,independent,0.0,0.0,30
T-0.85,transport_network,0.85,no_verification,0.0,0.0,30
T-0.85,transport_network,0.85,proposed,1.0,0.0,30
T-0.95,transport_network,0.95,adjacent,1.0,0.0,30
T-0.95,transport_network,0.95,independent,0.0,0.0,30
T-0.95,transport_network,0.95,no_verification,0.0,0.0,30
T-0.95,transport_network,0.95,proposed,1.0,0.0,30
T-0.99,transport_network,0.99,adjacent,1.0,0.0,30
T-0.99,transport_network,0.99,independent,0.0,0.0,30
T-0.99,transport_network,0.99,no_verification,0.0,0.0,30
T-0.99,transport_network,0.99,proposed,1.0,0.0,30
