x,stale_ms,method,mean,ci95,sample_count,infeasible_rate,false_alarm_rate,miss_rate,safe_rejection_rate
0,0.0,adjacent,1.0,0.0,30,0.0,0.0,0.0,0.0
0,0.0,independent,1.0,0.0,30,0.0,0.0,0.0,0.0
0,0.0,no_verification,1.0,0.0,30,0.0,0.0,0.0,0.0
0,0.0,proposed,1.0,0.0,30,0.0,0.0,0.0,0.0
20,20.0,adjacent,0.0,0.0,30,1.0,0.0,1.0,1.0
20,20.0,independent,0.0,0.0,30,1.0,0.0,1.0,1.0
20,20.0,no_verification,0.0,0.0,30,1.0,0.0,1.0,1.0
20,20.0,proposed,0.0,0.0,30,0.0,0.0,0.0,1.0
50,50.0,adjacent,0.0,0.0,30,1.0,0.0,1.0,1.0
50,50.0,independent,0.0,0.0,30,1.0,0.0,1.0,1.0
50,50.0,no_verification,0.0,0.0,30,1.0,0.0,1.0,1.0
50,50.0,proposed,0.0,0.0,30,0.0,0.0,0.0,1.0
100,100.0,adjacent,0.0,0.0,30,1.0,0.0,1.0,1.0
100,100.0,independent,0.0,0.0,30,1.0,0.0,1.0,1.0
100,100.0,no_verification,0.0,0.0,30,1.0,0.0,1.0,1.0
100,100.0,proposed,0.0,0.0,30,0.0,0.0,0.0,1.0
200,200.0,adjacent,0.0,0.0,30,1.0,0.0,1.0,1.0
200,200.0,independent,0.0,0.0,30,1.0,0.0,1.0,1.0
200,200.0,no_verification,0.0,0.0,30,1.0,0.0,1.0,1.0
200,200.0,proposed,0.0,0.0,30,0.0,0.0,0.0,1.0
