experiment,scenario,factor,method,runs,conflict_class,qos_satisfaction_rate,infeasible_configuration_rate,false_alarm_rate,miss_rate,conflict_detection_rate,conflict_resolution_rate,safe_rejection_rate,unresolvable_safe_rejection_rate,unsafe_execution_rate,decision_rejection_rate,rollback_rate,safe_rollback_rate,timeout_rate,no_partial_commit_rate,coordination_latency_ms_mean,coordination_latency_ms_ci95,feasibility_latency_ms_mean,feasibility_latency_ms_ci95,transaction_latency_ms_mean,transaction_latency_ms_ci95,total_latency_ms_mean,total_latency_ms_ci95,peak_memory_mb_mean,peak_memory_mb_ci95,num_raw_combinations_mean,num_raw_combinations_ci95,num_pruned_combinations_mean,num_pruned_combinations_ci95,num_feasible_combinations_mean,num_feasible_combinations_ci95
missing_layer,missing_application,application,adjacent,30,RESOLVABLE_CONFLICT,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.8822132299343746,0.004183508743695172,1.7796345055103302,0.004042330330839822,15.362634013096491,0.20842926596511463,107.6919140915076,0.33827175749633975,0.014638900756835938,0.0,27.0,0.0,27.0,0.0,0.0,0.0
missing_layer,missing_application,application,proposed,30,RESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03593203922112783,0.00020046478357216676,0.0,0.0,0.0,0.0,0.15219785273075104,0.00035662182860961967,0.00203704833984375,0.0,27.0,0.0,0.0,0.0,0.0,0.0
missing_layer,missing_network,network,adjacent,30,RESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.28686995307604474,0.0012712863404739975,0.19398455818494162,0.0010098548196698874,15.372199068466822,0.21460161496253655,105.95201725761096,0.3263727927999614,0.00335693359375,0.0,27.0,0.0,27.0,0.0,0.0,0.0
missing_layer,missing_network,network,proposed,30,RESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.036206841468811035,0.00016990029273687,0.0,0.0,0.0,0.0,0.1532462735970815,0.0009365541964895578,0.00203704833984375,0.0,27.0,0.0,0.0,0.0,0.0,0.0
missing_layer,missing_physical,physical,adjacent,30,RESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.4504140466451645,0.0020798488335705156,0.3579702228307724,0.0015659375506940673,15.378949294487635,0.20741039861989563,106.23009366293748,0.34157414344383896,0.0050048828125,0.0,27.0,0.0,27.0,0.0,0.0,0.0
missing_layer,missing_physical,physical,proposed,30,RESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03662966191768646,0.0007031763012370342,0.0,0.0,0.0,0.0,0.1539517194032669,0.0030714136038510393,0.00203704833984375,0.0,27.0,0.0,0.0,0.0,0.0,0.0
missing_layer,missing_transport,transport,adjacent,30,RESOLVABLE_CONFLICT,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.761661097407341,0.005289097738146163,1.6602835307518642,0.0046813843984972415,20.60748015840848,10.226595961334448,112.94053743282954,10.37848092359713,0.014469718933105469,5.831314177984203e-06,27.0,0.0,27.0,0.0,0.0,0.0
missing_layer,missing_transport,transport,proposed,30,RESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03652498126029968,0.0010876070150355522,0.0,0.0,0.0,0.0,0.15600696206092834,0.0043036726518554435,0.00203704833984375,0.0,27.0,0.0,0.0,0.0,0.0,0.0
noise,application_capacity,0.0,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.02233058710893,0.004140726139955482,1.9115368525187175,0.004086058791038337,11.894104753931364,0.15614907669554934,102.5005725522836,0.3014313398725492,0.014596939086914062,5.446029813670819e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,application_capacity,0.0,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.184765353798866,0.024243036645670853,12.999706094463667,0.024246121290860255,11.92526010175546,0.15430505607423084,113.77679221332073,0.33196017171601255,0.04681053161621094,0.0005990598042492734,81.0,0.0,0.0,0.0,4.0,0.0
