method,scenario,conflict_pressure,seed,ground_truth_conflict,ground_truth_resolvable,conflict_class,selected_proposals,selected_action_set,qos_satisfied,infeasible_configuration,conflict_detected,conflict_resolved,safe_rejection,rollback_triggered,coordination_latency_ms,transaction_latency_ms
proposed,application_capacity,0.6,0,False,False,NO_CONFLICT,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,5.231272429227829,12.317415326833725
independent,application_capacity,0.6,0,False,False,NO_CONFLICT,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.036384910345077515,12.277144938707352
adjacent,application_capacity,0.6,0,False,False,NO_CONFLICT,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.23492053151130676,12.239847332239151
no_verification,application_capacity,0.6,0,False,False,NO_CONFLICT,exp3-seed-0000:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0000:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0000:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0000:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.5696117877960205,12.274596840143204
proposed,application_capacity,0.6,1,False,False,NO_CONFLICT,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,4.989311099052429,11.686962097883224
independent,application_capacity,0.6,1,False,False,NO_CONFLICT,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.03524497151374817,11.713333427906036
adjacent,application_capacity,0.6,1,False,False,NO_CONFLICT,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.2348087728023529,11.730145663022995
no_verification,application_capacity,0.6,1,False,False,NO_CONFLICT,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.5730241537094116,11.779192835092545
proposed,application_capacity,0.6,2,False,False,NO_CONFLICT,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,4.948709160089493,12.134671211242676
independent,application_capacity,0.6,2,False,False,NO_CONFLICT,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;REALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,False,False,False,False,0.03657117486000061,12.11707666516304
