x,method,mean,ci95,sample_count,success_rate
0.05,full_rebuild,4.0,0.0,30,1.0
0.05,local_only,1.7666666666666666,0.1539390335608219,30,0.0
0.05,proposed,2.1666666666666665,0.31285755024179135,30,1.0
0.1,full_rebuild,4.0,0.0,30,1.0
0.1,local_only,3.3666666666666667,0.1989811597003817,30,0.4
0.1,proposed,3.566666666666667,0.20337097823748607,30,1.0
0.2,full_rebuild,4.0,0.0,30,1.0
0.2,local_only,3.8666666666666667,0.1237235826518718,30,0.8666666666666667
0.2,proposed,3.933333333333333,0.09078828894720775,30,1.0
0.4,full_rebuild,4.0,0.0,30,1.0
0.4,local_only,4.0,0.0,30,1.0
0.4,proposed,4.0,0.0,30,1.0
