x,method,mean,ci95,sample_count,success_rate
fan_in,full_rebuild,28.82082226375739,0.6813225734887061,30,1.0
fan_in,local_only,25.53361902634303,0.6903255395594995,9,0.3
fan_in,proposed,25.693640112876892,0.34628809482446193,30,1.0
fan_out,full_rebuild,28.444640959302586,0.772416240534813,30,1.0
fan_out,local_only,25.425288826227188,0.6022260104272141,12,0.4
fan_out,proposed,25.484374910593033,0.35946995751573957,30,1.0
intermediate,full_rebuild,29.835945864518482,0.5802251174688209,30,1.0
intermediate,local_only,25.63869332273801,0.4058536902181598,9,0.3
intermediate,proposed,25.79384172956149,0.3513795846058495,30,1.0
leaf,full_rebuild,29.964538166920345,0.6651681076588636,30,1.0
leaf,local_only,26.360159429411095,0.6896940223790352,12,0.4
leaf,proposed,26.117873440186184,0.35502963844320945,30,1.0
