x,method,mean,ci95,sample_count,success_rate
10,full_rebuild,19.012191891670227,0.274995062339034,30,1.0
10,proposed,18.01990307867527,0.7348684675669684,30,1.0
20,full_rebuild,30.453996484478314,1.087516881074783,30,1.0
20,local_only,26.410045412679512,0.6944838805245471,12,0.4
20,proposed,26.150838534037273,0.35408814892557394,30,1.0
40,full_rebuild,60.81583773096403,0.8449089268533222,30,1.0
40,local_only,52.0030464977026,0.5621611685187423,24,0.8
40,proposed,53.680324802796044,2.7255734262068763,30,1.0
60,full_rebuild,102.33298341433208,6.170511847992254,30,1.0
60,local_only,83.01867664392505,3.7309088567355375,28,0.9333333333333333
60,proposed,84.21484654148419,4.660202117179561,30,1.0
80,full_rebuild,135.05523999532065,5.354911190017235,30,1.0
80,local_only,115.2366886713675,5.152137872335292,28,0.9333333333333333
80,proposed,112.57708420356114,1.3616479561980288,30,1.0
