x,method,mean,ci95,sample_count,success_rate
12,full_rebuild,77.27810889482498,2.8269833729156013,30,1.0
12,proposed,61.791052420934044,2.0811232398487713,30,1.0
2,full_rebuild,24.157335236668587,0.3993285087662451,30,1.0
2,local_only,22.013067578275997,0.12414384450860193,30,1.0
2,proposed,21.986677249272663,0.128978091414992,30,1.0
4,full_rebuild,30.036410689353943,0.6647839917550601,30,1.0
4,local_only,26.418290721873444,0.677328870982099,12,0.4
4,proposed,26.154388735691708,0.35928650741489876,30,1.0
8,full_rebuild,47.62462762494882,1.3157415271478028,30,1.0
8,proposed,39.80172611773014,0.8828194367479217,30,1.0
