x,method,mean,ci95,sample_count,success_rate
0.05,full_rebuild,30.088482052087784,0.5537895507431841,30,1.0
0.05,proposed,33.69877375662327,13.692606695309268,30,1.0
0.1,full_rebuild,29.97336946427822,0.6684544780595465,30,1.0
0.1,local_only,26.354513131082058,0.6859475398128287,12,0.4
0.1,proposed,26.126727585991222,0.35302025210366034,30,1.0
0.2,full_rebuild,27.132575089732807,0.8038423780356874,30,1.0
0.2,local_only,25.174024586494152,0.43896500850136283,26,0.8666666666666667
0.2,proposed,25.09117064376672,0.39504726430323545,30,1.0
0.4,full_rebuild,21.2661428997914,0.6601382703440108,30,1.0
0.4,local_only,23.265841354926426,0.3445342336565594,30,1.0
0.4,proposed,23.210809628168743,0.33879583139919683,30,1.0
