run_id,seed,method,scenario,scenario_fingerprint,result_mode,num_agents_before,num_agents_after,num_edges_before,num_edges_after,num_gateways,cross_gateway_edge_ratio,agent_removal_ratio,removed_agent_type,removed_agent_ids,old_version,new_version,success,failure_reason,elastic_latency_ms,failure_handling_ms,scope_latency_ms,plan_latency_ms,compile_delta_latency_ms,stage_latency_ms,verification_latency_ms,activation_latency_ms,rollback_latency_ms,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,physical_bindings_before,physical_bindings_after,released_physical_resources,residual_physical_resources,total_rules_before,total_rules_after,added_rules,updated_rules,deleted_rules,changed_rules_ratio,residual_rules,control_messages,control_bytes,unaffected_edges_total,unaffected_edges_interrupted,unaffected_interrupted_rate,unaffected_interruption_ms,unaffected_latency_change_ms,unaffected_packet_loss_change,rollback_triggered,rollback_success,controller_cpu_percent,controller_memory_mb,event_occurred_at,event_received_at,scope_finished_at,plan_finished_at,stage_finished_at,verification_finished_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at
agent_count:10:seed=0:method=local_only,0,local_only,agent_count:10,210234928a7892ccabf6777bedee532687ddad5decdfe92cf1ad4631f3ea2184,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-01:exp3-seed-0000:exp3-seed-0000-sess-14:gw-01:0 | session_set_mismatch:gw-01 | version_mismatch:gw-01:1!=2,0.0,11.914845556020737,0.05827471613883972,5.553089082241058,5.488254129886627,3.9181672036647797,1.0863281786441803,0.0,0.4069879651069641,5,1,1,1,2,2,28,28,0,0,38,38,0,0,2,0.05263157894736842,1,16,18219,14,0,0.0,0.0,0.0,0.0,True,True,99.99889847916191,53.78515625,21177821.798130088,21177821.79813545,21177821.798208836,21177821.80369709,21177821.808148537,21177821.80943617,0.0,0.0,21177821.810044933
agent_count:10:seed=1:method=local_only,1,local_only,agent_count:10,c9cc0d59ce40dbcf693c5cad387e154ee9034bea4036d242afb31a593e2ab7b0,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-03:1!=2,0.0,12.017376720905304,0.05700811743736267,5.262702703475952,5.199704319238663,4.457466304302216,1.0797902941703796,0.0,0.37904828786849976,5,1,1,1,2,2,28,28,0,0,35,35,0,0,2,0.05714285714285714,0,16,20896,14,0,0.0,0.0,0.0,0.0,True,True,100.00029921010136,54.30078125,21177821.901588444,21177821.901593745,21177821.901665147,21177821.90686485,21177821.91179892,21177821.913051717,0.0,0.0,21177821.91360582
agent_count:10:seed=2:method=local_only,2,local_only,agent_count:10,32a3a43353d961f1eeeeb6ef1c225353007418daac04b897678e91fec1be03cc,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: residual_rules:gw-02:exp3-seed-0002:exp3-seed-0002-sess-13:gw-02:1 | session_set_mismatch:gw-02 | version_mismatch:gw-02:1!=2 | residual_rules:gw-03:exp3-seed-0002:exp3-seed-0002-sess-13:gw-03:0 | session_set_mismatch:gw-03 | version_mismatch:gw-03:1!=2,0.0,12.114394456148148,0.05977228283882141,5.456328392028809,5.390144884586334,4.283443093299866,1.0821595788002014,0.0,0.393938273191452,5,1,1,1,2,2,28,28,0,0,38,38,0,0,2,0.05263157894736842,2,16,20001,14,0,0.0,0.0,0.0,0.0,True,True,99.99512382224837,54.55859375,21177822.00890158,21177822.00890717,21177822.008981984,21177822.01437213,21177822.0191574,21177822.020431023,0.0,0.0,21177822.021015976
agent_count:10:seed=3:method=local_only,3,local_only,agent_count:10,1d9641f3539026063cab4ffba3e83226b8a95b52319d0328282d583c03820b35,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-03:1!=2,0.0,12.15340942144394,0.0583454966545105,5.305498838424683,5.240939557552338,4.501845687627792,1.0829716920852661,0.0,0.3919042646884918,5,1,1,1,2,2,28,28,0,0,36,36,0,0,2,0.05555555555555555,0,16,20950,14,0,0.0,0.0,0.0,0.0,True,True,100.00269036993086,55.07421875,21177822.114201102,21177822.114206508,21177822.11427996,21177822.1195209,21177822.12451357,21177822.12577854,0.0,0.0,21177822.12635451
agent_count:10:seed=4:method=local_only,4,local_only,agent_count:10,cd8c62176736b2ee1d2d415cb9d4c68493b8c45d44c065d62c65db538e0577c8,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-03:exp3-seed-0004:exp3-seed-0004-sess-13:gw-03:0 | session_set_mismatch:gw-03 | version_mismatch:gw-03:1!=2,0.0,12.345414608716965,0.057969242334365845,5.349982529878616,5.285751074552536,4.68064472079277,1.0809041559696198,0.0,0.3860071301460266,5,1,1,1,2,2,28,28,0,0,36,36,0,0,2,0.05555555555555555,1,16,21837,14,0,0.0,0.0,0.0,0.0,True,True,100.001662681992,55.33203125,21177822.219016504,21177822.21902188,21177822.21909457,21177822.22438032,21177822.22953942,21177822.230797343,0.0,0.0,21177822.23136192
agent_count:10:seed=5:method=local_only,5,local_only,agent_count:10,04fd79bc847981ca25d1b00ce8c0bfb81ecf15c8916e1e0da3cd5e89f6373066,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-01:1!=2,0.0,11.696763336658478,0.05970895290374756,5.407780408859253,5.3419992327690125,3.9203427731990814,1.0925494134426117,0.0,0.39034709334373474,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,0,16,18213,14,0,0.0,0.0,0.0,0.0,True,True,99.99630965177342,55.58984375,21177822.325491417,21177822.32549679,21177822.32557104,21177822.33091304,21177822.335327312,21177822.336606655,0.0,0.0,21177822.33718818
agent_count:10:seed=6:method=local_only,6,local_only,agent_count:10,4b6bca8d63167bc2dadb5fade786517f41b2a359b322502f01566258249ca27e,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-02:1!=2 | version_mismatch:gw-03:1!=2,0.0,11.739253997802734,0.0603795051574707,5.418669432401657,5.3518712520599365,3.9340145885944366,1.073937863111496,0.0,0.39972737431526184,5,1,1,1,2,2,28,28,0,0,38,38,0,0,2,0.05263157894736842,0,16,18211,14,0,0.0,0.0,0.0,0.0,True,True,99.99625062633062,55.84765625,21177822.433205985,21177822.433211375,21177822.4332868,21177822.438638672,21177822.443084095,21177822.44435038,0.0,0.0,21177822.44494524
agent_count:10:seed=7:method=local_only,7,local_only,agent_count:10,eb168802adb91b681264242ca5b67c470520a9c8fbbf9005f927d26cd7c395e9,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: residual_rules:gw-00:exp3-seed-0007:exp3-seed-0007-sess-14:gw-00:0 | session_set_mismatch:gw-00 | version_mismatch:gw-00:1!=2 | version_mismatch:gw-03:1!=2,0.0,13.240374624729156,0.06062909960746765,5.513258278369904,5.446534603834152,5.291186273097992,1.0986141860485077,0.0,0.4123598337173462,5,1,1,1,2,2,28,28,0,0,39,39,0,0,2,0.05128205128205128,1,16,24812,14,0,0.0,0.0,0.0,0.0,True,True,99.99953827343238,56.10546875,21177822.542260233,21177822.542265654,21177822.542340897,21177822.54778743,21177822.553601265,21177822.554892767,0.0,0.0,21177822.555500608
agent_count:10:seed=8:method=local_only,8,local_only,agent_count:10,a3a4a56d21bc252abbec7d3a76a4dfc877f8d480ad9e366ba8245a7d5f16c384,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-03:exp3-seed-0008:exp3-seed-0008-sess-15:gw-03:0 | session_set_mismatch:gw-03 | version_mismatch:gw-03:1!=2,0.0,13.220995664596558,0.06080791354179382,5.501296371221542,5.434121936559677,5.2904002368450165,1.1096633970737457,0.0,0.4059895873069763,5,1,1,1,2,2,28,28,0,0,39,39,0,0,2,0.05128205128205128,1,16,24816,14,0,0.0,0.0,0.0,0.0,True,True,100.00042016269413,56.36328125,21177822.652391434,21177822.65239681,21177822.65247256,21177822.65790668,21177822.663706083,21177822.66501128,0.0,0.0,21177822.66561243
agent_count:10:seed=9:method=local_only,9,local_only,agent_count:10,22b260cb556fd7982dbc334518d69a5091976b2623323810c9c2d3bb33b40f05,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-01:1!=2,0.0,11.416081339120865,0.0586584210395813,5.379877984523773,5.315031856298447,3.7088431417942047,1.0526515543460846,0.0,0.3867708146572113,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,0,16,17238,14,0,0.0,0.0,0.0,0.0,True,True,100.00234221859887,56.62109375,21177822.75964341,21177822.759648737,21177822.75972257,21177822.765037604,21177822.769241914,21177822.770482436,0.0,0.0,21177822.77105949
