scenario,seed,scenario_fingerprint,proposed_success,full_rebuild_success,proposed_minus_full_rebuild_latency,proposed_rule_reduction,proposed_gateway_reduction,proposed_unaffected_interruption_reduction
agent_count:10,0,210234928a7892ccabf6777bedee532687ddad5decdfe92cf1ad4631f3ea2184,True,True,-1.0465756058692932,36.0,1.0,0.0
agent_count:10,1,c9cc0d59ce40dbcf693c5cad387e154ee9034bea4036d242afb31a593e2ab7b0,True,True,-1.679636538028717,38.0,2.0,0.0
agent_count:10,2,32a3a43353d961f1eeeeb6ef1c225353007418daac04b897678e91fec1be03cc,True,True,-1.16661936044693,35.0,0.0,0.0
agent_count:10,3,1d9641f3539026063cab4ffba3e83226b8a95b52319d0328282d583c03820b35,True,True,-1.6636177897453308,39.0,2.0,0.0
agent_count:10,4,cd8c62176736b2ee1d2d415cb9d4c68493b8c45d44c065d62c65db538e0577c8,True,True,-1.2972131371498108,37.0,1.0,0.0
agent_count:10,5,04fd79bc847981ca25d1b00ce8c0bfb81ecf15c8916e1e0da3cd5e89f6373066,True,True,-1.2158267199993134,37.0,2.0,0.0
agent_count:10,6,4b6bca8d63167bc2dadb5fade786517f41b2a359b322502f01566258249ca27e,True,True,-1.6872771084308624,38.0,2.0,0.0
agent_count:10,7,eb168802adb91b681264242ca5b67c470520a9c8fbbf9005f927d26cd7c395e9,True,True,-1.7197653651237488,39.0,1.0,0.0
agent_count:10,8,a3a4a56d21bc252abbec7d3a76a4dfc877f8d480ad9e366ba8245a7d5f16c384,True,True,-1.1454448103904724,36.0,1.0,0.0
agent_count:10,9,22b260cb556fd7982dbc334518d69a5091976b2623323810c9c2d3bb33b40f05,True,True,-1.5164203941822052,38.0,2.0,0.0
agent_count:10,10,75f5502200447143466f4e3e6f73c24c333d7cdfeab80342a0d5dbd20c8ac179,True,True,-1.2735985219478607,38.0,2.0,0.0
agent_count:10,11,94a3fdac9d2b19a5c2c5d8b869ee63bfd471414e45a233cabc39d80f0f520229,True,True,-1.5291906893253326,37.0,2.0,0.0
agent_count:10,12,ef9cb210937e2685f8ceccde6cdaa745796383c51b828d22bc84f75269f8ef67,True,True,-1.2897886335849762,34.0,1.0,0.0
agent_count:10,13,0f2aaee454440c20bc1272cff80c64c6cab95311b05a84046d94d73921ee5eac,True,True,9.33711975812912,36.0,2.0,0.0
agent_count:10,14,40bfc1325885e9bdfc1eb11fa1978289539a2354a0838e7ed99d9f87197c7df0,True,True,-1.0354593396186829,34.0,1.0,0.0
agent_count:10,15,f5873e8ca1893bf6e5b205aecc201976beae83ea9da69de99389fe3722fd3f10,True,True,-1.3831332325935364,36.0,2.0,0.0
agent_count:10,16,a8fd492e311e4489a8cc0d11e8242c518eb4c78d0202488a28908179d8301daf,True,True,-1.1981278657913208,34.0,0.0,0.0
