scenario,scenario_family,scenario_value,method,runs,successful_runs,failed_runs,success_rate,rollback_rate,rollback_success_rate,residual_rule_rate,elastic_latency_ms_count,elastic_latency_ms_mean,elastic_latency_ms_median,elastic_latency_ms_std,elastic_latency_ms_ci95,elastic_latency_ms_p95,failure_handling_ms_count,failure_handling_ms_mean,failure_handling_ms_median,failure_handling_ms_std,failure_handling_ms_ci95,failure_handling_ms_p95,scope_latency_ms_count,scope_latency_ms_mean,scope_latency_ms_median,scope_latency_ms_std,scope_latency_ms_ci95,scope_latency_ms_p95,plan_latency_ms_count,plan_latency_ms_mean,plan_latency_ms_median,plan_latency_ms_std,plan_latency_ms_ci95,plan_latency_ms_p95,compile_delta_latency_ms_count,compile_delta_latency_ms_mean,compile_delta_latency_ms_median,compile_delta_latency_ms_std,compile_delta_latency_ms_ci95,compile_delta_latency_ms_p95,stage_latency_ms_count,stage_latency_ms_mean,stage_latency_ms_median,stage_latency_ms_std,stage_latency_ms_ci95,stage_latency_ms_p95,verification_latency_ms_count,verification_latency_ms_mean,verification_latency_ms_median,verification_latency_ms_std,verification_latency_ms_ci95,verification_latency_ms_p95,activation_latency_ms_count,activation_latency_ms_mean,activation_latency_ms_median,activation_latency_ms_std,activation_latency_ms_ci95,activation_latency_ms_p95,rollback_latency_ms_count,rollback_latency_ms_mean,rollback_latency_ms_median,rollback_latency_ms_std,rollback_latency_ms_ci95,rollback_latency_ms_p95,affected_agents_count,affected_agents_mean,affected_agents_median,affected_agents_std,affected_agents_ci95,affected_agents_p95,affected_edges_count,affected_edges_mean,affected_edges_median,affected_edges_std,affected_edges_ci95,affected_edges_p95,affected_sessions_count,affected_sessions_mean,affected_sessions_median,affected_sessions_std,affected_sessions_ci95,affected_sessions_p95,affected_routes_count,affected_routes_mean,affected_routes_median,affected_routes_std,affected_routes_ci95,affected_routes_p95,affected_gateways_count,affected_gateways_mean,affected_gateways_median,affected_gateways_std,affected_gateways_ci95,affected_gateways_p95,affected_physical_resources_count,affected_physical_resources_mean,affected_physical_resources_median,affected_physical_resources_std,affected_physical_resources_ci95,affected_physical_resources_p95,changed_rules_ratio_count,changed_rules_ratio_mean,changed_rules_ratio_median,changed_rules_ratio_std,changed_rules_ratio_ci95,changed_rules_ratio_p95,added_rules_count,added_rules_mean,added_rules_median,added_rules_std,added_rules_ci95,added_rules_p95,updated_rules_count,updated_rules_mean,updated_rules_median,updated_rules_std,updated_rules_ci95,updated_rules_p95,deleted_rules_count,deleted_rules_mean,deleted_rules_median,deleted_rules_std,deleted_rules_ci95,deleted_rules_p95,residual_rules_count,residual_rules_mean,residual_rules_median,residual_rules_std,residual_rules_ci95,residual_rules_p95,control_messages_count,control_messages_mean,control_messages_median,control_messages_std,control_messages_ci95,control_messages_p95,control_bytes_count,control_bytes_mean,control_bytes_median,control_bytes_std,control_bytes_ci95,control_bytes_p95,unaffected_edges_interrupted_count,unaffected_edges_interrupted_mean,unaffected_edges_interrupted_median,unaffected_edges_interrupted_std,unaffected_edges_interrupted_ci95,unaffected_edges_interrupted_p95,unaffected_interrupted_rate_count,unaffected_interrupted_rate_mean,unaffected_interrupted_rate_median,unaffected_interrupted_rate_std,unaffected_interrupted_rate_ci95,unaffected_interrupted_rate_p95,unaffected_interruption_ms_count,unaffected_interruption_ms_mean,unaffected_interruption_ms_median,unaffected_interruption_ms_std,unaffected_interruption_ms_ci95,unaffected_interruption_ms_p95,unaffected_latency_change_ms_count,unaffected_latency_change_ms_mean,unaffected_latency_change_ms_median,unaffected_latency_change_ms_std,unaffected_latency_change_ms_ci95,unaffected_latency_change_ms_p95,unaffected_packet_loss_change_count,unaffected_packet_loss_change_mean,unaffected_packet_loss_change_median,unaffected_packet_loss_change_std,unaffected_packet_loss_change_ci95,unaffected_packet_loss_change_p95,controller_cpu_percent_count,controller_cpu_percent_mean,controller_cpu_percent_median,controller_cpu_percent_std,controller_cpu_percent_ci95,controller_cpu_percent_p95,controller_memory_mb_count,controller_memory_mb_mean,controller_memory_mb_median,controller_memory_mb_std,controller_memory_mb_ci95,controller_memory_mb_p95
agent_count:10,agent_count,10,full_rebuild,30,30,0,1.0,0.0,0.0,0.0,30,19.012191891670227,19.14766989648342,0.7684744839062667,0.274995062339034,19.989736191928387,0,,,,,,30,0.05945935845375061,0.05964934825897217,0.001567028972546503,0.0005607541161315373,0.06184522062540054,30,2.2742056598265967,2.2672154009342194,0.05213350767028715,0.01865573612655145,2.329578809440136,30,2.208376800020536,2.200160175561905,0.05157004925292971,0.0184541051214216,2.263271249830723,30,12.695237249135971,12.826407328248024,0.6392953891648736,0.2287689169623681,13.512178510427475,30,2.100494628151258,2.096036449074745,0.06464901491123766,0.023134352874416838,2.1620092913508415,30,0.8963937560717264,0.9000860154628754,0.020641241835086598,0.0073863735284242235,0.9197661653161049,0,,,,,,30,22.0,22.0,0.0,0.0,22.0,30,15.0,15.0,0.0,0.0,15.0,30,15.0,15.0,0.0,0.0,15.0,30,15.0,15.0,0.0,0.0,15.0,30,4.0,4.0,0.0,0.0,4.0,30,28.0,28.0,0.0,0.0,28.0,30,1.0703721712603291,1.0759615384615384,0.05413697344745862,0.019372667147457785,1.1645982142857143,30,2.566666666666667,3.0,1.9241358711314316,0.6885431786113784,5.550000000000001,30,31.466666666666665,32.0,2.8494806947731823,1.0196735710858065,34.55,30,5.233333333333333,5.0,2.01174711054387,0.7198944579946014,8.55,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,77683.5,78482.0,4211.993906977287,1507.2426622848407,83227.5,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.98153285562024,99.97867652146013,0.013730082389293153,0.004913246882799921,100.00109713974302,30,57.42135416666667,57.455078125,1.8141933107840735,0.6492007386610593,59.9216796875
agent_count:10,agent_count,10,local_only,30,0,30,0.0,1.0,1.0,0.5333333333333333,0,,,,,,30,11.89802959561348,11.827049776911736,0.8120283744238879,0.2905806218973934,13.231654092669487,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,30,0.3900192677974701,0.3923047333955765,0.014043265640829883,0.005025318070046249,0.40994249284267426,30,5.0,5.0,0.0,0.0,5.0,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,2.0,2.0,0.0,0.0,2.0,30,2.0,2.0,0.0,0.0,2.0,30,0.05462214898360409,0.05405405405405406,0.002722105526216877,0.0009740929524040566,0.058823529411764705,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,2.0,2.0,0.0,0.0,2.0,30,0.6666666666666666,1.0,0.7111590022187596,0.2544849806255463,2.0,30,16.0,16.0,0.0,0.0,16.0,30,19444.233333333334,18219.0,3172.6720565102405,1135.3261145724164,24814.2,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,100.00016655505858,100.00020611228501,0.0036917106285798717,0.0013210616822091174,100.00458081572029,30,57.473307291666664,57.455078125,1.8178846016671886,0.650521650139283,59.9216796875
agent_count:10,agent_count,10,proposed,30,30,0,1.0,0.0,0.0,0.0,30,18.01990307867527,17.75289885699749,2.0535920228861335,0.7348684675669684,18.653087690472603,0,,,,,,30,0.05939143399397532,0.059643760323524475,0.0015174308905059118,0.0005430056704143566,0.061418116092681885,30,5.368552356958389,5.373688414692879,0.13345709447381585,0.04775700792023923,5.5403947830200195,30,5.302927643060684,5.308955907821655,0.13236670423187033,0.04736681678333447,5.4732974618673325,30,8.192032823959986,8.23676772415638,0.3636967418922664,0.13014720762201193,8.642346784472466,30,2.532568946480751,2.1589789539575577,1.9144146155346087,0.685064471972645,2.383131720125675,30,1.0111032674709957,1.0626520961523056,0.0968976502737459,0.03467437883179581,1.106267049908638,0,,,,,,30,5.0,5.0,0.0,0.0,5.0,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,2.6666666666666665,3.0,0.7111590022187596,0.2544849806255463,4.0,30,2.0,2.0,0.0,0.0,2.0,30,0.07292564446782714,0.07596153846153847,0.020515699716968035,0.007341448858417353,0.11428571428571427,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,2.6666666666666665,3.0,0.7111590022187596,0.2544849806255463,4.0,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,41137.5,41466.5,1925.8587112927232,689.1596890453311,43659.15,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.98473472295409,99.97893653786674,0.01294024580822983,0.0046306074921683765,100.0005214771628,30,57.3125,57.39453125,1.8823231071831605,0.6735806731940553,59.90234375
agent_count:20,agent_count,20,full_rebuild,30,30,0,1.0,0.0,0.0,0.0,30,30.453996484478314,29.93621490895748,3.0390690175118458,1.087516881074783,33.53235386312008,0,,,,,,30,0.09105727076530457,0.09096413850784302,0.0033596586640065396,0.0012022384127187802,0.09470432996749878,30,4.167761032780011,3.7460587918758392,2.372824173575425,0.8491042255757318,3.9723951369524,30,4.069154833753903,3.6474447697401047,2.3729629678417314,0.849153892466064,3.8738904520869255,30,20.135286698738735,20.24058625102043,1.5952887097455066,0.570866733213138,22.70516697317362,30,3.2922803113857904,3.2978206872940063,0.17528135799012406,0.06272362840513517,3.540063090622425,30,1.1567863325277965,1.1524911969900131,0.05582997696393106,0.019978500675184033,1.2382753193378448,0,,,,,,30,32.0,32.0,0.0,0.0,32.0,30,30.0,30.0,0.0,0.0,30.0,30,30.0,30.0,0.0,0.0,30.0,30,30.0,30.0,0.0,0.0,30.0,30,4.0,4.0,0.0,0.0,4.0,30,45.0,45.0,0.0,0.0,45.0,30,1.4497705501135647,1.445436507936508,0.16569371172592678,0.05929273325204492,1.6913220551378445,30,24.7,24.5,9.374028685314732,3.354453084222951,39.1,30,22.7,23.0,10.191781679034507,3.6470822348263834,41.0,30,32.1,32.0,10.443113553421469,3.737020191013955,46.55,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,129737.33333333333,129863.5,11962.838506242437,4280.846781084788,150163.35,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.97914556636916,99.9759483552919,0.006788067760151997,0.0024290788516177597,99.98810368020372,30,65.0875,65.126953125,2.6941928271557756,0.9641045213251991,69.180859375
agent_count:20,agent_count,20,local_only,30,12,18,0.4,0.6,1.0,0.2,12,26.410045412679512,26.414114981889725,1.2274299654143974,0.6944838805245471,28.041129745543003,18,21.41478657722473,21.311519667506218,1.2388449816465845,0.572317182409333,22.800015099346638,12,0.09131028006474178,0.09154155850410461,0.0019252039044312397,0.001089286652618929,0.09358339011669159,12,8.48771259188652,8.459096774458885,0.245661937807651,0.13899632620443456,8.828651160001755,12,8.388969115912914,8.360782638192177,0.2447225596673013,0.13846482298667687,8.72837882488966,12,11.802686688800653,11.861436069011688,0.7014860002313611,0.3969030684450036,12.706453539431095,12,3.2577449455857277,3.3514313399791718,0.20693670792239538,0.11708546474372575,3.4445559605956078,12,1.1361371725797653,1.1568386107683182,0.06917050522693959,0.03913689761650087,1.21526587754488,18,0.6315521895885468,0.6106197834014893,0.07452749090581556,0.03442994421348968,0.6989214569330211,30,9.733333333333333,9.0,1.7603552410558057,0.6299350328358232,12.0,30,3.7,3.0,1.1788363637137231,0.4218411751020688,6.0,30,3.7,3.0,1.1788363637137231,0.4218411751020688,6.0,30,3.7,3.0,1.1788363637137231,0.4218411751020688,6.0,30,3.3666666666666667,3.0,0.5560534167675355,0.1989811597003817,4.0,30,5.966666666666667,6.0,1.7710961603468633,0.6337786214414056,8.0,30,0.13160934775969074,0.1303885853066181,0.051022209732746376,0.01825806326686475,0.20923529411764707,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7.2,7.0,2.7965495981963944,1.0007324214345936,10.55,30,0.2,0.0,0.4068381021724862,0.14558514513080867,1.0,30,26.933333333333334,24.0,4.448427334140284,1.5918492776030535,32.0,30,48831.166666666664,45383.0,9632.566772487839,3446.9697505379972,62424.75,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.98028383377616,99.98146164402738,0.008771391029698665,0.003138801968740758,99.99562261109875,30,65.18828125,65.21875,2.689227302712553,0.9623276312235669,69.2705078125
agent_count:20,agent_count,20,proposed,30,30,0,1.0,0.0,0.0,0.0,30,26.150838534037273,26.139480993151665,0.9895003393458444,0.35408814892557394,27.772438898682594,0,,,,,,30,0.09110569953918457,0.0909026712179184,0.0026081957081873193,0.0009333308475247395,0.09485837072134018,30,8.364533508817354,8.377738296985626,0.17363125791138484,0.062133147675427707,8.601030707359314,30,8.266165480017662,8.27614776790142,0.1726323217112656,0.06177568294708935,8.501596935093403,30,11.614018306136131,11.678582057356834,0.6032647004920244,0.21587550060930538,12.53419928252697,30,3.3108393351236978,3.3396072685718536,0.18871050823302682,0.06752918810236219,3.557213395833969,30,1.1494121203819911,1.1439546942710876,0.054163271134213695,0.019382077653805146,1.2225741520524025,0,,,,,,30,9.733333333333333,9.0,1.7603552410558057,0.6299350328358232,12.0,30,3.7,3.0,1.1788363637137231,0.4218411751020688,6.0,30,3.7,3.0,1.1788363637137231,0.4218411751020688,6.0,30,3.7,3.0,1.1788363637137231,0.4218411751020688,6.0,30,3.566666666666667,4.0,0.5683207771559354,0.20337097823748607,4.0,30,5.966666666666667,6.0,1.7710961603468633,0.6337786214414056,8.0,30,0.13532998933567822,0.13161150634085989,0.05104760714932686,0.01826715161566756,0.20923529411764707,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7.4,7.0,2.786667766594954,0.9971962534105772,10.55,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,58383.73333333333,58975.0,3002.348218143343,1074.376511780866,62956.6,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.98120765743643,99.98472321265565,0.008083480403555868,0.002892636312649961,99.98759737610462,30,64.94921875,65.033203125,2.6634017644957497,0.9530860810607443,69.015234375
agent_count:40,agent_count,40,full_rebuild,30,30,0,1.0,0.0,0.0,0.0,30,60.81583773096403,60.09662710130215,2.3611003993624844,0.8449089268533222,65.08790999650955,0,,,,,,30,0.16910495857397714,0.16893260180950165,0.005897660701606593,0.002110450777817361,0.17736386507749557,30,7.474580282966296,7.478643208742142,0.25208352929702765,0.09020693244271102,7.870004326105118,30,7.29655846953392,7.300360128283501,0.2556226798475353,0.09147340120211198,7.698641903698444,30,39.996832236647606,39.65787775814533,1.9950292478998934,0.7139120476787939,43.267542868852615,30,6.962841749191284,6.943732500076294,0.3862315411291865,0.13821118196434065,7.514700293540955,30,2.076037103931109,2.0860787481069565,0.10084500033408131,0.03608691990980033,2.2333022207021713,0,,,,,,30,52.0,52.0,0.0,0.0,52.0,30,60.0,60.0,0.0,0.0,60.0,30,60.0,60.0,0.0,0.0,60.0,30,60.0,60.0,0.0,0.0,60.0,30,4.0,4.0,0.0,0.0,4.0,30,90.0,90.0,0.0,0.0,90.0,30,1.5142858016144476,1.5324101860584753,0.10127498073676452,0.03624078642081237,1.629415137614679,30,56.766666666666666,58.0,11.485172850344867,4.109916321360129,69.55,30,35.56666666666667,32.5,13.127185094518442,4.697502856638047,56.650000000000006,30,74.76666666666667,77.5,13.838186380405872,4.951931399199253,92.0,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,261289.03333333333,259412.0,14546.09084228316,5205.251757520701,284792.65,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.97163102758594,99.97111899594475,0.0043349795638482165,0.0015512525143831356,99.97783143847076,30,78.73359375,78.783203125,5.034095156763174,1.8014278163379747,86.2044921875
agent_count:40,agent_count,40,local_only,30,24,6,0.8,0.2,1.0,0.1,24,52.0030464977026,52.1235391497612,1.405110220487413,0.5621611685187423,53.75062711536884,6,42.42980604370435,42.0441422611475,1.8073300291781267,1.4461652136433087,44.95173040777445,24,0.16958142320315042,0.1700129359960556,0.004103884363688233,0.0016418957002223575,0.17542578279972076,24,16.001122693220776,15.964267775416374,0.206389210517479,0.0825728815166682,16.272533126175404,24,15.822786993036667,15.785636380314827,0.20426029247065522,0.0817211369065778,16.09290912747383,24,22.596275278677542,22.718314081430435,0.7573851472292183,0.3030171677474686,23.63443598151207,24,7.064915417383115,7.044710218906403,0.4956674372548322,0.19830827621993158,7.570176385343075,24,2.0694993436336517,2.073148265480995,0.10355846929838389,0.041432016693037275,2.247024141252041,6,1.1754855513572693,1.1544935405254364,0.04780347222971364,0.03825074419939399,1.2472085654735565,30,14.366666666666667,14.0,1.5862193902556445,0.5676213189141364,16.0,30,9.533333333333333,9.5,2.046583921349534,0.7323606506396722,12.0,30,9.533333333333333,9.5,2.046583921349534,0.7323606506396722,12.0,30,9.533333333333333,9.5,2.046583921349534,0.7323606506396722,12.0,30,3.8,4.0,0.4068381021724862,0.14558514513080867,4.0,30,14.7,15.0,3.534558451670571,1.26482549793633,19.55,30,0.1606454373929302,0.17118506493506494,0.04592902224766128,0.01643548953241113,0.2225296442687747,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,17.766666666666666,19.0,5.190730021964111,1.8574788829933662,25.0,30,0.23333333333333334,0.0,0.8172001541568767,0.2924313195065681,1.5500000000000007,30,30.4,32.0,3.25470481737989,1.1646811610464693,32.0,30,107525.56666666667,112513.5,13713.285392422305,4907.23615466471,118590.5,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.97062651782699,99.97037378866551,0.004700442359959012,0.001682031696390881,99.97788173397831,30,78.88776041666667,78.912109375,5.045259189124787,1.8054228140113275,86.3205078125
agent_count:40,agent_count,40,proposed,30,30,0,1.0,0.0,0.0,0.0,30,53.680324802796044,51.75621621310711,7.6166226921946345,2.7255734262068763,66.0722240805626,0,,,,,,30,0.1683651159207026,0.16959011554718018,0.005595264930955187,0.0020022398410291377,0.1766301691532135,30,17.109909281134605,16.050007194280624,6.154138123691075,2.202230044600771,16.58353302627802,30,16.93297823270162,15.87115041911602,6.154145819854328,2.202232798637422,16.401640884578228,30,23.15367932120959,22.491641342639923,3.9162767050470912,1.4014216206203813,24.589967913925648,30,7.093045860528946,7.055360823869705,0.48329364205657227,0.17294440870676522,7.686643302440643,30,2.0753350108861923,2.0740292966365814,0.10216616820478085,0.03655969376055536,2.2460157051682472,0,,,,,,30,14.366666666666667,14.0,1.5862193902556445,0.5676213189141364,16.0,30,9.533333333333333,9.5,2.046583921349534,0.7323606506396722,12.0,30,9.533333333333333,9.5,2.046583921349534,0.7323606506396722,12.0,30,9.533333333333333,9.5,2.046583921349534,0.7323606506396722,12.0,30,3.9,4.0,0.30512857662936466,0.10918885884810649,4.0,30,14.7,15.0,3.534558451670571,1.26482549793633,19.55,30,0.1627734863763251,0.17118506493506494,0.04665802049686778,0.016696358205586282,0.22941770186335403,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,18.0,19.0,5.271916487225102,1.886531086473235,25.55,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,113426.93333333333,113132.5,4194.983974597095,1501.1557361562116,119369.45000000001,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.9717143111575,99.9711666917327,0.004887213542561018,0.001748866905728864,99.9790530845267,30,78.53229166666667,78.654296875,5.025637432284263,1.7984012585028961,85.9505859375
agent_count:60,agent_count,60,full_rebuild,30,30,0,1.0,0.0,0.0,0.0,30,102.33298341433208,97.21473604440689,17.243512910705338,6.170511847992254,144.05632596462965,0,,,,,,30,0.24033685525258383,0.24058856070041656,0.005959104184573004,0.002132438045817188,0.25010034441947937,30,13.46989112595717,11.855166405439377,9.1107874437259,3.2602534157148235,12.906595505774021,30,13.219092165430387,11.607993394136429,9.110587966104838,3.2601820335648775,12.66099363565445,30,62.65907237927119,60.61151437461376,10.349115948186851,3.7033835799714905,82.92348273098472,30,13.129363084832827,13.10640387237072,0.7825172434483658,0.2800201993039753,14.151118136942387,30,3.290743504961332,3.2326355576515198,0.41211687659134355,0.14747413029659903,3.4570056945085526,0,,,,,,30,72.0,72.0,0.0,0.0,72.0,30,90.0,90.0,0.0,0.0,90.0,30,90.0,90.0,0.0,0.0,90.0,30,90.0,90.0,0.0,0.0,90.0,30,4.0,4.0,0.0,0.0,4.0,30,135.0,135.0,0.0,0.0,135.0,30,1.577058108778047,1.578176277543366,0.07332536515516992,0.026239144934756042,1.686890243902439,30,94.5,93.5,12.082332499177866,4.323607157290624,112.65,30,42.333333333333336,41.5,13.298517763745089,4.75881346491641,67.2,30,121.46666666666667,121.0,13.348726746290316,4.776780518571621,143.0,30,0.0,0.0,0.0,0.0,0.0,30,32.0,32.0,0.0,0.0,32.0,30,395718.56666666665,396834.5,17656.89597956938,6318.439079374519,418542.2,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,99.96906617041259,99.9692926086091,0.002895539664505923,0.0010361555617285454,99.97341705566689,30,100.36028645833333,100.26953125,7.170095873144496,2.5657858561413476,111.0962890625
