run_id,seed,method,scenario,scenario_fingerprint,result_mode,num_agents_before,num_agents_after,num_edges_before,num_edges_after,num_gateways,cross_gateway_edge_ratio,agent_removal_ratio,removed_agent_type,removed_agent_ids,old_version,new_version,success,failure_reason,elastic_latency_ms,failure_handling_ms,scope_latency_ms,plan_latency_ms,compile_delta_latency_ms,stage_latency_ms,verification_latency_ms,activation_latency_ms,rollback_latency_ms,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,physical_bindings_before,physical_bindings_after,released_physical_resources,residual_physical_resources,total_rules_before,total_rules_after,added_rules,updated_rules,deleted_rules,changed_rules_ratio,residual_rules,control_messages,control_bytes,unaffected_edges_total,unaffected_edges_interrupted,unaffected_interrupted_rate,unaffected_interruption_ms,unaffected_latency_change_ms,unaffected_packet_loss_change,rollback_triggered,rollback_success,controller_cpu_percent,controller_memory_mb,event_occurred_at,event_received_at,scope_finished_at,plan_finished_at,stage_finished_at,verification_finished_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at
agent_count:10:seed=0:method=proposed,0,proposed,agent_count:10,210234928a7892ccabf6777bedee532687ddad5decdfe92cf1ad4631f3ea2184,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,18.341846764087677,0.0,0.0612698495388031,5.5360347032547,5.468007177114487,8.535332977771759,2.1578408777713776,0.9287223219871521,0.0,5,1,1,1,3,2,28,26,2,0,38,35,0,0,3,0.07894736842105263,0,32,42522,14,0,0.0,0.0,0.0,0.0,False,False,100.01045872468595,53.41015625,21177821.72241125,21177821.722418074,21177821.722501434,21177821.72796944,21177821.737058856,21177821.73859567,21177821.73991629,21177821.740753096,0.0
agent_count:10:seed=0:method=full_rebuild,0,full_rebuild,agent_count:10,210234928a7892ccabf6777bedee532687ddad5decdfe92cf1ad4631f3ea2184,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,19.38842236995697,0.0,0.061161816120147705,2.296052873134613,2.2283121943473816,12.89142295718193,2.1611303091049194,0.9172409772872925,0.0,22,15,15,15,4,28,28,26,2,0,38,35,1,34,4,1.0263157894736843,0,32,78461,14,0,0.0,0.0,0.0,0.0,False,False,99.98026470284374,53.78515625,21177821.759734254,21177821.759740133,21177821.759817112,21177821.762045424,21177821.775444567,21177821.777176272,21177821.778297093,21177821.779122677,0.0
agent_count:10:seed=0:method=local_only,0,local_only,agent_count:10,210234928a7892ccabf6777bedee532687ddad5decdfe92cf1ad4631f3ea2184,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-01:exp3-seed-0000:exp3-seed-0000-sess-14:gw-01:0 | session_set_mismatch:gw-01 | version_mismatch:gw-01:1!=2,0.0,11.914845556020737,0.05827471613883972,5.553089082241058,5.488254129886627,3.9181672036647797,1.0863281786441803,0.0,0.4069879651069641,5,1,1,1,2,2,28,28,0,0,38,38,0,0,2,0.05263157894736842,1,16,18219,14,0,0.0,0.0,0.0,0.0,True,True,99.99889847916191,53.78515625,21177821.798130088,21177821.79813545,21177821.798208836,21177821.80369709,21177821.808148537,21177821.80943617,0.0,0.0,21177821.810044933
agent_count:10:seed=1:method=proposed,1,proposed,agent_count:10,c9cc0d59ce40dbcf693c5cad387e154ee9034bea4036d242afb31a593e2ab7b0,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,17.072927206754684,0.0,0.05630776286125183,5.229037255048752,5.166798830032349,7.871463894844055,2.090536057949066,1.0331124067306519,0.0,5,1,1,1,2,2,28,26,2,0,35,33,0,0,2,0.05714285714285714,0,32,39410,14,0,0.0,0.0,0.0,0.0,False,False,99.97097336170431,54.04296875,21177821.829684872,21177821.829690423,21177821.829761162,21177821.83492796,21177821.843272574,21177821.844738055,21177821.845950656,21177821.8467578,0.0
agent_count:10:seed=1:method=full_rebuild,1,full_rebuild,agent_count:10,c9cc0d59ce40dbcf693c5cad387e154ee9034bea4036d242afb31a593e2ab7b0,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,18.7525637447834,0.0,0.056006014347076416,2.271663397550583,2.2095777094364166,12.53674179315567,2.073235809803009,0.8821859955787659,0.0,22,15,15,15,4,28,28,26,2,0,35,33,5,28,7,1.1428571428571428,0,32,77485,14,0,0.0,0.0,0.0,0.0,False,False,99.97643781637039,54.30078125,21177821.864792004,21177821.864797503,21177821.864868093,21177821.86707767,21177821.880069967,21177821.88169228,21177821.88275156,21177821.883544568,0.0
agent_count:10:seed=1:method=local_only,1,local_only,agent_count:10,c9cc0d59ce40dbcf693c5cad387e154ee9034bea4036d242afb31a593e2ab7b0,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-03:1!=2,0.0,12.017376720905304,0.05700811743736267,5.262702703475952,5.199704319238663,4.457466304302216,1.0797902941703796,0.0,0.37904828786849976,5,1,1,1,2,2,28,28,0,0,35,35,0,0,2,0.05714285714285714,0,16,20896,14,0,0.0,0.0,0.0,0.0,True,True,100.00029921010136,54.30078125,21177821.901588444,21177821.901593745,21177821.901665147,21177821.90686485,21177821.91179892,21177821.913051717,0.0,0.0,21177821.91360582
agent_count:10:seed=2:method=proposed,2,proposed,agent_count:10,32a3a43353d961f1eeeeb6ef1c225353007418daac04b897678e91fec1be03cc,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,17.985478043556213,0.0,0.05863606929779053,5.407772958278656,5.3432658314704895,8.440587669610977,2.1554939448833466,1.0751523077487946,0.0,5,1,1,1,4,2,28,26,2,0,38,34,0,0,4,0.10526315789473684,0,32,42442,14,0,0.0,0.0,0.0,0.0,False,False,99.97341751448442,54.30078125,21177821.93407551,21177821.934080817,21177821.9341537,21177821.939496964,21177821.948438797,21177821.94997626,21177821.951247822,21177821.952060986,0.0
agent_count:10:seed=2:method=full_rebuild,2,full_rebuild,agent_count:10,32a3a43353d961f1eeeeb6ef1c225353007418daac04b897678e91fec1be03cc,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,19.152097404003143,0.0,0.059448182582855225,2.260953187942505,2.1953918039798737,12.743648141622543,2.136651426553726,0.9429268538951874,0.0,22,15,15,15,4,28,28,26,2,0,38,34,1,33,5,1.0263157894736843,0,32,77281,14,0,0.0,0.0,0.0,0.0,False,False,99.94422057651917,54.55859375,21177821.97088546,21177821.970890872,21177821.97096532,21177821.97316071,21177821.986393943,21177821.988089386,21177821.989227276,21177821.990037557,0.0
agent_count:10:seed=2:method=local_only,2,local_only,agent_count:10,32a3a43353d961f1eeeeb6ef1c225353007418daac04b897678e91fec1be03cc,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: residual_rules:gw-02:exp3-seed-0002:exp3-seed-0002-sess-13:gw-02:1 | session_set_mismatch:gw-02 | version_mismatch:gw-02:1!=2 | residual_rules:gw-03:exp3-seed-0002:exp3-seed-0002-sess-13:gw-03:0 | session_set_mismatch:gw-03 | version_mismatch:gw-03:1!=2,0.0,12.114394456148148,0.05977228283882141,5.456328392028809,5.390144884586334,4.283443093299866,1.0821595788002014,0.0,0.393938273191452,5,1,1,1,2,2,28,28,0,0,38,38,0,0,2,0.05263157894736842,2,16,20001,14,0,0.0,0.0,0.0,0.0,True,True,99.99512382224837,54.55859375,21177822.00890158,21177822.00890717,21177822.008981984,21177822.01437213,21177822.0191574,21177822.020431023,0.0,0.0,21177822.021015976
agent_count:10:seed=3:method=proposed,3,proposed,agent_count:10,1d9641f3539026063cab4ffba3e83226b8a95b52319d0328282d583c03820b35,in_memory_transactional_simulation,10,9,15,14,4,0.8666666666666667,0.1,leaf,agent-007,1,2,True,,17.470546066761017,0.0,0.05711987614631653,5.310386419296265,5.247022956609726,8.055921643972397,2.109657973051071,1.1206567287445068,0.0,5,1,1,1,2,2,28,26,2,0,36,34,0,0,2,0.05555555555555555,0,32,40478,14,0,0.0,0.0,0.0,0.0,False,False,100.00029614487431,54.81640625,21177822.040974747,21177822.04097988,21177822.041051835,21177822.046298858,21177822.054843664,21177822.056316286,21177822.057619505,21177822.058445293,0.0
