x,method,mean,ci95,sample_count,phase,qos_satisfied,failure_detected,activated
0.0,Application demand,19.0,0.0,1,STABLE,True,False,False
0.0,Network capacity,42.75,0.0,1,STABLE,True,False,False
0.0,Physical capacity,42.75,0.0,1,STABLE,True,False,False
2.0,Application demand,23.75,0.0,1,DEMAND_INCREASE,True,False,False
2.0,Network capacity,42.75,0.0,1,DEMAND_INCREASE,True,False,False
2.0,Physical capacity,42.75,0.0,1,DEMAND_INCREASE,True,False,False
4.0,Application demand,23.75,0.0,1,NETWORK_UTILIZATION_RISE,True,False,False
4.0,Network capacity,26.125000000000004,0.0,1,NETWORK_UTILIZATION_RISE,True,False,False
4.0,Physical capacity,42.75,0.0,1,NETWORK_UTILIZATION_RISE,True,False,False
6.0,Application demand,23.75,0.0,1,PHYSICAL_CAPACITY_DROP,False,False,False
6.0,Network capacity,26.125000000000004,0.0,1,PHYSICAL_CAPACITY_DROP,False,False,False
6.0,Physical capacity,7.6000000000000005,0.0,1,PHYSICAL_CAPACITY_DROP,False,False,False
8.0,Application demand,23.75,0.0,1,ROUTE_DEGRADED,False,True,False
8.0,Network capacity,15.4375,0.0,1,ROUTE_DEGRADED,False,True,False
8.0,Physical capacity,7.6000000000000005,0.0,1,ROUTE_DEGRADED,False,True,False
8.2,Application demand,23.75,0.0,1,RECOVERY_DECISION,False,True,False
8.2,Network capacity,15.4375,0.0,1,RECOVERY_DECISION,False,True,False
8.2,Physical capacity,7.6000000000000005,0.0,1,RECOVERY_DECISION,False,True,False
8.4,Application demand,19.0,0.0,1,ACTIVATION_RESULT,True,True,True
8.4,Network capacity,26.125000000000004,0.0,1,ACTIVATION_RESULT,True,True,True
8.4,Physical capacity,19.0,0.0,1,ACTIVATION_RESULT,True,True,True
8.6,Application demand,19.0,0.0,1,STABLE_HEALTH_WINDOW,True,True,True
8.6,Network capacity,26.125000000000004,0.0,1,STABLE_HEALTH_WINDOW,True,True,True
8.6,Physical capacity,19.0,0.0,1,STABLE_HEALTH_WINDOW,True,True,True
0.0,Throughput: Proposed,19.0,0.0,1,STABLE,True,False,False
2.0,Throughput: Proposed,23.75,0.0,1,DEMAND_INCREASE,True,False,False
4.0,Throughput: Proposed,23.75,0.0,1,NETWORK_UTILIZATION_RISE,True,False,False
6.0,Throughput: Proposed,7.6000000000000005,0.0,1,PHYSICAL_CAPACITY_DROP,False,False,False
8.0,Throughput: Proposed,7.6000000000000005,0.0,1,ROUTE_DEGRADED,False,True,False
8.2,Throughput: Proposed,7.6000000000000005,0.0,1,RECOVERY_DECISION,False,True,False
8.4,Throughput: Proposed,19.0,0.0,1,ACTIVATION_RESULT,True,True,True
8.6,Throughput: Proposed,19.0,0.0,1,STABLE_HEALTH_WINDOW,True,True,True
0.0,Throughput: Full-Rebuild,19.0,0.0,1,STABLE,True,False,False
2.0,Throughput: Full-Rebuild,23.75,0.0,1,DEMAND_INCREASE,True,False,False
4.0,Throughput: Full-Rebuild,23.75,0.0,1,NETWORK_UTILIZATION_RISE,True,False,False
6.0,Throughput: Full-Rebuild,7.6000000000000005,0.0,1,PHYSICAL_CAPACITY_DROP,False,False,False
8.0,Throughput: Full-Rebuild,7.6000000000000005,0.0,1,ROUTE_DEGRADED,False,True,False
8.2,Throughput: Full-Rebuild,7.6000000000000005,0.0,1,RECOVERY_DECISION,False,True,False
8.4,Throughput: Full-Rebuild,19.0,0.0,1,ACTIVATION_RESULT,True,True,True
8.6,Throughput: Full-Rebuild,19.0,0.0,1,STABLE_HEALTH_WINDOW,True,True,True
0.0,Throughput: Network-Only,19.0,0.0,1,STABLE,True,False,False
2.0,Throughput: Network-Only,23.75,0.0,1,DEMAND_INCREASE,True,False,False
4.0,Throughput: Network-Only,23.75,0.0,1,NETWORK_UTILIZATION_RISE,True,False,False
6.0,Throughput: Network-Only,7.6000000000000005,0.0,1,PHYSICAL_CAPACITY_DROP,False,False,False
8.0,Throughput: Network-Only,7.6000000000000005,0.0,1,ROUTE_DEGRADED,False,True,False
8.2,Throughput: Network-Only,7.6000000000000005,0.0,1,RECOVERY_DECISION,False,True,False
8.4,Throughput: Network-Only,0.0,0.0,1,ACTIVATION_RESULT,False,True,False
8.6,Throughput: Network-Only,0.0,0.0,1,STABLE_HEALTH_WINDOW,False,True,False
