x,method,mean,ci95,sample_count
detection,full_rebuild,150.00000000007958,0.0,450
localization,full_rebuild,0.18563077681594425,0.0,450
proposal,full_rebuild,0.22624842822551727,0.0,450
coordination,full_rebuild,4.335761293768883,0.0,450
stage,full_rebuild,19.164698719978333,0.0,450
verification,full_rebuild,3.311721815003289,0.0,450
activation,full_rebuild,1.238226807779736,0.0,450
detection,network_only,150.00000000007958,0.0,450
localization,network_only,0.18546969526343876,0.0,450
proposal,network_only,0.22836267948150635,0.0,450
coordination,network_only,2.313548723856608,0.0,450
stage,network_only,7.316868181029956,0.0,450
verification,network_only,1.7637262658940422,0.0,450
activation,network_only,0.6608176728089651,0.0,450
detection,proposed,150.00000000007958,0.0,450
localization,proposed,0.18524923258357578,0.0,450
proposal,proposed,0.22665431102116904,0.0,450
coordination,proposed,4.437305852770805,0.0,450
stage,proposed,13.91134612262249,0.0,450
verification,proposed,3.3323056085242166,0.0,450
activation,proposed,1.2366155866119597,0.0,450
