x,method,mean,ci95,sample_count
application_different_gateway,full_rebuild:Agent,282.2362580647071,0.5014658698762955,30
application_different_gateway,proposed:Agent,277.32934815188247,1.7218596321909398,30
application_same_gateway,full_rebuild:Agent,281.07016682624817,0.7499680354308047,30
application_same_gateway,proposed:Agent,274.5926473289728,0.31022094948036844,30
network,full_rebuild:Agent,280.20484497149783,0.4231556998169257,30
network,network_only:Agent,277.01412203411263,2.582463252529208,30
network,proposed:Agent,275.1576529194911,0.36765354468662315,30
physical,full_rebuild:Agent,280.01519938309985,0.42050973766299327,30
physical,proposed:Agent,275.8999012410641,0.3475592012888334,30
transport,full_rebuild:Agent,280.2846151093642,0.41145185917475363,30
transport,proposed:Agent,275.9849078953266,1.7220347089251429,30
0.0,full_rebuild:Link,280.73249744872254,0.3966951809582387,30
0.0,network_only:Link,274.8503841459751,0.3777271950501575,30
0.0,proposed:Link,274.89894206325215,0.3756612232926825,30
0.4,full_rebuild:Link,280.6658897548914,0.3931241253440663,30
0.4,network_only:Link,274.8592170576255,0.3794828902888534,30
0.4,proposed:Link,274.84149870773155,0.3854656913371279,30
0.6,full_rebuild:Link,283.32057173053425,4.971031125707546,30
0.6,network_only:Link,274.95324226717156,0.3911772159445927,30
0.6,proposed:Link,274.879951775074,0.38247815730269796,30
0.8,full_rebuild:Link,280.7589614142974,0.3919467514094418,30
0.8,network_only:Link,274.94274601340294,0.37974912080030077,30
0.8,proposed:Link,274.8658721645673,0.37662696338784424,30
1.0,full_rebuild:Link,280.41471516092616,0.4170602764932506,30
1.0,network_only:Link,274.4525422652562,2.41869837278412,30
1.0,proposed:Link,273.2416018843651,0.29345016190858186,30
0.2,full_rebuild:Physical,279.9290829648574,0.4118010867752041,30
0.2,proposed:Physical,276.0298606008291,0.3645065733880439,30
0.4,full_rebuild:Physical,279.91453657547635,0.41581390670456664,30
0.4,proposed:Physical,279.98393091062707,7.815300577177544,30
0.6,full_rebuild:Physical,279.9841570357482,0.4099791102564806,30
0.6,proposed:Physical,279.48189539213973,7.090220651044983,30
0.8,full_rebuild:Physical,279.99299330015975,0.4286635157480144,30
0.8,network_only:Physical,272.80580053726834,0.2822828523496346,30
0.8,proposed:Physical,272.7879860748847,0.29231209922875556,30
1.0,full_rebuild:Physical,279.95849264164764,0.42525749685476893,30
1.0,network_only:Physical,275.6671294569969,5.59978060322571,30
1.0,proposed:Physical,272.80455082654953,0.28172593451437167,30
