run_id,seed,scenario,method,result_mode,scenario_fingerprint,fault_fingerprint,fault_type,fault_target,fault_level,fault_severity,fault_effective_at,failure_detected_at,num_agents,num_edges,num_gateways,old_version,new_version,detection_latency_ms,localization_latency_ms,proposal_latency_ms,coordination_latency_ms,feasibility_latency_ms,delta_compile_latency_ms,stage_latency_ms,activation_latency_ms,verification_latency_ms,reconfiguration_latency_ms,repair_latency_ms,recovery_latency_ms,failure_handling_ms,service_interruption_ms,recovery_success,qos_recovered,safe_rejection,pre_execution_feasibility_checked,post_execution_verification_success,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,changed_agents,changed_sessions,changed_routes,changed_physical_bindings,changed_rules,rule_change_ratio,gateway_impact_ratio,unaffected_edges,unaffected_edges_interrupted,collateral_interruption_rate,collateral_interruption_ms,collateral_latency_change_ms,collateral_packet_loss_change,packet_loss_during_recovery,throughput_before,throughput_during,throughput_after,latency_before,latency_during,latency_after,rollback_triggered,rollback_success,residual_rules,control_messages,control_bytes,selected_actions,selected_layers,transaction_executor,verifier_mode,stable_versions_consistent,staged_rules_empty,service_recovered_at,stage_started_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at,success,failure_reason
AGENT_FAILURE:application_different_gateway:seed=0:method=full_rebuild,0,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,e49cfb7fe8a34b7ca0b7ecb7597e5564e8314d11092598dd26a32b82e4f0eaa9,f2fb16face77276130de6ee8635279e33dc27e5a4175e43523493cbfed2d4704,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1001.0,1001.15,20,30,4,1,2,149.99999999997726,0.17688050866127014,0.21627917885780334,4.425261169672012,0.3699585795402527,0.2908669412136078,21.334856748580933,1.380782574415207,3.6188513040542603,25.520432740449905,133.5829630494345,283.5829630494118,0.0,283.5829630494118,True,True,False,True,True,33,30,30,30,4,50,8,5,5,50,69,1.2105263157894737,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,6.5,7.4,7.4,11.4,False,False,0,32,191646,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1001.2835829630494,1001.1565798014402,1001.1821002341807,1001.1835829630494,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=0:method=network_only,0,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,e49cfb7fe8a34b7ca0b7ecb7597e5564e8314d11092598dd26a32b82e4f0eaa9,f2fb16face77276130de6ee8635279e33dc27e5a4175e43523493cbfed2d4704,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1001.0,1001.15,20,30,4,1,1,149.99999999997726,0.1788511872291565,0.21645799279212952,0.0036992132663726807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,11,5,5,5,4,7,0,0,0,0,0,0.0,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,0.0,7.4,7.4,7.4,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=0:method=proposed,0,AGENT_FAILURE:application_different_gateway,proposed,in_memory_transactional_control_plane_simulation,e49cfb7fe8a34b7ca0b7ecb7597e5564e8314d11092598dd26a32b82e4f0eaa9,f2fb16face77276130de6ee8635279e33dc27e5a4175e43523493cbfed2d4704,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1001.0,1001.15,20,30,4,1,2,149.99999999997726,0.17844513058662415,0.21257251501083374,4.378058016300201,0.36977604031562805,0.2905800938606262,15.35031571984291,1.3851597905158997,3.879047930240631,19.794177263975143,127.53054350616821,277.5305435061455,0.0,277.5305435061455,True,True,False,True,True,11,5,5,5,4,7,8,5,5,50,20,0.3508771929824561,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,6.5,7.4,7.4,11.4,False,False,0,32,123507,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1001.2775305435061,1001.156244212389,1001.176038389653,1001.1775305435061,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=1:method=full_rebuild,1,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,197c5e821f586badf1ed524846ce8b883ee4f07985d26a0c6bb64984cea4246f,016143011a73fc01618c9ac3e4de8d7f85db582a9b581689cc8037136f4c0278,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1011.0,1011.15,20,30,4,1,2,149.99999999997726,0.1775212585926056,0.21572411060333252,4.318922758102417,0.3698095679283142,0.2827160060405731,20.066503435373306,1.336667686700821,3.48065048456192,24.0478552877903,131.89985826613793,281.8998582661152,0.0,281.8998582661152,True,True,False,True,True,33,30,30,30,4,49,8,5,5,49,65,1.1818181818181819,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,6.5,9.0,9.0,11.4,False,False,0,32,179832,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1011.2818998582661,1011.1564076334238,1011.1804554887116,1011.1818998582661,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=1:method=network_only,1,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,197c5e821f586badf1ed524846ce8b883ee4f07985d26a0c6bb64984cea4246f,016143011a73fc01618c9ac3e4de8d7f85db582a9b581689cc8037136f4c0278,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1011.0,1011.15,20,30,4,1,1,149.99999999997726,0.17857179045677185,0.21768733859062195,0.003691762685775757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,12,5,5,5,4,8,0,0,0,0,0,0.0,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,0.0,9.0,9.0,9.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=1:method=proposed,1,AGENT_FAILURE:application_different_gateway,proposed,in_memory_transactional_control_plane_simulation,197c5e821f586badf1ed524846ce8b883ee4f07985d26a0c6bb64984cea4246f,016143011a73fc01618c9ac3e4de8d7f85db582a9b581689cc8037136f4c0278,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1011.0,1011.15,20,30,4,1,2,149.99999999997726,0.17724186182022095,0.21491572260856628,4.282083362340927,0.36558881402015686,0.28174370527267456,14.967743307352066,1.2876689434051514,3.4428685903549194,18.876340240240097,126.36561542751679,276.36561542749405,0.0,276.36561542749405,True,True,False,True,True,12,5,5,5,4,8,8,5,5,49,20,0.36363636363636365,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,6.5,9.0,9.0,11.4,False,False,0,32,117468,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1011.2763656154275,1011.156069779396,1011.1749461196363,1011.1763656154275,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=2:method=full_rebuild,2,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,ee61ab00e67c7d6cf4f53e3b43429df4e97b4e89e30085d76500631880e5b10e,d897a6da9dce5dea8621d5c8e3acd4905997303397df4014e870b85115d3c29d,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1021.0,1021.15,20,30,4,1,2,149.99999999997726,0.18120184540748596,0.21889805793762207,4.454474896192551,0.3684684634208679,0.3135986626148224,22.479373961687088,1.386597752571106,3.720078617334366,26.712186634540558,134.8698273301352,284.86982733011246,0.0,284.86982733011246,True,True,False,True,True,33,30,30,30,4,51,7,6,6,51,72,1.180327868852459,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.75,0.0,7.75,9.0,9.0,11.666666666666666,False,False,0,32,200439,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1021.2848698273301,1021.1566304802894,1021.183342666924,1021.1848698273301,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=2:method=network_only,2,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,ee61ab00e67c7d6cf4f53e3b43429df4e97b4e89e30085d76500631880e5b10e,d897a6da9dce5dea8621d5c8e3acd4905997303397df4014e870b85115d3c29d,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1021.0,1021.15,20,30,4,1,1,149.99999999997726,0.18331408500671387,0.222720205783844,0.0036507844924926758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,14,6,6,6,4,9,0,0,0,0,0,0.0,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.75,0.0,0.0,9.0,9.0,9.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=2:method=proposed,2,AGENT_FAILURE:application_different_gateway,proposed,in_memory_transactional_control_plane_simulation,ee61ab00e67c7d6cf4f53e3b43429df4e97b4e89e30085d76500631880e5b10e,d897a6da9dce5dea8621d5c8e3acd4905997303397df4014e870b85115d3c29d,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1021.0,1021.15,20,30,4,1,2,149.99999999997726,0.18101558089256287,0.22245943546295166,4.600338637828827,0.37501007318496704,0.311385840177536,16.426924616098404,1.3713464140892029,3.673739731311798,20.61203122138977,128.63146364691147,278.63146364688873,0.0,278.63146364688873,True,True,False,True,True,14,6,6,6,4,9,7,6,6,51,23,0.3770491803278688,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.75,0.0,7.75,9.0,9.0,11.666666666666666,False,False,0,32,132293,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1021.2786314636469,1021.1564826793968,1021.1770947106182,1021.1786314636469,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=3:method=full_rebuild,3,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,b02f0839329fadd07d2c47610de2668e4008e8d7cae20f4be02cb8d214a07c6e,22ae414a6f8cedb65f53ca1becf3e2b1b0210d46442f3dcdb590652bdb4e5b30,AGENT_FAILURE,agent-013,application_different_gateway,1.0,1031.0,1031.15,20,30,4,1,2,150.00000000009095,0.1716800034046173,0.1978650689125061,4.280652850866318,0.36845728754997253,0.2855956554412842,18.885411322116852,1.3046599924564362,3.4067705273628235,22.834815084934235,130.64983710637534,280.6498371064663,0.0,280.6498371064663,True,True,False,True,True,33,30,30,30,4,46,6,2,2,46,58,1.0545454545454545,1.0,28,0,0.0,0.0,0.0,0.0,0.001,2.75,0.0,2.75,9.0,9.0,9.0,False,False,0,32,164997,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1031.2806498371065,1031.1563939988614,1031.1792288139463,1031.1806498371066,0.0,True,
