run_id,seed,scenario,method,result_mode,scenario_fingerprint,fault_fingerprint,fault_type,fault_target,fault_level,fault_severity,fault_effective_at,failure_detected_at,num_agents,num_edges,num_gateways,old_version,new_version,detection_latency_ms,localization_latency_ms,proposal_latency_ms,coordination_latency_ms,feasibility_latency_ms,delta_compile_latency_ms,stage_latency_ms,activation_latency_ms,verification_latency_ms,reconfiguration_latency_ms,repair_latency_ms,recovery_latency_ms,failure_handling_ms,service_interruption_ms,recovery_success,qos_recovered,safe_rejection,pre_execution_feasibility_checked,post_execution_verification_success,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,changed_agents,changed_sessions,changed_routes,changed_physical_bindings,changed_rules,rule_change_ratio,gateway_impact_ratio,unaffected_edges,unaffected_edges_interrupted,collateral_interruption_rate,collateral_interruption_ms,collateral_latency_change_ms,collateral_packet_loss_change,packet_loss_during_recovery,throughput_before,throughput_during,throughput_after,latency_before,latency_during,latency_after,rollback_triggered,rollback_success,residual_rules,control_messages,control_bytes,selected_actions,selected_layers,transaction_executor,verifier_mode,stable_versions_consistent,staged_rules_empty,service_recovered_at,stage_started_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at,success,failure_reason
AGENT_FAILURE:application_different_gateway:seed=0:method=network_only,0,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,e49cfb7fe8a34b7ca0b7ecb7597e5564e8314d11092598dd26a32b82e4f0eaa9,f2fb16face77276130de6ee8635279e33dc27e5a4175e43523493cbfed2d4704,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1001.0,1001.15,20,30,4,1,1,149.99999999997726,0.1788511872291565,0.21645799279212952,0.0036992132663726807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,11,5,5,5,4,7,0,0,0,0,0,0.0,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,0.0,7.4,7.4,7.4,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=1:method=network_only,1,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,197c5e821f586badf1ed524846ce8b883ee4f07985d26a0c6bb64984cea4246f,016143011a73fc01618c9ac3e4de8d7f85db582a9b581689cc8037136f4c0278,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1011.0,1011.15,20,30,4,1,1,149.99999999997726,0.17857179045677185,0.21768733859062195,0.003691762685775757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,12,5,5,5,4,8,0,0,0,0,0,0.0,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.5,0.0,0.0,9.0,9.0,9.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=2:method=network_only,2,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,ee61ab00e67c7d6cf4f53e3b43429df4e97b4e89e30085d76500631880e5b10e,d897a6da9dce5dea8621d5c8e3acd4905997303397df4014e870b85115d3c29d,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1021.0,1021.15,20,30,4,1,1,149.99999999997726,0.18331408500671387,0.222720205783844,0.0036507844924926758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,14,6,6,6,4,9,0,0,0,0,0,0.0,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.75,0.0,0.0,9.0,9.0,9.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=3:method=network_only,3,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,b02f0839329fadd07d2c47610de2668e4008e8d7cae20f4be02cb8d214a07c6e,22ae414a6f8cedb65f53ca1becf3e2b1b0210d46442f3dcdb590652bdb4e5b30,AGENT_FAILURE,agent-013,application_different_gateway,1.0,1031.0,1031.15,20,30,4,1,1,150.00000000009095,0.17119944095611572,0.20031630992889404,0.0037476420402526855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,7,2,2,2,3,3,0,0,0,0,0,0.0,0.75,28,0,0.0,0.0,0.0,0.0,0.001,2.75,0.0,0.0,9.0,9.0,9.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=4:method=network_only,4,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,4c30c58b4eef04a1a26dfdc6886f6b6499932fb68e57e9b666861418070077be,18e8c84eb0f5a7dcaafec4b4440ae05cf0823ac503b32ff57e8eb0a84018afd2,AGENT_FAILURE,agent-017,application_different_gateway,1.0,1041.0,1041.15,20,30,4,1,1,150.00000000009095,0.17777085304260254,0.21522492170333862,0.003684312105178833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,15,4,4,4,4,7,0,0,0,0,0,0.0,1.0,26,0,0.0,0.0,0.0,0.0,0.001,5.25,0.0,0.0,12.0,12.0,12.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=5:method=network_only,5,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,6bad3d0da4d872cf8ed83f08075b8f8947b733524dc3dadbeed9f3d8c06654b0,5905b6155649bb422ce14d7668049bd604adb47c142659c0a0cec1a32fe7778b,AGENT_FAILURE,agent-001,application_different_gateway,1.0,1051.0,1051.15,20,30,4,1,1,150.00000000009095,0.17245858907699585,0.2026185393333435,0.0036656856536865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,10,2,2,2,4,4,0,0,0,0,0,0.0,1.0,28,0,0.0,0.0,0.0,0.0,0.001,2.5,0.0,0.0,11.0,11.0,11.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=6:method=network_only,6,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,36c9c79f670bbf5ef0d9bfcd9be73165954f6f5458df07276723efacc421d0e4,76e0798636a2d7ed25f4f24298976ccda08b54e8693cd7661e689682c088f9e0,AGENT_FAILURE,agent-006,application_different_gateway,1.0,1061.0,1061.15,20,30,4,1,1,150.00000000009095,0.1798085868358612,0.2170279622077942,0.0036731362342834473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,10,5,5,5,3,6,0,0,0,0,0,0.0,0.75,25,0,0.0,0.0,0.0,0.0,0.001,6.25,0.0,0.0,6.6,6.6,6.6,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=7:method=network_only,7,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,afe992a35cacb70d765e7fd8cc29b4787845ae7e2c5f22fde5c2f45fef8320ba,e835ade1c9bdaa196dae7149f20f8e25205ac22acbd97a2c88b21acf514fc96e,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1071.0,1071.15,20,30,4,1,1,150.00000000009095,0.18401816487312317,0.23393705487251282,0.0035651028156280518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,17,8,8,8,4,13,0,0,0,0,0,0.0,1.0,22,0,0.0,0.0,0.0,0.0,0.001,10.0,0.0,0.0,10.0,10.0,10.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=8:method=network_only,8,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,161be6cdca4d4eff16573ac0cb8dc1eaaec99baaac15dd419f63dbd3ee832a02,f91fd23da32f373db04deaeeda4c83340e635ade9da7b6d0ff33a59bf335f79b,AGENT_FAILURE,agent-001,application_different_gateway,1.0,1081.0,1081.15,20,30,4,1,1,150.00000000009095,0.17651543021202087,0.20276755094528198,0.003684312105178833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,10,2,2,2,3,4,0,0,0,0,0,0.0,0.75,28,0,0.0,0.0,0.0,0.0,0.001,2.5,0.0,0.0,13.0,13.0,13.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=9:method=network_only,9,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,1bd374ff4edd0e941511b9749ce798f0ad07b3474f8f88c046d75de7b7c6db00,de9fe9ff36df3e05321c0ae7f7531a56ce07ae134e6c3d4d37f72635b662de1a,AGENT_FAILURE,agent-008,application_different_gateway,1.0,1091.0,1091.15,20,30,4,1,1,150.00000000009095,0.1751519739627838,0.20673498511314392,0.0036656856536865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,10,3,3,3,4,5,0,0,0,0,0,0.0,1.0,27,0,0.0,0.0,0.0,0.0,0.001,4.0,0.0,0.0,10.333333333333334,10.333333333333334,10.333333333333334,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
