scenario,fault_family,fault_level,method,runs,successful_runs,failed_runs,success_rate,qos_recovery_rate,safe_rejection_rate,rollback_rate,rollback_success_rate,residual_rule_rate,detection_latency_ms_count,detection_latency_ms_mean,detection_latency_ms_median,detection_latency_ms_std,detection_latency_ms_ci95,detection_latency_ms_p95,localization_latency_ms_count,localization_latency_ms_mean,localization_latency_ms_median,localization_latency_ms_std,localization_latency_ms_ci95,localization_latency_ms_p95,proposal_latency_ms_count,proposal_latency_ms_mean,proposal_latency_ms_median,proposal_latency_ms_std,proposal_latency_ms_ci95,proposal_latency_ms_p95,coordination_latency_ms_count,coordination_latency_ms_mean,coordination_latency_ms_median,coordination_latency_ms_std,coordination_latency_ms_ci95,coordination_latency_ms_p95,feasibility_latency_ms_count,feasibility_latency_ms_mean,feasibility_latency_ms_median,feasibility_latency_ms_std,feasibility_latency_ms_ci95,feasibility_latency_ms_p95,delta_compile_latency_ms_count,delta_compile_latency_ms_mean,delta_compile_latency_ms_median,delta_compile_latency_ms_std,delta_compile_latency_ms_ci95,delta_compile_latency_ms_p95,stage_latency_ms_count,stage_latency_ms_mean,stage_latency_ms_median,stage_latency_ms_std,stage_latency_ms_ci95,stage_latency_ms_p95,activation_latency_ms_count,activation_latency_ms_mean,activation_latency_ms_median,activation_latency_ms_std,activation_latency_ms_ci95,activation_latency_ms_p95,verification_latency_ms_count,verification_latency_ms_mean,verification_latency_ms_median,verification_latency_ms_std,verification_latency_ms_ci95,verification_latency_ms_p95,reconfiguration_latency_ms_count,reconfiguration_latency_ms_mean,reconfiguration_latency_ms_median,reconfiguration_latency_ms_std,reconfiguration_latency_ms_ci95,reconfiguration_latency_ms_p95,repair_latency_ms_count,repair_latency_ms_mean,repair_latency_ms_median,repair_latency_ms_std,repair_latency_ms_ci95,repair_latency_ms_p95,recovery_latency_ms_count,recovery_latency_ms_mean,recovery_latency_ms_median,recovery_latency_ms_std,recovery_latency_ms_ci95,recovery_latency_ms_p95,failure_handling_ms_count,failure_handling_ms_mean,failure_handling_ms_median,failure_handling_ms_std,failure_handling_ms_ci95,failure_handling_ms_p95,service_interruption_ms_count,service_interruption_ms_mean,service_interruption_ms_median,service_interruption_ms_std,service_interruption_ms_ci95,service_interruption_ms_p95,changed_agents_count,changed_agents_mean,changed_agents_median,changed_agents_std,changed_agents_ci95,changed_agents_p95,changed_sessions_count,changed_sessions_mean,changed_sessions_median,changed_sessions_std,changed_sessions_ci95,changed_sessions_p95,changed_routes_count,changed_routes_mean,changed_routes_median,changed_routes_std,changed_routes_ci95,changed_routes_p95,changed_physical_bindings_count,changed_physical_bindings_mean,changed_physical_bindings_median,changed_physical_bindings_std,changed_physical_bindings_ci95,changed_physical_bindings_p95,changed_rules_count,changed_rules_mean,changed_rules_median,changed_rules_std,changed_rules_ci95,changed_rules_p95,rule_change_ratio_count,rule_change_ratio_mean,rule_change_ratio_median,rule_change_ratio_std,rule_change_ratio_ci95,rule_change_ratio_p95,gateway_impact_ratio_count,gateway_impact_ratio_mean,gateway_impact_ratio_median,gateway_impact_ratio_std,gateway_impact_ratio_ci95,gateway_impact_ratio_p95,affected_gateways_count,affected_gateways_mean,affected_gateways_median,affected_gateways_std,affected_gateways_ci95,affected_gateways_p95,collateral_interruption_rate_count,collateral_interruption_rate_mean,collateral_interruption_rate_median,collateral_interruption_rate_std,collateral_interruption_rate_ci95,collateral_interruption_rate_p95,collateral_interruption_ms_count,collateral_interruption_ms_mean,collateral_interruption_ms_median,collateral_interruption_ms_std,collateral_interruption_ms_ci95,collateral_interruption_ms_p95,packet_loss_during_recovery_count,packet_loss_during_recovery_mean,packet_loss_during_recovery_median,packet_loss_during_recovery_std,packet_loss_during_recovery_ci95,packet_loss_during_recovery_p95,throughput_before_count,throughput_before_mean,throughput_before_median,throughput_before_std,throughput_before_ci95,throughput_before_p95,throughput_during_count,throughput_during_mean,throughput_during_median,throughput_during_std,throughput_during_ci95,throughput_during_p95,throughput_after_count,throughput_after_mean,throughput_after_median,throughput_after_std,throughput_after_ci95,throughput_after_p95,latency_before_count,latency_before_mean,latency_before_median,latency_before_std,latency_before_ci95,latency_before_p95,latency_during_count,latency_during_mean,latency_during_median,latency_during_std,latency_during_ci95,latency_during_p95,latency_after_count,latency_after_mean,latency_after_median,latency_after_std,latency_after_ci95,latency_after_p95,control_messages_count,control_messages_mean,control_messages_median,control_messages_std,control_messages_ci95,control_messages_p95,control_bytes_count,control_bytes_mean,control_bytes_median,control_bytes_std,control_bytes_ci95,control_bytes_p95
AGENT_FAILURE:application_different_gateway,AGENT_FAILURE,application_different_gateway,full_rebuild,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.1804256190856298,0.1778043806552887,0.013903505814693419,0.0049753056585663934,0.18538478761911392,30,0.21276573340098062,0.21352991461753845,0.009713122919393342,0.003475796397491149,0.2273809164762497,30,4.358118027448654,4.358213394880295,0.0877270480103775,0.03139272095776668,4.496563598513603,30,0.3711444636185964,0.3706440329551697,0.003348857051197185,0.0011983731052166084,0.3763299435377121,30,0.2893616755803426,0.2922080457210541,0.015657392662037913,0.005602926006439831,0.31356681138277054,30,20.29709133009116,20.190393552184105,1.1983951201359735,0.4288401862003563,22.081335820257664,30,1.3227625439564388,1.3289377093315125,0.04319201919332372,0.0154560655680346,1.382804848253727,30,3.4862944235404334,3.4808553755283356,0.1265084998459589,0.04527048526675674,3.715517185628414,30,24.305712059140205,24.276014417409897,1.2975452431446104,0.46432060204850134,26.2830700725317,30,132.23625806462755,132.24163129916633,1.4013477997560992,0.5014658698799433,134.49285458770532,30,282.2362580647071,282.2416312992573,1.4013477997459054,0.5014658698762955,284.49285458773375,0,,,,,,30,282.2362580647071,282.2416312992573,1.4013477997459054,0.5014658698762955,284.49285458773375,30,7.233333333333333,7.0,1.0063019815944514,0.36010053938786724,9.0,30,4.266666666666667,4.0,1.8370390969378307,0.657375998242356,7.0,30,4.266666666666667,4.0,1.8370390969378307,0.657375998242356,7.0,30,48.666666666666664,49.0,1.971054913305149,0.7053329422244315,51.55,30,65.13333333333334,65.0,5.289764568995704,1.8929179405092857,73.0,30,1.1552147478448072,1.1416927899686522,0.1009914607940568,0.036139330112304954,1.3552521008403362,30,1.0,1.0,0.0,0.0,1.0,30,4.0,4.0,0.0,0.0,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,0.0,0.0,0.0,0.0,0.0,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,10.706190476190477,10.238095238095237,2.4542813590948445,0.878253305055913,14.614285714285714,30,32.0,32.0,0.0,0.0,32.0,30,180414.73333333334,179096.0,12849.260593065492,4598.04885106833,199861.65
AGENT_FAILURE:application_different_gateway,AGENT_FAILURE,application_different_gateway,network_only,30,0,30,0.0,0.0,1.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.17868876457214355,0.17871148884296417,0.004616070743455076,0.0016518397011769251,0.18429066985845566,30,0.2137302110592524,0.2136044204235077,0.01017793308294564,0.0036421265783608517,0.23010466247797012,30,0.0036622087160746255,0.0036694109439849854,8.530347266932033e-05,3.052545566014795e-05,0.0038024038076400757,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.8833333333333333,1.0,0.1268540658512312,0.045394144473603876,1.0,30,3.533333333333333,4.0,0.5074162634049248,0.1815765778944155,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0
AGENT_FAILURE:application_different_gateway,AGENT_FAILURE,application_different_gateway,proposed,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.1774566868940989,0.17745234072208405,0.003856983877250404,0.001380203954689138,0.18273182213306427,30,0.21145641803741455,0.21069496870040894,0.009729905932292317,0.003481802121526292,0.22587720304727554,30,4.330328479409218,4.3178703635931015,0.09314803051643455,0.033332594634006785,4.4892217963933945,30,0.9798619896173477,0.36990828812122345,3.318103020460263,1.1873679166556463,0.42063184082508087,30,0.30051134526729584,0.29322318732738495,0.04636784932683199,0.016592521785946987,0.35258475691080093,30,15.10076435903708,14.598554000258446,3.4319932247744873,1.228123002857071,16.96621384471655,30,1.326060915986697,1.313045620918274,0.06765247547399454,0.024209127433605582,1.4234181493520737,30,3.4853716691335044,3.471897915005684,0.13515545231840317,0.04836475746967417,3.672759048640728,30,19.107007856170338,18.644940108060837,3.4601819982177666,1.2382102258848187,20.944577269256115,30,127.3293481518029,126.30389481773818,4.81174163983986,1.7218596321910973,136.9655448942467,30,277.32934815188247,276.30389481782913,4.81174163983942,1.7218596321909398,286.96554489433765,0,,,,,,30,277.32934815188247,276.30389481782913,4.81174163983942,1.7218596321909398,286.96554489433765,30,7.233333333333333,7.0,1.0063019815944514,0.36010053938786724,9.0,30,4.266666666666667,4.0,1.8370390969378307,0.657375998242356,7.0,30,4.266666666666667,4.0,1.8370390969378307,0.657375998242356,7.0,30,48.666666666666664,49.0,1.971054913305149,0.7053329422244315,51.55,30,17.533333333333335,15.5,8.641253634040382,3.0922328997851065,31.650000000000002,30,0.3131502238179836,0.2724263488910956,0.15994321451203722,0.057234944251978545,0.5983351831298558,30,0.9333333333333333,1.0,0.1124441112772009,0.04023760845402739,1.0,30,3.7333333333333334,4.0,0.4497764451088036,0.16095043381610957,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,0.0,0.0,0.0,0.0,0.0,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,10.706190476190477,10.238095238095237,2.4542813590948445,0.878253305055913,14.614285714285714,30,32.0,32.0,0.0,0.0,32.0,30,114372.13333333333,114572.5,15560.740222029004,5568.339374974378,140460.95
AGENT_FAILURE:application_same_gateway,AGENT_FAILURE,application_same_gateway,full_rebuild,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.17715642849604288,0.1768358051776886,0.004668568597301327,0.0016706258169080965,0.18600989133119583,30,0.2100147306919098,0.20944885909557343,0.009579717778764261,0.00342805798101548,0.2262357622385025,30,4.348219186067581,4.326559603214264,0.0953520101928444,0.03412127863224115,4.46474626660347,30,0.36990481118361157,0.36960840225219727,0.003610495080561504,0.0012919990715981788,0.3737485036253929,30,0.30279718339443207,0.30045025050640106,0.014087471260034685,0.005041136847720126,0.3275066614151001,30,19.245415180921555,18.716901540756226,1.9418107669842004,0.6948680588626542,21.020866185426712,30,1.315206785996755,1.3080928474664688,0.06976838933836808,0.02496629748573239,1.3855678960680962,30,3.408416733145714,3.384185954928398,0.10818816074564884,0.03871463611565271,3.5569051280617714,30,23.19350341955821,22.649969905614853,2.0108264698039124,0.7195650109368545,25.31727608293295,30,131.0701668261686,130.49049340179408,2.0957878082330423,0.7499680354315184,133.38914699843372,30,281.07016682624817,280.49049340188503,2.095787808231048,0.7499680354308047,283.38914699852467,0,,,,,,30,281.07016682624817,280.49049340188503,2.095787808231048,0.7499680354308047,283.38914699852467,30,2.0,2.0,0.0,0.0,2.0,30,4.266666666666667,4.0,1.8370390969378307,0.657375998242356,7.0,30,0.0,0.0,0.0,0.0,0.0,30,45.0,45.0,0.0,0.0,45.0,30,56.46666666666667,56.0,2.738402924098761,0.9799249013371056,61.55,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,4.0,4.0,0.0,0.0,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,0.0,0.0,0.0,0.0,0.0,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,32.0,32.0,0.0,0.0,32.0,30,159739.13333333333,158280.5,7839.052985262131,2805.169084344104,174377.15000000002
AGENT_FAILURE:application_same_gateway,AGENT_FAILURE,application_same_gateway,network_only,30,0,30,0.0,0.0,1.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.17921204368273416,0.17894990742206573,0.005302132108919695,0.0018973436078328,0.18776021897792816,30,0.21473467350006104,0.214332714676857,0.01055755151203117,0.003777971288572667,0.23076646029949188,30,0.0036858022212982178,0.0036526471376419067,0.00013113941462888473,4.692763683923858e-05,0.003857538104057312,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.8833333333333333,1.0,0.1268540658512312,0.045394144473603876,1.0,30,3.533333333333333,4.0,0.5074162634049248,0.1815765778944155,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0
AGENT_FAILURE:application_same_gateway,AGENT_FAILURE,application_same_gateway,proposed,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.17867895464102426,0.17681345343589783,0.011721202473953992,0.0041943784374323745,0.1833103597164154,30,0.21115876734256744,0.2110172063112259,0.011909839844440504,0.00426188145352827,0.2268703654408455,30,4.286510373155276,4.27543930709362,0.06950338105955596,0.024871465491074794,4.406627826392651,30,0.38250299791495007,0.36996975541114807,0.041709013469946994,0.014925378785467503,0.42091794312000275,30,0.3065064549446106,0.30165165662765503,0.016717609476673646,0.00598231972105171,0.33932141959667206,30,13.114168494939804,13.060016557574272,0.6901659449507971,0.24697271156132788,14.460579119622707,30,1.2996898343165715,1.2966226786375046,0.050991802098183665,0.018247182034582775,1.3979487121105194,30,3.4014890591303506,3.3852681517601013,0.07835064119554097,0.028037416870823666,3.5236312076449394,30,17.034946133693058,17.007511109113693,0.7557966166212786,0.27045834579557804,18.484609946608543,30,124.59264732889324,124.50496889641727,0.8669133257307012,0.31022094948429213,126.21860336509485,30,274.5926473289728,274.5049688965082,0.8669133257197363,0.31022094948036844,276.2186033651233,0,,,,,,30,274.5926473289728,274.5049688965082,0.8669133257197363,0.31022094948036844,276.2186033651233,30,2.0,2.0,0.0,0.0,2.0,30,4.266666666666667,4.0,1.8370390969378307,0.657375998242356,7.0,30,0.0,0.0,0.0,0.0,0.0,30,45.0,45.0,0.0,0.0,45.0,30,8.866666666666667,7.5,3.7941273435205853,1.357711032967673,15.55,30,0.1579354759731762,0.13499025341130605,0.06929341860064907,0.02479633139009272,0.27481167608286255,30,0.8833333333333333,1.0,0.1268540658512312,0.045394144473603876,1.0,30,3.533333333333333,4.0,0.5074162634049248,0.1815765778944155,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,0.0,0.0,0.0,0.0,0.0,30,5.325,5.375,2.3572613419989645,0.8435351378191855,8.8875,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,9.644444444444444,9.285714285714285,1.90902697094948,0.6831365281181959,13.0,30,32.0,32.0,0.0,0.0,32.0,30,95836.9,95349.5,6112.373766272862,2187.2848612377647,107495.0
AGENT_FAILURE:network,AGENT_FAILURE,network,full_rebuild,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.18602249523003897,0.18650107085704803,0.006338348368358178,0.002268148834068214,0.1944553107023239,30,0.19693697492281595,0.19699707627296448,0.0021074777028975383,0.0007541512105132194,0.1998119056224823,30,4.150548949837685,4.142371937632561,0.06642595997737813,0.0237702244999163,4.279975034296513,30,0.3689143806695938,0.36913901567459106,0.0034275026408344686,0.0012265160680317963,0.3741670399904251,30,0.30703358352184296,0.3039594739675522,0.012860784736980017,0.004602172713005905,0.33038705587387085,30,18.900498375296593,18.74190755188465,0.9383552212199968,0.3357861034550958,20.583678036928177,30,1.22855839629968,1.2195147573947906,0.054097684120965904,0.019358607642536812,1.3439511880278587,30,3.3685618390639624,3.3665988594293594,0.08135613806926435,0.029112920114533376,3.515264391899109,30,22.637181480725605,22.494371980428696,1.0526483718773416,0.3766853821535604,24.4377464056015,30,130.20484497141828,130.06001748135532,1.1825098067713624,0.4231556998179703,132.22498968234504,30,280.20484497149783,280.06001748144627,1.1825098067684432,0.4231556998169257,282.224989682436,0,,,,,,30,280.20484497149783,280.06001748144627,1.1825098067684432,0.4231556998169257,282.224989682436,30,2.0,2.0,0.0,0.0,2.0,30,8.666666666666666,10.0,3.3970913860326855,1.215633540263907,13.0,30,0.0,0.0,0.0,0.0,0.0,30,45.0,45.0,0.0,0.0,45.0,30,56.46666666666667,56.0,2.738402924098761,0.9799249013371056,61.55,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,4.0,4.0,0.0,0.0,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,0.0,0.0,0.0,0.0,0.0,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,32.0,32.0,0.0,0.0,32.0,30,140886.33333333334,139594.0,6990.988886359025,2501.693244053482,153917.3
AGENT_FAILURE:network,AGENT_FAILURE,network,network_only,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.18608284493287405,0.18743611872196198,0.006432386578061279,0.0023017999752331167,0.1958029344677925,30,0.19792007903258005,0.19774213433265686,0.0018573319056567996,0.0006646376865814936,0.200594961643219,30,4.970790073275566,4.067819565534592,4.924067256531275,1.7620548379021743,4.188384488224983,30,0.37096676727135974,0.369928777217865,0.004994616601698318,0.0017873005968421102,0.38099847733974457,30,0.30906883378823596,0.307522714138031,0.014326054963172593,0.005126512929413802,0.33466387540102005,30,15.120205904046694,14.233289286494255,5.212114630701373,1.8651312669513955,16.283126547932625,30,1.2451327095429103,1.23540498316288,0.06739581853708125,0.024117283928265693,1.3499204069375992,30,3.3901051928599677,3.389274701476097,0.07739876427491658,0.02769679208937924,3.5283297300338745,30,18.886050209403038,17.846273258328438,5.2112792197770075,1.8648323189914622,20.00302840024233,30,127.01412203403304,125.02093277868198,7.216700904785848,2.582463252528512,141.71400796618062,30,277.01412203411263,275.0209327787161,7.2167009047877935,2.582463252529208,291.7140079662204,0,,,,,,30,277.01412203411263,275.0209327787161,7.2167009047877935,2.582463252529208,291.7140079662204,30,2.0,2.0,0.0,0.0,2.0,30,8.666666666666666,10.0,3.3970913860326855,1.215633540263907,13.0,30,0.0,0.0,0.0,0.0,0.0,30,45.0,45.0,0.0,0.0,45.0,30,17.066666666666666,17.5,6.882929074433221,2.4630245369731503,26.55,30,0.3027563406477977,0.3043280871670702,0.12088741319157893,0.04325900524067058,0.4689285714285715,30,0.9166666666666666,1.0,0.11986582537134603,0.042893434734176034,1.0,30,3.6666666666666665,4.0,0.47946330148538413,0.17157373893670413,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,0.0,0.0,0.0,0.0,0.0,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,32.0,32.0,0.0,0.0,32.0,30,94021.13333333333,94599.5,9154.27894195531,3275.816648479586,108397.20000000001
AGENT_FAILURE:network,AGENT_FAILURE,network,proposed,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.18655856450398764,0.1878887414932251,0.006829837951930836,0.0024440261227799036,0.19786860793828964,30,0.1969402035077413,0.19714049994945526,0.0015274275898699648,0.000546582943339319,0.19898619502782822,30,4.149994005759557,4.138823598623276,0.056310802181597105,0.020150561769566942,4.260462895035744,30,0.37060144046942395,0.3706701099872589,0.002965618268531463,0.001061232868114409,0.37457533180713654,30,0.3096476197242737,0.3104656934738159,0.013090055022617994,0.0046842160310494926,0.3325054422020912,30,14.121370886762938,14.117475599050522,1.0192973009102206,0.36475085468160384,15.733703039586544,30,1.231979454557101,1.2280698865652084,0.05442081579432775,0.019474238826812665,1.3378139585256577,30,3.382291396458944,3.3769160509109497,0.09563054432705854,0.03422095079209274,3.5519614815711975,30,17.856696868936222,17.801128327846527,1.001203249517565,0.35827598154671914,19.519253633916378,30,125.15765291941155,125.04615113130058,1.0274088763936322,0.3676535446894618,126.93178243926013,30,275.1576529194911,275.0461511313915,1.0274088763856997,0.36765354468662315,276.9317824393511,0,,,,,,30,275.1576529194911,275.0461511313915,1.0274088763856997,0.36765354468662315,276.9317824393511,30,2.0,2.0,0.0,0.0,2.0,30,8.666666666666666,10.0,3.3970913860326855,1.215633540263907,13.0,30,0.0,0.0,0.0,0.0,0.0,30,45.0,45.0,0.0,0.0,45.0,30,17.066666666666666,17.5,6.882929074433221,2.4630245369731503,26.55,30,0.3027563406477977,0.3043280871670702,0.12088741319157893,0.04325900524067058,0.4689285714285715,30,0.9166666666666666,1.0,0.11986582537134603,0.042893434734176034,1.0,30,3.6666666666666665,4.0,0.47946330148538413,0.17157373893670413,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,0.0,0.0,0.0,0.0,0.0,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,32.0,32.0,0.0,0.0,32.0,30,94021.13333333333,94599.5,9154.27894195531,3275.816648479586,108397.20000000001
AGENT_FAILURE:physical,AGENT_FAILURE,physical,full_rebuild,30,30,0,1.0,1.0,0.0,0.0,0.0,0.0,30,150.00000000007958,150.00000000009095,3.468910297549026e-11,1.241333607687312e-11,150.00000000009095,30,0.19612411657969156,0.19310414791107178,0.022202566379545017,0.007945086341180642,0.19973386079072952,30,0.1962574819723765,0.19519589841365814,0.0048239619942537495,0.0017262326298562514,0.20035337656736374,30,4.161181052525838,4.142658784985542,0.09889536806421917,0.035389252962078586,4.315248504281044,30,0.3708494206269582,0.37007033824920654,0.004297131391808581,0.0015377087199599918,0.37765949964523315,30,0.3192840764919917,0.3093276172876358,0.040284368391059276,0.014415576091319089,0.3434833139181137,30,18.89369363586108,18.72749999165535,0.9303830193095827,0.332933287639807,20.642562955617905,30,1.2002525230248768,1.181112602353096,0.08780258174506353,0.0314197503575889,1.268332451581955,30,3.356379270553589,3.3447276800870895,0.07361169727514219,0.026341607567973473,3.4890659153461456,30,22.50153323014577,22.329198196530342,1.058441940639659,0.378758584109285,24.297368712723255,30,130.0151993830203,129.9475565551802,1.1751156580093756,0.42050973766525074,131.8802082910736,30,280.01519938309985,279.94755655527115,1.175115658003067,0.42050973766299327,281.8802082911134,0,,,,,,30,280.01519938309985,279.94755655527115,1.175115658003067,0.42050973766299327,281.8802082911134,30,2.0,2.0,0.0,0.0,2.0,30,11.866666666666667,12.0,2.800656737431337,1.002202142334378,15.55,30,0.0,0.0,0.0,0.0,0.0,30,56.86666666666667,57.0,2.800656737431337,1.002202142334378,60.55,30,56.46666666666667,56.0,2.738402924098761,0.9799249013371056,61.55,30,1.0,1.0,0.0,0.0,1.0,30,1.0,1.0,0.0,0.0,1.0,30,4.0,4.0,0.0,0.0,4.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.001,0.001,0.0,0.0,0.001,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,0.0,0.0,0.0,0.0,0.0,30,1.2833333333333334,1.25,0.20482681218167154,0.07329633340366662,1.5,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,13.0,13.0,0.0,0.0,13.0,30,32.0,32.0,0.0,0.0,32.0,30,142330.13333333333,140962.0,7049.102621945055,2522.48897725597,155534.35
