run_id,seed,method,logical_time_s,phase,application_demand_mbps,actual_throughput_mbps,network_capacity_mbps,physical_capacity_mbps,latency_ms,qos_satisfied,failure_detected,action_selected,activated,recovered
compound:seed=0:method=proposed,0,proposed,0.0,STABLE,19.0,19.0,42.75,42.75,10.0,True,False,,False,False
compound:seed=0:method=proposed,0,proposed,2.0,DEMAND_INCREASE,23.75,23.75,42.75,42.75,10.0,True,False,,False,False
compound:seed=0:method=proposed,0,proposed,4.0,NETWORK_UTILIZATION_RISE,23.75,23.75,26.125000000000004,42.75,10.0,True,False,,False,False
compound:seed=0:method=proposed,0,proposed,6.0,PHYSICAL_CAPACITY_DROP,23.75,7.6000000000000005,26.125000000000004,7.6000000000000005,58.449999999999996,False,False,,False,False
compound:seed=0:method=proposed,0,proposed,8.0,ROUTE_DEGRADED,23.75,7.6000000000000005,15.4375,7.6000000000000005,58.449999999999996,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=0:method=proposed,0,proposed,8.2,RECOVERY_DECISION,23.75,7.6000000000000005,15.4375,7.6000000000000005,58.449999999999996,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=0:method=proposed,0,proposed,8.4,ACTIVATION_RESULT,19.0,19.0,26.125000000000004,19.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=0:method=proposed,0,proposed,8.6,STABLE_HEALTH_WINDOW,19.0,19.0,26.125000000000004,19.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=0:method=full_rebuild,0,full_rebuild,0.0,STABLE,19.0,19.0,42.75,42.75,10.0,True,False,,False,False
compound:seed=0:method=full_rebuild,0,full_rebuild,2.0,DEMAND_INCREASE,23.75,23.75,42.75,42.75,10.0,True,False,,False,False
compound:seed=0:method=full_rebuild,0,full_rebuild,4.0,NETWORK_UTILIZATION_RISE,23.75,23.75,26.125000000000004,42.75,10.0,True,False,,False,False
compound:seed=0:method=full_rebuild,0,full_rebuild,6.0,PHYSICAL_CAPACITY_DROP,23.75,7.6000000000000005,26.125000000000004,7.6000000000000005,58.449999999999996,False,False,,False,False
compound:seed=0:method=full_rebuild,0,full_rebuild,8.0,ROUTE_DEGRADED,23.75,7.6000000000000005,15.4375,7.6000000000000005,58.449999999999996,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=0:method=full_rebuild,0,full_rebuild,8.2,RECOVERY_DECISION,23.75,7.6000000000000005,15.4375,7.6000000000000005,58.449999999999996,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=0:method=full_rebuild,0,full_rebuild,8.4,ACTIVATION_RESULT,19.0,19.0,26.125000000000004,19.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=0:method=full_rebuild,0,full_rebuild,8.6,STABLE_HEALTH_WINDOW,19.0,19.0,26.125000000000004,19.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=0:method=network_only,0,network_only,0.0,STABLE,19.0,19.0,42.75,42.75,10.0,True,False,,False,False
compound:seed=0:method=network_only,0,network_only,2.0,DEMAND_INCREASE,23.75,23.75,42.75,42.75,10.0,True,False,,False,False
compound:seed=0:method=network_only,0,network_only,4.0,NETWORK_UTILIZATION_RISE,23.75,23.75,26.125000000000004,42.75,10.0,True,False,,False,False
compound:seed=0:method=network_only,0,network_only,6.0,PHYSICAL_CAPACITY_DROP,23.75,7.6000000000000005,26.125000000000004,7.6000000000000005,58.449999999999996,False,False,,False,False
compound:seed=0:method=network_only,0,network_only,8.0,ROUTE_DEGRADED,23.75,7.6000000000000005,15.4375,7.6000000000000005,58.449999999999996,False,True,KEEP_ROUTE,False,False
compound:seed=0:method=network_only,0,network_only,8.2,RECOVERY_DECISION,23.75,7.6000000000000005,15.4375,7.6000000000000005,58.449999999999996,False,True,KEEP_ROUTE,False,False
compound:seed=0:method=network_only,0,network_only,8.4,ACTIVATION_RESULT,19.0,0.0,26.125000000000004,7.6000000000000005,67.0,False,True,KEEP_ROUTE,False,False
compound:seed=0:method=network_only,0,network_only,8.6,STABLE_HEALTH_WINDOW,19.0,0.0,26.125000000000004,7.6000000000000005,67.0,False,True,KEEP_ROUTE,False,False
compound:seed=1:method=proposed,1,proposed,0.0,STABLE,20.5,20.5,46.125,46.125,10.0,True,False,,False,False
compound:seed=1:method=proposed,1,proposed,2.0,DEMAND_INCREASE,25.625,25.625,46.125,46.125,10.0,True,False,,False,False
compound:seed=1:method=proposed,1,proposed,4.0,NETWORK_UTILIZATION_RISE,25.625,25.625,28.187500000000004,46.125,10.0,True,False,,False,False
compound:seed=1:method=proposed,1,proposed,6.0,PHYSICAL_CAPACITY_DROP,25.625,8.200000000000001,28.187500000000004,8.200000000000001,62.27499999999999,False,False,,False,False
