method,sample_count,x,mean_percent,ci95_percent
adjacent,30,0.6,100.0,0.0
independent,30,0.6,100.0,0.0
no_verification,30,0.6,100.0,0.0
proposed,30,0.6,100.0,0.0
adjacent,30,0.8,100.0,0.0
independent,30,0.8,100.0,0.0
no_verification,30,0.8,100.0,0.0
proposed,30,0.8,100.0,0.0
adjacent,30,1.0,100.0,0.0
independent,30,1.0,100.0,0.0
no_verification,30,1.0,100.0,0.0
proposed,30,1.0,100.0,0.0
adjacent,30,1.1,100.0,0.0
independent,30,1.1,0.0,0.0
no_verification,30,1.1,0.0,0.0
proposed,30,1.1,100.0,0.0
adjacent,30,1.2,100.0,0.0
independent,30,1.2,0.0,0.0
no_verification,30,1.2,0.0,0.0
proposed,30,1.2,100.0,0.0
adjacent,30,1.4,0.0,0.0
independent,30,1.4,0.0,0.0
no_verification,30,1.4,0.0,0.0
proposed,30,1.4,100.0,0.0
