method,sample_count,x,mean_percent,ci95_percent
adjacent,30,40.0,100.0,0.0
independent,30,40.0,100.0,0.0
no_verification,30,40.0,100.0,0.0
proposed,30,40.0,100.0,0.0
adjacent,30,60.0,100.0,0.0
independent,30,60.0,100.0,0.0
no_verification,30,60.0,100.0,0.0
proposed,30,60.0,100.0,0.0
adjacent,30,75.0,100.0,0.0
independent,30,75.0,100.0,0.0
no_verification,30,75.0,100.0,0.0
proposed,30,75.0,100.0,0.0
adjacent,30,85.0,100.0,0.0
independent,30,85.0,0.0,0.0
no_verification,30,85.0,0.0,0.0
proposed,30,85.0,100.0,0.0
adjacent,30,95.0,100.0,0.0
independent,30,95.0,0.0,0.0
no_verification,30,95.0,0.0,0.0
proposed,30,95.0,100.0,0.0
adjacent,30,99.0,100.0,0.0
independent,30,99.0,0.0,0.0
no_verification,30,99.0,0.0,0.0
proposed,30,99.0,100.0,0.0
