method,sample_count,x,mean_percent,ci95_percent
adjacent,30,0.0,100.0,0.0
independent,30,0.0,100.0,0.0
no_verification,30,0.0,100.0,0.0
proposed,30,0.0,100.0,0.0
adjacent,30,10.0,100.0,0.0
independent,30,10.0,100.0,0.0
no_verification,30,10.0,100.0,0.0
proposed,30,10.0,100.0,0.0
adjacent,30,20.0,100.0,0.0
independent,30,20.0,46.666666666666664,18.15765778944155
no_verification,30,20.0,46.666666666666664,18.15765778944155
proposed,30,20.0,100.0,0.0
adjacent,30,30.0,100.0,0.0
independent,30,30.0,0.0,0.0
no_verification,30,30.0,0.0,0.0
proposed,30,30.0,100.0,0.0
adjacent,30,40.0,100.0,0.0
independent,30,40.0,0.0,0.0
no_verification,30,40.0,0.0,0.0
proposed,30,40.0,100.0,0.0
adjacent,30,50.0,100.0,0.0
independent,30,50.0,0.0,0.0
no_verification,30,50.0,0.0,0.0
proposed,30,50.0,100.0,0.0
