method,sample_count,x,mean_ms,ci95_ms,num_raw_combinations,solver
adjacent,30,1,0.7467598964770635,0.0016765251674846612,1,Adjacent-Layer
proposed,30,1,0.4791383941968282,0.0015223257376730675,1,Proposed Exact Search
adjacent,30,2,1.2112402667601903,0.002854393558097075,16,Adjacent-Layer
proposed,30,2,2.872977281610171,0.005342897967547786,16,Proposed Exact Search
adjacent,30,3,2.0192147543032966,0.005499424133395015,81,Adjacent-Layer
proposed,30,3,13.144599025448164,0.02248823784330207,81,Proposed Exact Search
adjacent,30,4,3.112576653560003,0.005481276889659561,256,Adjacent-Layer
proposed,30,4,41.38877963026365,0.07588275910770088,256,Proposed Exact Search
adjacent,30,5,4.506065448125203,0.010375681230967748,625,Adjacent-Layer
proposed,30,5,100.92547225455444,0.140842153498643,625,Proposed Exact Search
