method,sample_count,x,mean_ms,ci95_ms
full_rebuild,30,10,19.012191891670227,0.274995062339034
proposed,30,10,18.01990307867527,0.7348684675669684
full_rebuild,30,20,30.453996484478314,1.087516881074783
proposed,30,20,26.150838534037273,0.35408814892557394
full_rebuild,30,40,60.81583773096403,0.8449089268533222
proposed,30,40,53.680324802796044,2.7255734262068763
full_rebuild,30,60,102.33298341433208,6.170511847992254
proposed,30,60,84.21484654148419,4.660202117179561
full_rebuild,30,80,135.05523999532065,5.354911190017235
proposed,30,80,112.57708420356114,1.3616479561980288
