panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
a,5000,730.2489233154375,762.3000369653124,30,,exp1,746.9743171775001,cspf,CSPF,formation_latency_ms,paper,,755.3814360125002,913.9369725512499,150,task_size,task_size,8.0
a,5000,1078.7313941392083,1107.6430561397708,30,,exp1,1093.6085199683332,cspf,CSPF,formation_latency_ms,paper,,1095.6966528374996,1283.5696340287498,150,task_size,task_size,12.0
a,5000,1439.7002076854785,1495.960269041541,30,,exp1,1468.1924801949997,cspf,CSPF,formation_latency_ms,paper,,1484.6981444749993,1757.5712496112492,150,task_size,task_size,16.0
a,5000,1771.4914803820827,1836.7880055842286,30,,exp1,1804.0429017841661,cspf,CSPF,formation_latency_ms,paper,,1822.2891489374992,2135.724617329998,150,task_size,task_size,20.0
a,5000,2120.9776704578953,2201.616977072083,30,,exp1,2161.6486243333325,cspf,CSPF,formation_latency_ms,paper,,2171.6560412,2515.0436731662517,150,task_size,task_size,24.0
a,5000,2531.221613354291,2599.6249535873126,30,,exp1,2564.7007984633333,cspf,CSPF,formation_latency_ms,paper,,2568.5888897375,2969.2496821249993,150,task_size,task_size,28.0
a,5000,2850.0347587604792,2929.862089227667,30,,exp1,2889.8399427633335,cspf,CSPF,formation_latency_ms,paper,,2905.5117507625027,3352.479030636249,150,task_size,task_size,32.0
a,5000,91.65256075727083,95.14987190439582,30,,exp1,93.44510796750001,proposed,Proposed,formation_latency_ms,paper,,95.1086434125,108.26783470125001,150,task_size,task_size,8.0
a,5000,98.95728338775001,101.27918461964585,30,,exp1,100.11188111416665,proposed,Proposed,formation_latency_ms,paper,,101.30072470000002,111.6668477025,150,task_size,task_size,12.0
a,5000,101.51399425281251,104.29525916897917,30,,exp1,102.87812062416668,proposed,Proposed,formation_latency_ms,paper,,103.47565571250001,115.89323776000002,150,task_size,task_size,16.0
a,5000,105.90735776620835,108.80334173189587,30,,exp1,107.36826983583335,proposed,Proposed,formation_latency_ms,paper,,108.78663403750002,119.77263769000002,150,task_size,task_size,20.0
a,5000,111.06918950577085,113.63529057897917,30,,exp1,112.36685880833335,proposed,Proposed,formation_latency_ms,paper,,113.37246928750002,124.15333597250002,150,task_size,task_size,24.0
a,5000,115.21405681427085,117.57982196520835,30,,exp1,116.37416423416667,proposed,Proposed,formation_latency_ms,paper,,117.16024085000001,128.306716955,150,task_size,task_size,28.0
a,5000,117.95054108112504,120.55110569702086,30,,exp1,119.29939021000003,proposed,Proposed,formation_latency_ms,paper,,120.09033106250003,129.28457729000002,150,task_size,task_size,32.0
a,5000,1309.2282577041458,1454.0828131861456,30,,exp1,1380.7867905108333,srd,SRD,formation_latency_ms,paper,,1384.2217073375,1811.30535279875,150,task_size,task_size,8.0
a,5000,2104.589507431729,2330.0610659363538,30,,exp1,2212.390519968333,srd,SRD,formation_latency_ms,paper,,2210.490727525,2927.2021458700005,150,task_size,task_size,12.0
a,5000,2812.3194850386876,3071.6347128759794,30,,exp1,2938.528146861667,srd,SRD,formation_latency_ms,paper,,2936.4806464625008,3730.0610514337513,150,task_size,task_size,16.0
a,5000,3421.2709591059374,3714.686975137792,30,,exp1,3560.4412751175005,srd,SRD,formation_latency_ms,paper,,3535.5351568624997,4481.061496276252,150,task_size,task_size,20.0
a,5000,4166.102179352666,4487.0232131620005,30,,exp1,4325.998084333334,srd,SRD,formation_latency_ms,paper,,4292.317014512499,5391.124568097497,150,task_size,task_size,24.0
a,5000,4910.437707991936,5256.946169800582,30,,exp1,5074.700598463333,srd,SRD,formation_latency_ms,paper,,5065.467247887504,6326.743090249993,150,task_size,task_size,28.0
a,5000,5604.576710961437,6037.644110999394,30,,exp1,5820.534402763332,srd,SRD,formation_latency_ms,paper,,5821.632280774993,7007.139924981237,150,task_size,task_size,32.0
b,5000,100.0,100.0,30,150,exp1,100.0,cspf,CSPF,success_rate_percent,paper,150,100.0,100.0,150,task_size,task_size,8.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,cspf,CSPF,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,12.0
b,5000,100.0,100.0,30,150,exp1,100.0,cspf,CSPF,success_rate_percent,paper,150,100.0,100.0,150,task_size,task_size,16.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,cspf,CSPF,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,20.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,cspf,CSPF,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,24.0
b,5000,92.0,98.66666666666667,30,150,exp1,96.0,cspf,CSPF,success_rate_percent,paper,144,100.0,100.0,150,task_size,task_size,28.0
b,5000,94.66666666666667,100.0,30,150,exp1,98.0,cspf,CSPF,success_rate_percent,paper,147,100.0,100.0,150,task_size,task_size,32.0
b,5000,100.0,100.0,30,150,exp1,100.0,proposed,Proposed,success_rate_percent,paper,150,100.0,100.0,150,task_size,task_size,8.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,proposed,Proposed,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,12.0
b,5000,100.0,100.0,30,150,exp1,100.0,proposed,Proposed,success_rate_percent,paper,150,100.0,100.0,150,task_size,task_size,16.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,proposed,Proposed,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,20.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,proposed,Proposed,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,24.0
b,5000,100.0,100.0,30,150,exp1,100.0,proposed,Proposed,success_rate_percent,paper,150,100.0,100.0,150,task_size,task_size,28.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,proposed,Proposed,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,32.0
b,5000,98.0,100.0,30,150,exp1,99.33333333333333,srd,SRD,success_rate_percent,paper,149,100.0,100.0,150,task_size,task_size,8.0
b,5000,96.0,100.0,30,150,exp1,98.0,srd,SRD,success_rate_percent,paper,147,100.0,100.0,150,task_size,task_size,12.0
b,5000,90.66666666666667,98.0,30,150,exp1,94.66666666666667,srd,SRD,success_rate_percent,paper,142,100.0,100.0,150,task_size,task_size,16.0
b,5000,92.0,99.33333333333333,30,150,exp1,96.0,srd,SRD,success_rate_percent,paper,144,100.0,100.0,150,task_size,task_size,20.0
b,5000,92.66666666666667,99.33333333333333,30,150,exp1,96.66666666666667,srd,SRD,success_rate_percent,paper,145,100.0,100.0,150,task_size,task_size,24.0
b,5000,88.66666666666667,97.33333333333333,30,150,exp1,93.33333333333333,srd,SRD,success_rate_percent,paper,140,100.0,100.0,150,task_size,task_size,28.0
