panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
a,5000,100.0,100.0,30,150,exp2,100.0,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,150,100.0,100.0,150,conflict_density,conflict_density_percent,0.0
a,5000,100.0,100.0,30,128,exp2,100.0,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,10.0
a,5000,100.0,100.0,30,128,exp2,100.0,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,20.0
a,5000,100.0,100.0,30,127,exp2,100.0,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,127,100.0,100.0,127,conflict_density,conflict_density_percent,30.0
a,5000,100.0,100.0,30,127,exp2,100.0,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,127,100.0,100.0,127,conflict_density,conflict_density_percent,40.0
a,5000,33.07692307692308,41.732283464566926,30,128,exp2,37.5,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,48,0.0,100.0,128,conflict_density,conflict_density_percent,50.0
a,5000,0.0,0.0,30,128,exp2,0.0,adjacent_layer,Adjacent-Layer,qos_satisfaction_rate_percent,paper,0,0.0,0.0,128,conflict_density,conflict_density_percent,60.0
a,5000,100.0,100.0,30,150,exp2,100.0,independent,Independent,qos_satisfaction_rate_percent,paper,150,100.0,100.0,150,conflict_density,conflict_density_percent,0.0
a,5000,100.0,100.0,30,128,exp2,100.0,independent,Independent,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,10.0
a,5000,100.0,100.0,30,128,exp2,100.0,independent,Independent,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,20.0
a,5000,100.0,100.0,30,127,exp2,100.0,independent,Independent,qos_satisfaction_rate_percent,paper,127,100.0,100.0,127,conflict_density,conflict_density_percent,30.0
a,5000,3.9682539682539684,15.909090909090908,30,127,exp2,9.448818897637794,independent,Independent,qos_satisfaction_rate_percent,paper,12,0.0,100.0,127,conflict_density,conflict_density_percent,40.0
a,5000,0.0,0.0,30,128,exp2,0.0,independent,Independent,qos_satisfaction_rate_percent,paper,0,0.0,0.0,128,conflict_density,conflict_density_percent,50.0
a,5000,0.0,0.0,30,128,exp2,0.0,independent,Independent,qos_satisfaction_rate_percent,paper,0,0.0,0.0,128,conflict_density,conflict_density_percent,60.0
a,5000,100.0,100.0,30,150,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,150,100.0,100.0,150,conflict_density,conflict_density_percent,0.0
a,5000,100.0,100.0,30,128,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,10.0
a,5000,100.0,100.0,30,128,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,20.0
a,5000,100.0,100.0,30,127,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,127,100.0,100.0,127,conflict_density,conflict_density_percent,30.0
a,5000,100.0,100.0,30,127,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,127,100.0,100.0,127,conflict_density,conflict_density_percent,40.0
a,5000,100.0,100.0,30,128,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,50.0
a,5000,100.0,100.0,30,128,exp2,100.0,proposed,Proposed,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,60.0
a,5000,100.0,100.0,30,150,exp2,100.0,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,150,100.0,100.0,150,conflict_density,conflict_density_percent,0.0
a,5000,100.0,100.0,30,128,exp2,100.0,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,10.0
a,5000,100.0,100.0,30,128,exp2,100.0,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,20.0
a,5000,100.0,100.0,30,127,exp2,100.0,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,127,100.0,100.0,127,conflict_density,conflict_density_percent,30.0
a,5000,90.83969465648855,97.63779527559055,30,127,exp2,94.48818897637796,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,120,100.0,100.0,127,conflict_density,conflict_density_percent,40.0
a,5000,77.16535433070867,82.67716535433071,30,128,exp2,79.6875,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,102,100.0,100.0,128,conflict_density,conflict_density_percent,50.0
a,5000,56.79732283464567,63.77952755905512,30,128,exp2,60.15625,sanet_dw,SANet-DW*,qos_satisfaction_rate_percent,paper,77,100.0,100.0,128,conflict_density,conflict_density_percent,60.0
b,5000,33.07692307692308,41.732283464566926,30,128,exp2,37.5,adjacent_layer,Adjacent-Layer,feasible_solution_rate_percent,paper,48,0.0,100.0,128,conflict_density,conflict_density_percent,50.0
b,5000,100.0,100.0,22,22,exp2,100.0,adjacent_layer,Adjacent-Layer,safe_rejection_rate_percent,paper,22,100.0,100.0,22,conflict_density,conflict_density_percent,50.0
b,5000,0.0,0.0,30,128,exp2,0.0,independent,Independent,feasible_solution_rate_percent,paper,0,0.0,0.0,128,conflict_density,conflict_density_percent,50.0
b,5000,100.0,100.0,22,22,exp2,100.0,independent,Independent,safe_rejection_rate_percent,paper,22,100.0,100.0,22,conflict_density,conflict_density_percent,50.0
b,5000,100.0,100.0,30,128,exp2,100.0,proposed,Proposed,feasible_solution_rate_percent,paper,128,100.0,100.0,128,conflict_density,conflict_density_percent,50.0
b,5000,100.0,100.0,22,22,exp2,100.0,proposed,Proposed,safe_rejection_rate_percent,paper,22,100.0,100.0,22,conflict_density,conflict_density_percent,50.0
b,5000,77.16535433070867,82.67716535433071,30,128,exp2,79.6875,sanet_dw,SANet-DW*,feasible_solution_rate_percent,paper,102,100.0,100.0,128,conflict_density,conflict_density_percent,50.0
b,5000,100.0,100.0,22,22,exp2,100.0,sanet_dw,SANet-DW*,safe_rejection_rate_percent,paper,22,100.0,100.0,22,conflict_density,conflict_density_percent,50.0
