panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
a,5000,16.465354373250904,17.093535704430124,22,,exp3,16.787486184136906,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.66685087291667,17.906386460625,42,affected_agents,affected_agent_count,3.0
a,5000,16.589937992654548,17.16432898518217,21,,exp3,16.888541711890245,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.746872,17.824253433333332,41,affected_agents,affected_agent_count,4.0
a,5000,16.254216183742077,16.862205329456838,27,,exp3,16.553681609808333,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.564863651875,17.65973101675,50,affected_agents,affected_agent_count,5.0
a,5000,16.48368270584295,17.041052849167762,23,,exp3,16.752646773431817,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.686150733333335,17.898324760833336,55,affected_agents,affected_agent_count,6.0
a,5000,16.28223217495493,16.880664464935627,21,,exp3,16.570154397564103,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.580782016666667,17.634582033125,52,affected_agents,affected_agent_count,7.0
a,5000,16.62809001802996,17.30064561181843,21,,exp3,16.99111431586538,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.96849361666667,18.235539145625,52,affected_agents,affected_agent_count,8.0
a,5000,16.43679519738265,16.98750312477218,28,,exp3,16.69412476754065,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.680117583333335,17.9729996625,82,affected_agents,affected_agent_count,9.0
a,5000,16.440157047852363,16.96661585214552,22,,exp3,16.692838128359785,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.6614133,17.743878085,63,affected_agents,affected_agent_count,10.0
a,5000,16.458046241512765,17.112580693131594,15,,exp3,16.787993101752136,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.774150733333332,17.775224525,39,affected_agents,affected_agent_count,11.0
a,5000,16.40115003720777,16.988303009251027,23,,exp3,16.699364792537203,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.625558050000002,17.708333452083334,56,affected_agents,affected_agent_count,12.0
a,5000,16.461230146848887,16.970914367238425,28,,exp3,16.689859894754903,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.613329193749998,18.0063254175,85,affected_agents,affected_agent_count,13.0
a,5000,16.608270147044003,17.1615644480594,24,,exp3,16.896094706496214,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.770150455,18.07584366,88,affected_agents,affected_agent_count,14.0
a,5000,16.279586366373934,17.14614323339763,15,,exp3,16.721097442777776,full_rebuild,Full-Rebuild,reconfiguration_latency_ms,paper,,16.7939028,17.810450625,27,affected_agents,affected_agent_count,15.0
a,5000,6.704311734619049,6.95956434918886,14,,exp3,6.832711618166665,local_only,Local-Only,reconfiguration_latency_ms,paper,,6.852574837500001,7.3200987345833335,20,affected_agents,affected_agent_count,3.0
a,5000,6.811640509369318,7.251830078869319,11,,exp3,7.028492044551282,local_only,Local-Only,reconfiguration_latency_ms,paper,,7.040029625,7.569131994999999,13,affected_agents,affected_agent_count,5.0
a,5000,11.4483391962967,12.18272416146454,22,,exp3,11.831127889841271,netren,NetRen*,reconfiguration_latency_ms,paper,,12.04980606875,13.645880367916668,42,affected_agents,affected_agent_count,3.0
a,5000,12.091219768498203,12.66927482774328,21,,exp3,12.407000365365853,netren,NetRen*,reconfiguration_latency_ms,paper,,12.496398110000001,14.185413300000002,41,affected_agents,affected_agent_count,4.0
a,5000,11.88884188571402,12.671569129554644,27,,exp3,12.246959390475002,netren,NetRen*,reconfiguration_latency_ms,paper,,12.519808495,13.863274358125,50,affected_agents,affected_agent_count,5.0
a,5000,12.757784633208098,13.403612208776932,23,,exp3,13.094903539848486,netren,NetRen*,reconfiguration_latency_ms,paper,,13.077939025000001,14.44323493125,55,affected_agents,affected_agent_count,6.0
a,5000,12.534822813657646,13.35731588348542,21,,exp3,12.931612679919873,netren,NetRen*,reconfiguration_latency_ms,paper,,13.120928647500001,14.142582033125,52,affected_agents,affected_agent_count,7.0
a,5000,13.294944981139441,14.052336992584374,21,,exp3,13.701295776161858,netren,NetRen*,reconfiguration_latency_ms,paper,,13.68762985,15.192202316875,52,affected_agents,affected_agent_count,8.0
