panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
a,5000,3.7294052702702696,4.187490202702703,30,,exp4,3.9520805369127525,cspf,CSPF,recovery_latency_ms,paper,,3.348,7.006399999999999,149,failure_type,failure_type_index,1.0
a,5000,4.702826241134751,5.871396678245767,22,,exp4,5.251666666666666,cspf,CSPF,recovery_latency_ms,paper,,4.516,8.0003,48,failure_type,failure_type_index,2.0
a,5000,16.13208854166667,16.552666666666664,30,,exp4,16.342081632653063,full_rebuild,Full-Rebuild,recovery_latency_ms,paper,,16.388,17.588,147,failure_type,failure_type_index,0.0
a,5000,15.032990771812083,15.448402684563758,30,,exp4,15.236657718120803,full_rebuild,Full-Rebuild,recovery_latency_ms,paper,,15.138,16.268,149,failure_type,failure_type_index,1.0
a,5000,15.008325,15.411675000000002,30,,exp4,15.207333333333336,full_rebuild,Full-Rebuild,recovery_latency_ms,paper,,15.113,16.2155,150,failure_type,failure_type_index,2.0
a,5000,4.091459060402684,4.549543523625667,30,,exp4,4.3120805369127515,netkeeper,NetKeeper*,recovery_latency_ms,paper,,3.708,7.3664,149,failure_type,failure_type_index,1.0
a,5000,4.062260666666667,4.50307,30,,exp4,4.276773333333334,netkeeper,NetKeeper*,recovery_latency_ms,paper,,3.708,7.161199999999999,150,failure_type,failure_type_index,2.0
a,5000,6.8291626139817625,7.204453401360545,30,,exp4,7.006789115646259,proposed,Proposed,recovery_latency_ms,paper,,6.859999999999999,9.125999999999998,147,failure_type,failure_type_index,0.0
a,5000,4.412162134953745,4.855163429620895,30,,exp4,4.629127516778523,proposed,Proposed,recovery_latency_ms,paper,,4.058,7.556399999999998,149,failure_type,failure_type_index,1.0
a,5000,5.851581666666667,6.326547333333333,30,,exp4,6.094373333333333,proposed,Proposed,recovery_latency_ms,paper,,6.094,7.742799999999997,150,failure_type,failure_type_index,2.0
b,5000,4.197038592318648,6.848239584231802,30,,exp4,5.435153151868239,cspf,CSPF,modification_scope_ratio_percent,paper,,2.066115702479339,22.21217971217971,149,failure_type,failure_type_index,1.0
b,5000,9.222122423446846,16.101241916059646,22,,exp4,12.493412746022813,cspf,CSPF,modification_scope_ratio_percent,paper,,7.011973013208324,29.39410869283586,48,failure_type,failure_type_index,2.0
b,5000,100.0,100.0,30,,exp4,100.0,full_rebuild,Full-Rebuild,modification_scope_ratio_percent,paper,,100.0,100.0,147,failure_type,failure_type_index,0.0
b,5000,100.0,100.0,30,,exp4,100.0,full_rebuild,Full-Rebuild,modification_scope_ratio_percent,paper,,100.0,100.0,149,failure_type,failure_type_index,1.0
b,5000,100.0,100.0,30,,exp4,100.0,full_rebuild,Full-Rebuild,modification_scope_ratio_percent,paper,,100.0,100.0,150,failure_type,failure_type_index,2.0
b,5000,4.144684280998222,6.805084526837247,30,,exp4,5.435153151868239,netkeeper,NetKeeper*,modification_scope_ratio_percent,paper,,2.066115702479339,22.21217971217971,149,failure_type,failure_type_index,1.0
b,5000,3.8276293085286786,6.305613780271631,30,,exp4,5.017480693066171,netkeeper,NetKeeper*,modification_scope_ratio_percent,paper,,2.0491803278688523,20.3625431072597,150,failure_type,failure_type_index,2.0
b,5000,18.787399714684984,21.281878177093727,30,,exp4,19.956313064103632,proposed,Proposed,modification_scope_ratio_percent,paper,,19.54022988505747,32.45023449713392,147,failure_type,failure_type_index,0.0
b,5000,4.219823384978771,7.009077391881858,30,,exp4,5.549110158380477,proposed,Proposed,modification_scope_ratio_percent,paper,,2.092050209205021,23.236965188184698,149,failure_type,failure_type_index,1.0
b,5000,10.637191987386904,13.436268052160747,30,,exp4,11.98966215056654,proposed,Proposed,modification_scope_ratio_percent,paper,,10.578670492587278,22.23142570281124,150,failure_type,failure_type_index,2.0
